	WT.EPA.a_S117_L007_R1_001
3AIBt_pos	10914.88133101058
3AIBtm_pos	10914.88133101058
3DPHBH1_pos	46011.7557205653
3DPHBH2_pos	46031.40982591806
3DSPHR_pos	20170.244122076117
3HAO_pos	47.7470961796481
3HBCDm_neg	0.0
3HBCDm_pos	8815.08197040956
3HBCOAHLm_pos	12810.17441704603
3HBCOARc_neg	0.0
3HBCOARc_pos	8815.081970409557
3HCO3_NAt_neg	574.8920609815642
3HCO3_NAt_pos	577.3229046648602
3HKYNAKGAT_pos	1212.1633073079772
3HLYTCL_pos	9514.00586514518
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13018.698703968768
3MOBt2im_pos	4309.711259806272
3MOBte_neg	6.368887527127287
3MOBte_pos	7713.172776829213
3MOPt2im_pos	4309.8016701814295
3MOPte_neg	23.56503470640473
3MOPte_pos	7637.576600763786
3MOX4HOXPGALDOX_NADP__neg	955.5226771341913
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	955.5226771341913
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14684.883049222279
3SALAASPm_pos	0.0
3SALACBOXL_pos	10059.971268580743
3SALAOX_pos	26859.679912333435
3SALATAi_pos	13784.880175815
3SALATAim_pos	14684.883049222277
3SPYRSP_pos	13784.880175815
3SPYRSPm_pos	14684.883049222277
41R1H2MAE12BOOX_pos	39978.363658488066
41R2A1H12BOOX_pos	32110.12570697369
42A12BOOX_pos	0.0
4ABUTtcn_pos	9676.77631084912
4ABUTtm_neg	9739.160908826425
4ABUTtm_pos	12638.53092562978
4HBZCOAFm_pos	46011.75572056531
4HBZFm_pos	46011.75572056531
4HDEBRISOQUINEte_neg	7.519243138780258
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1358.8081514715445
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11012.62710152669
4HPROLTASCT1_pos	1710.3265158711047
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4309.8016701814295
4MOPte_neg	7481.171191242748
4MOPte_pos	7683.404782711645
4MPTNLte_neg	0.0
4MPTNLte_pos	61956.83412904185
4MPTNLtm_neg	61956.83412904185
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.5192431387802605
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	23.185780778913212
4NPHSFte_pos	0.0
4NPHSULT_pos	23.185780778913212
4NPHte_neg	0.0
4NPHte_pos	14.319280819647501
4OHPROIMINOtc_pos	1710.3265158711047
4PYRDX_pos	8174.795595228859
5ADTSTSTERONEGLCte_pos	70042.81927178544
5ADTSTSTERONEGLCtr_neg	70042.81927178545
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8008.213279504225
5ADTSTSTERONESte_neg	8.327844021321967
5ADTSTSTERONESte_pos	55461.624217105425
5ADTSTSTERONEte_neg	56150.13273378224
5ADTSTSTERONEte_pos	7.307692608495676
5ADTSTSTERONEtr_neg	39.290293749629946
5ADTSTSTERONEtr_pos	56144.86346086103
5AOPtm_neg	14715.469222780996
5AOPtm_pos	0.0
5DHFtl_pos	3242.697773206907
5FTHFt2_neg	0.0
5FTHFt2_pos	6.920440647992793
5HLTDL_pos	7.614332435454188
5HOMEPRAZOLEte_neg	7.5192431387802605
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	606.6889414308833
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.652867475436348
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15417.450738240908
5MTAte_pos	15290.58540933413
5MTHFt2_neg	1482.1255422460508
5MTHFt2_pos	1482.1255422460508
5MTHFt2le_neg	2691.4892643789526
5MTHFt2le_pos	2691.4892643789526
5MTHFt_neg	1482.1255422460508
5MTHFt_pos	1482.1255422460508
5OXPROt_neg	10364.3746995243
5OXPROt_pos	6215.101977937727
5THFtl_pos	3242.697773206907
5THFtm_pos	3818.997519761012
6DHFtl_pos	3505.983524726573
6DHFtm_pos	3886.50850386143
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52789.0559217645
6HTSTSTERONEtr_neg	52789.0559217645
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3505.9835247265723
6THFtm_pos	3886.5085038614293
7DHCHSTEROLtr_neg	11002.23538459595
7DHCHSTEROLtr_pos	77027.30236942529
7DHFtl_pos	3653.6487462877235
7DHFtm_pos	3932.3828290663732
7THFtl_pos	3653.6487462877235
7THFtm_pos	3932.3828290663723
A4GALTc_pos	0.0
A4GALTg_pos	11523.994521138782
A4GNT1g_pos	0.0
A4GNT2g_pos	259.3785349639449
AACOAT_pos	4298.3529106890155
AACTOOR_pos	12173.918083919512
AACTtm_pos	12173.918083919512
AASAD3m_pos	26.601227801467314
AATAi_neg	4171.145931792718
AATAi_pos	49.15664102047563
ABO1g_pos	10825.487637409318
ABO2g_pos	10448.74329956255
ABO3g_pos	10614.198563052052
ABO4g_pos	9815.0765954804
ABO5g_pos	9815.0765954804
ABO6g_pos	9190.009669577055
ABO7g_pos	9190.009669577055
ABO8g_pos	9471.891137881363
ABO9g_pos	8528.837933701581
ABTArm_neg	9739.160908826427
ABTArm_pos	12638.53092562978
ABTD_neg	5090.2442828209305
ABTD_pos	8.044610057176941
ABTti_pos	5090.2442828209305
ABUTD_pos	12499.524509063402
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	567.9069150793139
ABUTt2r_pos	655.3883967960942
ABUTt4_2_r_neg	655.3883967960942
ABUTt4_2_r_pos	567.9069150793139
ACACT10m_neg	13797.983546235018
ACACT10m_pos	9930.156175936254
ACACT1r_neg	7607.896969137844
ACACT1r_pos	16541.49918585631
ACACT1rm_pos	5377.590300540425
ACACT1x_pos	10130.135741430593
ACACT4p_pos	24858.328513857734
ACACT5p_pos	24858.328513857734
ACACT6p_pos	24858.328513857734
ACACT7p_pos	24176.614158422082
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	390.5309217469634
ACACt2_pos	390.5309217469634
ACACt2m_neg	1215.705920882328
ACACt2m_pos	1215.705920882328
ACACtx_neg	5968.964512918197
ACACtx_pos	0.0
ACALDt_neg	6419.726920939269
ACALDt_pos	5.208997932312865
ACALDtm_neg	9225.329940632548
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55089.29666879215
ACALDtx_neg	0.0
ACALDtx_pos	11.802850586198666
ACCOAC_pos	4378.183985461673
ACCOACm_pos	4306.862295988082
ACCOAL_pos	3397.8286056673264
ACCOALm_pos	4798.552385961394
ACCOAgt_neg	0.0
ACCOAgt_pos	19615.418108630758
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1649.3776148764543
ACCOAtr_pos	1649.3776148764543
ACETONEt2_neg	10801.086734003642
ACETONEt2_pos	5.602758870518427
ACETONEt2m_neg	10801.086734003642
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11297.078078009834
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11297.078078009832
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9815.0765954804
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9815.076595480408
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9190.009669577055
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9190.009669577057
ACGALK2_pos	558.3541253037555
ACGALK_pos	557.4178223520345
ACGALtlg_neg	930.7931814314882
ACGALtlg_pos	0.0
ACGALtly_pos	557.4178223520345
ACGAM2E_neg	4088.7343702223075
ACGAM2E_pos	30679.845339914995
ACGAM6PSi_pos	3599.815940491281
ACGAMK_pos	4088.734370222308
ACGAMPM_neg	0.0
ACGAMPM_pos	4088.7343702223084
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	930.7931814314884
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	930.7931814314884
ACGPID_pos	52.02866017183012
ACGSm_pos	0.0
ACHEe_pos	5634.391919859601
ACHVESSEC_pos	4224.6774482777255
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6085.7471706247115
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11451.201434108305
ACN13ACNGALGBSIDEtg_neg	11451.201434108305
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11451.201434108305
ACN23ACNGALGBSIDEtg_neg	11451.201434108312
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12680.861267539065
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12680.861267539069
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11472.171995345128
ACNACNGALGBSIDEtg_neg	11472.171995345128
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8919.395216981577
ACNAM9PL_pos	8591.166460427201
ACNAMPH_pos	8591.166460427201
ACNAMlt_neg	18229.665892395926
ACNAMlt_pos	0.0
ACNAMtn_pos	8876.457577218522
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10390.19694419421
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10390.196944194207
ACNMLr_neg	18939.65251589508
ACNMLr_pos	8591.1664604272
ACOAD10m_pos	327.1007134697522
ACOAD1fm_pos	18683.58687992662
ACOAD8m_pos	338.2806110814173
ACOAD9m_pos	12063.634009973111
ACOAHi_pos	3396.020355736075
ACOAO7p_pos	18216.28839109131
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1205.3411966995625
ACONT_pos	1205.3411966995625
ACONTm_neg	365.37883711380624
ACONTm_pos	365.37883711380624
ACOX22x_pos	68878.6587111296
ACOX2x_pos	59406.592225666995
ACP1_FMN__pos	3488.399085012192
ACRNtm_pos	2629.039395498027
ACS2_pos	3341.560278485131
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3396.0203557360765
ACSm_pos	4590.158048723958
ACTLMO_pos	5634.246848202074
ACTNMO_pos	14489.435134797815
ACYP_pos	3358.204435291309
ACt2m_neg	4363.52895741143
ACt2m_pos	4928.34123996754
ACt2r_neg	1211.5900915034701
ACt2r_pos	1211.5900915034701
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7594.48149498147
ADAe_pos	7784.183992414156
ADCim_pos	10801.086734003646
ADEt_neg	6381.807468155019
ADEt_pos	31505.274934183162
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1095.3169604309603
ADK1_pos	1095.3169604309603
ADK1m_neg	395.1655154704831
ADK1m_pos	395.1655154704831
ADK3_neg	1095.3169604309603
ADK3_pos	1095.3169604309603
ADK3m_neg	395.1655154704831
ADK3m_pos	395.1655154704831
ADKd_neg	1092.7936814300974
ADKd_pos	1092.7936814300974
ADMDC_pos	15417.450738240908
ADNCYC_pos	3458.3735891637994
ADNK1_pos	3428.4437410192895
ADNK1m_pos	2411.285045069087
ADNK3_pos	4324.487734778238
ADNK4_pos	4324.487734778238
ADNt4_pos	805.2833304623837
ADNt5le_pos	1337.8922735456458
ADNt_neg	805.2833304623837
ADNt_pos	1232.5999280634205
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5969.988808254724
ADNtm_pos	8550.513890656233
ADPACDAc_pos	8023.168306116976
ADPACTD_neg	0.0
ADPACTD_pos	8023.168306116976
ADPCOACROT_neg	8023.168306116976
ADPCOACROT_pos	62729.88050056465
ADPCOAPTE_pos	8023.168306116976
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8009.651898501617
ADPRDPm_pos	0.0
ADPRIBt_pos	18.35270089212464
ADPT_pos	3903.0162592744314
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.419744003568518
ADRNCOAtx_pos	15327.0369500651
ADRNCPT1_pos	334.5970348467182
ADRNCPT2_pos	334.5970348467182
ADRNCRNt_pos	334.5970348467182
ADRNLPVESSEC_pos	37710.913759401425
ADRNt_neg	1160.708208980059
ADRNt_pos	1206.8942389626823
ADSELK_pos	0.0
ADSK_pos	3462.569686010247
ADSL1_pos	9161.172470063013
ADSL2_pos	20931.911333132724
ADSS_pos	9161.172470063013
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.519243138780259
AG13T10g_pos	11035.796987372634
AG13T11g_pos	11035.796987372634
AG13T12g_pos	11035.796987372634
AG13T13g_pos	11035.796987372634
AG13T14g_pos	11035.796987372634
AG13T15g_pos	11035.796987372634
AG13T16g_pos	7649.257635932432
AG13T17g_pos	7649.257635932432
AG13T18g_pos	7649.257635932432
AG13T1g_pos	7671.292043664326
AG13T2g_pos	7671.292043664326
AG13T3g_pos	7671.292043664326
AG13T4g_pos	11035.796987372634
AG13T5g_pos	11035.796987372634
AG13T6g_pos	11035.796987372634
AG13T7g_pos	11035.796987372634
AG13T8g_pos	11035.796987372634
AG13T9g_pos	11035.796987372634
AGDC_pos	3599.815940491281
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23814.247480714057
AGPAT1_pos	10549.82936551824
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8757.580665468362
AGTix_pos	12452.140773676041
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2168.66113907274
AHCYStd_pos	2168.66113907274
AHCYSte_neg	27682.198949849186
AHCYSte_pos	11585.239322452217
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5830.6556913464065
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10196.073253184724
AHEXASE2ly_pos	17538.888841582713
AHEXASEly_pos	18000.094760661348
AICART_neg	13116.350797130715
AICART_pos	11435.541491291922
AICARte_neg	12744.536574056934
AICARte_pos	11435.541491291922
AIRCr_neg	0.0
AIRCr_pos	20931.911333132724
AK2LGCHOLt_neg	6.903521446485863
AK2LGCHOLt_pos	6649.513600048513
AKGDm_pos	10675.134575579676
AKGMALtm_neg	601.0537293435896
AKGMALtm_pos	449.39734803590795
AKGt4_3_neg	764.4565469705265
AKGt4_3_pos	792.1471339970001
AKGtp_neg	0.0
AKGtp_pos	47.00358811477816
AKR1C1_pos	62391.76505561985
AKR1C41_pos	2104.4511731542716
AKR1C42_pos	2104.4511731542716
AKR1D2_pos	65644.51610338302
AKR1D_pos	11265.14109336745
ALA-DTDe_pos	1338.0988137507447
ALAALACNc_neg	0.0
ALAALACNc_pos	7596.605308678492
ALAALAPEPT1tc_pos	7596.605308678493
ALAASNNaEx_pos	693.7170354379504
ALAATB0tc_pos	1324.8116850750814
ALACYSNaEx_pos	645.5209862799549
ALADGLNexR_neg	699.1164548594597
ALADGLNexR_pos	657.5720847301966
ALADGLYexR_neg	677.0707541222574
ALADGLYexR_pos	560.2007994659592
ALAGLNNaEx_pos	693.7170354379504
ALAGLNexR_neg	382.1398818528505
ALAGLNexR_pos	382.1398818528505
ALAGLYexR_neg	606.4004408267921
ALAGLYexR_pos	462.8295142017219
ALAR_neg	2.439573122962518
ALAR_pos	3851.459876934609
ALASERNaEx_pos	602.245870532249
ALASm_pos	365.7908895798139
ALATA_L_neg	4379.114837321731
ALATA_L_pos	3341.952863163724
ALATHRNaEx_pos	602.245870532249
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	524.623177177705
ALAt2r_pos	677.0707541222574
ALAt4_pos	264.65693237772484
ALAtN1_neg	382.1398818528505
ALAtN1_pos	382.1398818528505
ALAyLATthc_pos	524.623177177705
ALCD1_neg	6703.301491683471
ALCD1_pos	13.655230054841315
ALCD21_D_pos	426.31612071254915
ALCD21_L_pos	906.3489234065679
ALCD22_D_pos	307.5042142129772
ALCD22_L_pos	906.3489234065679
ALCD2if_pos	5.859266268723546
ALCD2yf_pos	5.867462270595286
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.00358811477816
ALDD2x_pos	6975.482239281632
ALDD2xm_pos	9225.32994063255
ALDD2y_pos	6816.754908272732
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53888.354939947676
ALDSTRNtm_neg	53888.354939947654
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3428.6772860222595
ALOX5_pos	97.86243685724581
ALR2_pos	906.3489234065679
ALR3_pos	906.3489234065679
AMACR2p_pos	18720.36539977598
AMACR2r_pos	0.0
AMACRp_pos	59406.592225666995
AMACRr_pos	0.0
AMANK_pos	8591.166460427201
AMCOXO_pos	47.7470961796481
AMETr_neg	0.0
AMETr_pos	5830.655691346406
AMETt2m_neg	2168.66113907274
AMETt2m_pos	2168.66113907274
AMETtd_neg	2168.66113907274
AMETtd_pos	2168.66113907274
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6815.996998571556
AMPTASECG_pos	7217.462062661884
AMPTASECGe_pos	8462.950537447814
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.442819144987794
AMY2e_pos	13.442819144987794
ANDRSTRNGLCte_pos	70375.1845020365
ANDRSTRNGLCtr_neg	70375.1845020365
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56618.65120734524
ANDRSTRNte_pos	17.89893262954842
ANDRSTRNtr_neg	17.89893262954842
ANDRSTRNtr_pos	56618.651207345254
ANTHte_neg	10.86535372813874
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.919992533199543
AOBUTDsm_pos	12173.918083919512
AP4AH1_pos	0.0
APAT2rm_neg	13718.289718812837
APAT2rm_pos	11005.915308818414
APNNOXte_neg	7.519243138780258
APNNOXte_pos	0.0
APOCF_pos	5833.843807230708
APOCFm_pos	6200.6737657529875
APOC_LYS_BTNP_pos	5833.843807230708
APOC_LYS_BTNPm_pos	6200.6737657529875
APPNNte_neg	0.0
APPNNte_pos	7.519243138780258
APRGSTRNte_neg	62391.765055619864
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.487710971184677
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.487710971184677
ARACHCOAtx_neg	26733.15599265469
ARACHCOAtx_pos	11430.730943429387
ARACHCPT1_pos	11973.041324359403
ARACHCPT2_pos	11973.041324359403
ARACHCRNt_pos	11973.041324359403
ARACHDCOAtx_neg	5066.066088174492
ARACHDCOAtx_pos	193.3309659528703
ARACHDt2_neg	318.45299697496375
ARACHDt2_pos	364.6390269575866
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4435.928618799319
ARACHt_neg	1170.8745758659657
ARACHt_pos	1217.0606058485887
ARGATB0tc_pos	1724.9801841659714
ARGDCm_pos	23814.247480714057
ARGLYSex_pos	717.4217475740635
ARGN_pos	13919.562543026352
ARGNm_pos	14641.416257669565
ARGSL_neg	0.0
ARGSL_pos	13105.489654767252
ARGSS_pos	13105.489654767256
ARGt4_pos	1494.8102311421562
ARGtiDF_pos	524.623177177705
ARGtm_neg	1488.9786836104295
ARGtm_pos	1182.5403178632446
ARSA_pos	39329.90502306896
ARTCOAL1_pos	5013.526135510904
ARTCOAL2_pos	5013.526135510904
ARTCOAL3_pos	5013.526135510904
ASAH1_pos	39156.32946673025
ASCBOX_pos	8986.565908114364
ASCBSVCTtc_pos	3392.7548094747945
ASCBt4_neg	443.1757135228995
ASCBt4_pos	1230.1502616227638
ASCBt_neg	1230.1502616227638
ASCBt_pos	1276.3362916053868
ASNALANaEx_pos	693.7170354379504
ASNATB0tc_pos	1453.4357753497468
ASNCYSNaEx_pos	856.2354884197533
ASNGLNNaEx_pos	693.7170354379504
ASNNm_pos	8608.118287538216
ASNPHELAT2tc_pos	525.3853154277325
ASNS1_pos	7182.810245448696
ASNSERNaEx_pos	840.9298231999753
ASNTHRNaEx_pos	840.9298231999753
ASNt4_pos	361.7855993354352
ASNtN1_neg	361.7855993354352
ASNtN1_pos	493.4682785108773
ASNtm_pos	8608.118287538216
ASP1DC_pos	9296.076160701601
ASPCTr_neg	0.0
ASPCTr_pos	18929.625935367127
ASPDTDe_neg	11.639895040347854
ASPDTDe_pos	2051.155383649635
ASPDt6_pos	2051.155383649635
ASPDxt_neg	11.273225397217319
ASPDxt_pos	0.0
ASPGLUm_pos	2629.308904853396
ASPNATm_pos	7696.155780602094
ASPPROASCT1_pos	1559.4665554966987
ASPTA_neg	7252.916224226972
ASPTA_pos	2629.3089048533952
ASPTAm_neg	2629.3089048533957
ASPTAm_pos	9059.108085854796
ASPt6_pos	2051.155383649635
ASPte_pos	1166.9948104191558
ATP1ter_neg	0.0
ATP1ter_pos	7277.338767455755
ATP2ter_neg	4694.534457094451
ATP2ter_pos	4694.534457094451
ATPH1e_pos	14709.75252722758
ATPH2e_pos	3.1122075929040673
ATPS4m_pos	1627.692604957063
ATPasel_pos	24463.3219687306
ATPtm_pos	601.9827140919183
ATPtn_neg	0.0
ATPtn_pos	9798.50212801193
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4243.071271112315
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17817.932857599666
Asn_X_Ser_Thrtr_neg	17505.189752088467
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11523.99452113878
B3GALT41g_pos	12732.251620246074
B3GALT42g_pos	12913.973192027232
B3GALT43g_pos	13082.349760110266
B3GALT44g_pos	13367.450700137937
B3GALT5g_pos	10690.790447966125
B3GALTg_pos	11851.62271928541
B3GNT11g_pos	10007.934455993975
B3GNT12g_pos	9121.966938990676
B3GNT310g_pos	11782.578060050526
B3GNT311g_pos	9815.0765954804
B3GNT312g_pos	10007.934455993975
B3GNT313g_pos	9190.009669577055
B3GNT314g_pos	8528.837933701581
B3GNT315g_pos	9121.966938990676
B3GNT31g_pos	9908.414791333747
B3GNT32g_pos	9908.414791333747
B3GNT33g_pos	9908.414791333747
B3GNT34g_pos	9658.616479761089
B3GNT35g_pos	9658.616479761089
B3GNT36g_pos	930.7931814314884
B3GNT37g_pos	12668.292674469521
B3GNT39g_pos	29767.133798134946
B3GNT51g_pos	11782.578060050526
BAAT1x_pos	4010.6837548796584
BAAT2x_pos	3234.548586491378
BAAT3x_pos	18720.36539977598
BAAT4x_pos	4010.6837548796584
BACCL_pos	5833.843807230708
BACCLm_pos	6200.6737657529875
BALABETAtc_pos	1527.8856708590015
BALAPAT1tc_pos	1481.8916202833987
BALAVECSEC_pos	4322.703992484753
BALAtmr_neg	13718.289718812845
BALAtmr_pos	11005.915308818414
BAMPPALDOX_pos	30335.81273379712
