	Ob.1012.c_S140_L007_R1_001
AHCYSte_neg	26886.56895932279
AHCYSte_pos	11175.25615148826
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5707.169292086871
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9778.237308391086
AHEXASE2ly_pos	17079.92019806902
AHEXASEly_pos	17564.229998366238
AICART_neg	12898.234894366562
AICART_pos	11032.638460174781
AICARte_neg	12485.163597074026
AICARte_pos	11032.63846017478
AIRCr_neg	0.0
AIRCr_pos	20323.13469632727
AK2LGCHOLt_neg	6.808410009856073
AK2LGCHOLt_pos	6379.650456671126
AKGDm_pos	10517.776434234576
AKGMALtm_neg	458.41783038857346
AKGMALtm_pos	342.0490268432452
AKGt4_3_neg	715.1300379490226
AKGt4_3_pos	812.8610596135337
AKGtp_neg	0.0
AKGtp_pos	45.79150390783765
AKR1C1_pos	61544.35547032177
AKR1C41_pos	2095.931741448563
AKR1C42_pos	2095.931741448563
AKR1D2_pos	64565.05476417119
AKR1D_pos	11144.504519577322
ALA-DTDe_pos	1343.475867671419
ALAALACNc_neg	0.0
ALAALACNc_pos	7508.590105408293
ALAALAPEPT1tc_pos	7508.5901054082915
ALAASNNaEx_pos	754.2549840463696
ALAATB0tc_pos	1282.6580489400417
ALACYSNaEx_pos	676.8588007969834
ALADGLNexR_neg	655.8726574226484
ALADGLNexR_pos	608.7133257631104
ALADGLYexR_neg	581.0363974528508
ALADGLYexR_pos	517.8103599006629
ALAGLNNaEx_pos	750.387920961918
ALAGLNexR_neg	367.47892653424185
ALAGLNexR_pos	367.47892653424185
ALAGLYexR_neg	570.5411506080986
ALAGLYexR_pos	426.90739403821533
ALAR_neg	2.4140891333522463
ALAR_pos	3783.65251621099
ALASERNaEx_pos	656.2078822537736
ALASm_pos	326.2314840732961
ALATA_L_neg	4241.360199888866
ALATA_L_pos	3214.644577566166
ALATHRNaEx_pos	714.2651024027485
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	477.8226426569464
ALAt2r_pos	581.0363974528508
ALAt4_pos	242.60482189677447
ALAtN1_neg	367.47892653424185
ALAtN1_pos	367.47892653424185
ALAyLATthc_pos	477.8226426569464
ALCD1_neg	6580.11579987499
ALCD1_pos	13.39993883529655
ALCD21_D_pos	407.64471514584443
ALCD21_L_pos	838.011197092394
ALCD22_D_pos	305.8932522474979
ALCD22_L_pos	838.011197092394
ALCD2if_pos	5.625980609469481
ALCD2yf_pos	5.627392782070989
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.79150390783765
ALDD2x_pos	6769.194252025566
ALDD2xm_pos	8903.349738058503
ALDD2y_pos	6609.813481661207
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53158.630986954144
ALDSTRNtm_neg	53158.63098695416
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3315.59908650076
ALOX5_pos	94.7652138065046
ALR2_pos	838.011197092394
ALR3_pos	838.011197092394
AMACR2p_pos	18087.598981978193
AMACR2r_pos	0.0
AMACRp_pos	58414.83085697749
AMACRr_pos	0.0
AMANK_pos	8282.503911740348
AMCOXO_pos	47.07862211013694
AMETr_neg	0.0
AMETr_pos	5707.169292086874
AMETt2m_neg	2121.606330394804
AMETt2m_pos	2121.606330394804
AMETtd_neg	2121.606330394804
AMETtd_pos	2121.606330394804
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6505.8811655868885
AMPTASECG_pos	6779.896836445821
AMPTASECGe_pos	8017.350916457119
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.449837398507634
AMY2e_pos	13.449837398507634
ANDRSTRNGLCte_pos	69040.53144908846
ANDRSTRNGLCtr_neg	69040.53144908846
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55679.92640628695
ANDRSTRNte_pos	17.467489771214773
ANDRSTRNtr_neg	17.467489771214773
ANDRSTRNtr_pos	55679.92640628694
ANTHte_neg	10.864989347363453
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.908972758120809
AOBUTDsm_pos	12013.198011985816
AP4AH1_pos	0.0
APAT2rm_neg	13493.44802461387
APAT2rm_pos	10756.360455719036
APNNOXte_neg	7.45181303193123
APNNOXte_pos	0.0
APOCF_pos	5450.08240128444
APOCFm_pos	5887.0174492325195
APOC_LYS_BTNP_pos	5450.08240128444
APOC_LYS_BTNPm_pos	5887.0174492325195
APPNNte_neg	0.0
APPNNte_pos	7.45181303193123
APRGSTRNte_neg	61544.35547032178
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.357061051343563
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.357061051343563
ARACHCOAtx_neg	25824.91118544146
ARACHCOAtx_pos	11053.452036550285
ARACHCPT1_pos	11701.267780431544
ARACHCPT2_pos	11701.267780431544
ARACHCRNt_pos	11701.267780431544
ARACHDCOAtx_neg	4908.895731580693
ARACHDCOAtx_pos	189.62871407432232
ARACHDt2_neg	351.17794563516736
ARACHDt2_pos	356.41629624734725
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4301.90388466665
ARACHt_neg	1203.7624911549065
ARACHt_pos	1209.0008417670863
ARGATB0tc_pos	1713.8019475556782
ARGDCm_pos	23288.39837724624
ARGLYSex_pos	660.0608141321551
ARGN_pos	13569.135804714295
ARGNm_pos	14289.389978137217
ARGSL_neg	0.0
ARGSL_pos	12840.080063563948
ARGSS_pos	12840.08006356395
ARGt4_pos	1486.7642479910119
ARGtiDF_pos	477.8226426569464
ARGtm_neg	1481.1605057995787
ARGtm_pos	1180.247127423982
ARSA_pos	37917.90957196348
ARTCOAL1_pos	4880.432681926342
ARTCOAL2_pos	4880.432681926342
ARTCOAL3_pos	4880.432681926342
ASAH1_pos	37874.30929926586
ASCBOX_pos	8678.872773822217
ASCBSVCTtc_pos	3198.5806276807443
ASCBt4_neg	424.9466006144303
ASCBt4_pos	1238.1362948341489
ASCBt_neg	1238.1362948341489
ASCBt_pos	1243.3746454463287
ASNALANaEx_pos	754.2549840463696
ASNATB0tc_pos	1376.6529324286444
ASNCYSNaEx_pos	907.6592848329707
ASNGLNNaEx_pos	754.2549840463696
ASNNm_pos	8489.663332856155
ASNPHELAT2tc_pos	513.1832244970366
ASNS1_pos	7184.657344236281
ASNSERNaEx_pos	906.5199489550164
ASNTHRNaEx_pos	936.0609157712647
ASNt4_pos	337.93795971799364
ASNtN1_neg	337.93795971799364
ASNtN1_pos	628.8330497379507
ASNtm_pos	8489.663332856155
ASP1DC_pos	9168.965698441118
ASPCTr_neg	0.0
ASPCTr_pos	18748.37670152892
ASPDTDe_neg	11.413054331845611
ASPDTDe_pos	2075.614219307305
ASPDt6_pos	2075.614219307305
ASPDxt_neg	11.197630579119709
ASPDxt_pos	0.0
ASPGLUm_pos	2483.4275111917623
ASPNATm_pos	7340.342231894127
ASPPROASCT1_pos	1643.6888612795547
ASPTA_neg	7170.54368048154
ASPTA_pos	2483.4275111917623
ASPTAm_neg	2483.4275111917623
ASPTAm_pos	8989.971883262224
ASPt6_pos	2075.614219307305
ASPte_pos	1199.183534079319
ATP1ter_neg	0.0
ATP1ter_pos	7101.357895538386
ATP2ter_neg	4522.924152780104
ATP2ter_pos	4522.924152780104
ATPH1e_pos	13847.775615908397
ATPH2e_pos	3.024482342949092
ATPS4m_pos	1562.2150874204058
ATPasel_pos	23567.150175055714
ATPtm_pos	634.5602415000511
ATPtn_neg	0.0
ATPtn_pos	9675.133356766482
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4130.559052778286
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17355.18758478304
Asn_X_Ser_Thrtr_neg	17045.87123938548
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11172.405598631844
B3GALT41g_pos	12363.439145290195
B3GALT42g_pos	12542.059386921104
B3GALT43g_pos	12720.908749856602
B3GALT44g_pos	13000.026251866117
B3GALT5g_pos	10343.240110938472
B3GALTg_pos	11492.367099505924
B3GNT11g_pos	9665.565168732212
B3GNT12g_pos	8804.03173475034
B3GNT310g_pos	11402.222112316465
B3GNT311g_pos	9420.14893058174
B3GNT312g_pos	9665.565168732212
B3GNT313g_pos	8820.785302898914
B3GNT314g_pos	8200.547798611236
B3GNT315g_pos	8804.03173475034
B3GNT31g_pos	9547.161321276513
B3GNT32g_pos	9547.161321276513
B3GNT33g_pos	9547.161321276513
B3GNT34g_pos	9343.134898788656
B3GNT35g_pos	9343.134898788656
B3GNT36g_pos	906.1874271854635
B3GNT37g_pos	12270.914657648644
B3GNT39g_pos	28824.326373320753
B3GNT51g_pos	11402.222112316467
BAAT1x_pos	4024.9407219464374
BAAT2x_pos	3234.6296018605535
BAAT3x_pos	18087.598981978193
BAAT4x_pos	4024.9407219464374
BACCL_pos	5450.08240128444
BACCLm_pos	5887.0174492325195
BALABETAtc_pos	1515.7636309829027
BALAPAT1tc_pos	1452.188134672949
BALAVECSEC_pos	4140.719394187901
BALAtmr_neg	13493.44802461387
BALAtmr_pos	10756.360455719034
BAMPPALDOX_pos	29777.474145003212
BAMPPALDOXm_pos	0.0
