	WT-EPA-d_S142_L007_R1_001
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	937.9947543613863
ACGPID_pos	51.86303831365408
ACGSm_pos	0.0
ACHEe_pos	5550.205443266083
ACHVESSEC_pos	4148.799699061019
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5996.891804368444
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11455.026280808004
ACN13ACNGALGBSIDEtg_neg	11455.026280808004
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11455.026280808004
ACN23ACNGALGBSIDEtg_neg	11455.026280808004
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12720.737020538627
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12720.737020538625
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11482.73668275441
ACNACNGALGBSIDEtg_neg	11482.73668275441
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8752.40770319463
ACNAM9PL_pos	8452.64442708755
ACNAMPH_pos	8452.64442708755
ACNAMlt_neg	18129.820142475917
ACNAMlt_pos	0.0
ACNAMtn_pos	8842.600234502996
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10413.585357864149
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10413.585357864149
ACNMLr_neg	19006.173492845006
ACNMLr_pos	8452.64442708755
ACOAD10m_pos	316.4437438164267
ACOAD1fm_pos	18572.447991384655
ACOAD8m_pos	329.0099445214289
ACOAD9m_pos	12081.180629185792
ACOAHi_pos	3322.570684679416
ACOAO7p_pos	18076.026541855193
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1195.0507833017523
ACONT_pos	1195.0507833017523
ACONTm_neg	347.51665934260933
ACONTm_pos	347.51665934260933
ACOX22x_pos	69123.23449445577
ACOX2x_pos	59260.073438725434
ACP1_FMN__pos	3433.743253106477
ACRNtm_pos	2549.5852375278623
ACS2_pos	3307.1238107739646
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3322.5706846794146
ACSm_pos	4583.483756877283
ACTLMO_pos	5572.062084794806
ACTNMO_pos	14516.075863158441
ACYP_pos	3259.414289675526
ACt2m_neg	4294.339742792073
ACt2m_pos	4931.569096347706
ACt2r_neg	1293.6693209975688
ACt2r_pos	1293.6693209975688
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7455.814042589145
ADAe_pos	7609.061532159594
ADCim_pos	10798.33859765176
ADEt_neg	6187.657624216212
ADEt_pos	30969.724905993924
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1167.1193172149322
ADK1_pos	1167.1193172149322
ADK1m_neg	410.1769812220248
ADK1m_pos	410.1769812220248
ADK3_neg	1167.1193172149322
ADK3_pos	1167.1193172149322
ADK3m_neg	410.1769812220248
ADK3m_pos	410.1769812220248
ADKd_neg	1164.673027211476
ADKd_pos	1164.673027211476
ADMDC_pos	15411.003608305788
ADNCYC_pos	3390.177743192409
ADNK1_pos	3346.162436874777
ADNK1m_pos	2406.1273684370835
ADNK3_pos	4244.158266583072
ADNK4_pos	4244.158266583072
ADNt4_pos	837.8028518886647
ADNt5le_pos	1412.1062295927798
ADNt_neg	837.8028518886647
ADNt_pos	1182.5403178632446
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5856.694845062073
ADNtm_pos	8635.47640219096
ADPACDAc_pos	8030.681360640851
ADPACTD_neg	0.0
ADPACTD_pos	8030.6813606408505
ADPCOACROT_neg	8030.681360640851
ADPCOACROT_pos	62468.101989792456
ADPCOAPTE_pos	8030.681360640851
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8176.414873530843
ADPRDPm_pos	0.0
ADPRIBt_pos	18.28278601979588
ADPT_pos	3926.131831479814
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.391999335388531
ADRNCOAtx_pos	15259.31264515158
ADRNCPT1_pos	333.5034631917888
ADRNCPT2_pos	333.5034631917888
ADRNCRNt_pos	333.5034631917888
ADRNLPVESSEC_pos	37481.750315719204
ADRNt_neg	1206.929471474463
ADRNt_pos	1206.929471474463
ADSELK_pos	0.0
ADSK_pos	3380.7817840727885
ADSL1_pos	9010.056009077725
ADSL2_pos	20667.34921469842
ADSS_pos	9010.056009077725
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.519104593966967
AG13T10g_pos	10989.465978847953
AG13T11g_pos	10989.465978847953
AG13T12g_pos	10989.465978847953
AG13T13g_pos	10989.465978847953
AG13T14g_pos	10989.465978847953
AG13T15g_pos	10989.465978847953
AG13T16g_pos	7619.051833539413
AG13T17g_pos	7619.051833539413
AG13T18g_pos	7619.051833539413
AG13T1g_pos	7641.647689717761
AG13T2g_pos	7641.647689717761
AG13T3g_pos	7641.647689717761
AG13T4g_pos	10989.465978847953
AG13T5g_pos	10989.465978847953
AG13T6g_pos	10989.465978847953
AG13T7g_pos	10989.465978847953
AG13T8g_pos	10989.465978847953
AG13T9g_pos	10989.465978847953
AGDC_pos	3544.0939989822887
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23795.716799823065
AGPAT1_pos	10494.91142749029
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8802.627163518455
AGTix_pos	12696.518530902313
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2160.878207336032
AHCYStd_pos	2160.878207336032
AHCYSte_neg	27198.094222867203
AHCYSte_pos	11448.67532379476
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5765.41408632042
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10111.583109403562
AHEXASE2ly_pos	17412.310035175647
AHEXASEly_pos	17891.617359842367
AICART_neg	13127.159059657075
AICART_pos	11478.343453200596
AICARte_neg	12753.24887219928
AICARte_pos	11478.343453200594
AIRCr_neg	0.0
AIRCr_pos	20667.349214698417
AK2LGCHOLt_neg	6.941432032701462
AK2LGCHOLt_pos	6658.022943211156
AKGDm_pos	10650.560179116734
AKGMALtm_neg	549.783915184142
AKGMALtm_pos	409.5526508228146
AKGt4_3_neg	819.4682508768244
AKGt4_3_pos	971.171346335221
AKGtp_neg	0.0
AKGtp_pos	47.187312018814794
AKR1C1_pos	62189.342118553766
AKR1C41_pos	2102.9342246147453
AKR1C42_pos	2102.9342246147457
AKR1D2_pos	65457.2928239298
AKR1D_pos	11367.077168498703
ALA-DTDe_pos	1364.3679173385897
ALAALACNc_neg	0.0
ALAALACNc_pos	7581.066393836335
ALAALAPEPT1tc_pos	7581.066393836335
ALAASNNaEx_pos	892.9675471021833
ALAATB0tc_pos	1323.0763649094533
ALACYSNaEx_pos	838.6265461282326
ALADGLNexR_neg	688.5473301396801
ALADGLNexR_pos	628.1140445430659
ALADGLYexR_neg	593.1100661830263
ALADGLYexR_pos	532.5393207498421
ALAGLNNaEx_pos	892.9675471021833
ALAGLNexR_neg	373.2613219046203
ALAGLNexR_pos	373.2613219046203
ALAGLYexR_neg	587.4469251677135
ALAGLYexR_pos	436.96459695661827
ALAR_neg	2.424201470167592
ALAR_pos	3832.05275141583
ALASERNaEx_pos	778.8597585931064
ALASm_pos	366.39749723789197
ALATA_L_neg	4352.993493368232
ALATA_L_pos	3780.8525196136566
ALATHRNaEx_pos	838.3905629395103
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	487.3532250604589
ALAt2r_pos	593.1100661830263
ALAt4_pos	243.1732600978735
ALAtN1_neg	373.2613219046203
ALAtN1_pos	373.2613219046203
ALAyLATthc_pos	488.47178602124995
ALCD1_neg	6714.94457057145
ALCD1_pos	13.52990113947046
ALCD21_D_pos	416.3633057870633
ALCD21_L_pos	883.2974264794566
ALCD22_D_pos	301.876778518734
ALCD22_L_pos	883.2974264794566
ALCD2if_pos	5.748267188310609
ALCD2yf_pos	5.757242909497068
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.18731201881478
ALDD2x_pos	6968.999059416965
ALDD2xm_pos	9177.256576822841
ALDD2y_pos	6809.798109303393
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53713.72395242258
ALDSTRNtm_neg	53713.723952422624
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3441.509014700877
ALOX5_pos	97.98346479401793
ALR2_pos	883.2974264794566
ALR3_pos	883.2974264794566
AMACR2p_pos	18398.37201807655
AMACR2r_pos	0.0
AMACRp_pos	59260.073438725434
AMACRr_pos	0.0
AMANK_pos	8452.64442708755
AMCOXO_pos	47.6332370542836
AMETr_neg	0.0
AMETr_pos	5765.41408632042
AMETt2m_neg	2160.878207336032
AMETt2m_pos	2160.878207336032
AMETtd_neg	2160.878207336032
AMETtd_pos	2160.878207336032
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6699.035847333538
AMPTASECG_pos	6981.7472561767745
AMPTASECGe_pos	8285.07207378453
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.449416182453845
AMY2e_pos	13.449416182453845
ANDRSTRNGLCte_pos	69962.66705155709
ANDRSTRNGLCtr_neg	69962.66705155707
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56394.38964538731
ANDRSTRNte_pos	17.94959284532359
ANDRSTRNtr_neg	17.949592845323586
ANDRSTRNtr_pos	56394.389645387295
ANTHte_neg	10.965405791849815
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.910408332886462
AOBUTDsm_pos	12409.545213410134
AP4AH1_pos	0.0
APAT2rm_neg	13675.113436595502
APAT2rm_pos	10925.488719251474
APNNOXte_neg	7.519104593966966
APNNOXte_pos	0.0
APOCF_pos	5911.542461988203
APOCFm_pos	6336.7659511113625
APOC_LYS_BTNP_pos	5911.542461988203
APOC_LYS_BTNPm_pos	6336.7659511113625
APPNNte_neg	0.0
APPNNte_pos	7.519104593966966
APRGSTRNte_neg	62189.342118553745
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.4388513907109735
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.4388513907109735
ARACHCOAtx_neg	26570.780972913893
ARACHCOAtx_pos	11422.616241990907
ARACHCPT1_pos	11968.46905258128
ARACHCPT2_pos	11968.46905258128
ARACHCRNt_pos	11968.46905258128
ARACHDCOAtx_neg	4988.879446959164
ARACHDCOAtx_pos	194.8946586147719
ARACHDt2_neg	366.06762893253267
ARACHDt2_pos	366.06762893253267
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4412.234743473272
ARACHt_neg	1219.4213496246052
ARACHt_pos	1219.4213496246055
ARGATB0tc_pos	1766.275844777249
ARGDCm_pos	23795.716799823065
ARGLYSex_pos	680.6998920050746
ARGN_pos	13964.313083264631
ARGNm_pos	14954.75544062559
ARGSL_neg	0.0
ARGSL_pos	13146.771797275713
ARGSS_pos	13146.771797275722
ARGt4_pos	1513.059983707724
ARGtiDF_pos	488.47178602124995
ARGtm_neg	1505.8851593123547
ARGtm_pos	1198.509388828645
ARSA_pos	38909.64500415471
ARTCOAL1_pos	4978.138537267897
ARTCOAL2_pos	4978.138537267897
ARTCOAL3_pos	4978.138537267897
ASAH1_pos	38627.34996741107
ASCBOX_pos	8951.30541890995
ASCBSVCTtc_pos	3312.0887007134606
ASCBt4_neg	481.16998749682006
ASCBt4_pos	1272.453099734169
ASCBt_neg	1272.453099734169
ASCBt_pos	1272.453099734169
ASNALANaEx_pos	892.9675471021833
ASNATB0tc_pos	1422.2430459125562
ASNCYSNaEx_pos	1053.3294617118065
ASNGLNNaEx_pos	892.9675471021833
ASNNm_pos	9129.029277544621
ASNPHELAT2tc_pos	524.2977928932582
ASNS1_pos	7738.272139791191
ASNSERNaEx_pos	1047.7267593132676
ASNTHRNaEx_pos	1084.116994688631
ASNt4_pos	336.871086529257
ASNtN1_neg	336.871086529257
ASNtN1_pos	617.7360048755438
ASNtm_pos	9129.029277544621
ASP1DC_pos	9256.710551673146
ASPCTr_neg	0.0
ASPCTr_pos	18997.220886580424
ASPDTDe_neg	11.646262990327521
ASPDTDe_pos	2156.7947670995563
ASPDt6_pos	2156.7947670995563
ASPDxt_neg	11.41530125097175
ASPDxt_pos	0.0
ASPGLUm_pos	2583.8684667564703
ASPNATm_pos	7600.832703767993
ASPPROASCT1_pos	1814.3136266503966
ASPTA_neg	7306.898474241743
ASPTA_pos	2583.86846675647
ASPTAm_neg	2583.8684667564694
ASPTAm_pos	9443.091181052287
ASPt6_pos	2156.7947670995563
ASPte_pos	1213.8310074757644
ATP1ter_neg	0.0
ATP1ter_pos	7201.025838097095
ATP2ter_neg	4625.881549998055
ATP2ter_pos	4625.881549998055
ATPH1e_pos	14532.97439879082
ATPH2e_pos	3.069385572000195
ATPS4m_pos	1623.2458279160137
ATPasel_pos	24296.377357791724
ATPtm_pos	670.4592808986039
ATPtn_neg	0.0
ATPtn_pos	9956.149197681718
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4212.593345774619
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17696.362434607865
Asn_X_Ser_Thrtr_neg	17376.116250563227
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11500.855509715137
B3GALT41g_pos	12782.319911646515
B3GALT42g_pos	12961.704141093252
B3GALT43g_pos	13139.572127754804
B3GALT44g_pos	13412.244475312958
B3GALT5g_pos	10680.128324402885
B3GALTg_pos	11860.473244883431
B3GNT11g_pos	10029.74674688448
B3GNT12g_pos	9125.247103579259
B3GNT310g_pos	11818.769530245112
B3GNT311g_pos	9774.137220141465
B3GNT312g_pos	10029.74674688448
B3GNT313g_pos	9157.050622318724
B3GNT314g_pos	8508.903645065617
B3GNT315g_pos	9125.247103579259
B3GNT31g_pos	9965.865316119316
B3GNT32g_pos	9965.865316119316
B3GNT33g_pos	9965.865316119316
B3GNT34g_pos	9698.386565437104
B3GNT35g_pos	9698.386565437104
B3GNT36g_pos	937.9947543613862
B3GNT37g_pos	12698.762361850613
B3GNT39g_pos	29635.713924120657
B3GNT51g_pos	11818.769530245112
BAAT1x_pos	4029.349713161544
BAAT2x_pos	3245.7612434692505
BAAT3x_pos	18398.37201807655
BAAT4x_pos	4029.349713161544
BACCL_pos	5911.542461988203
BACCLm_pos	6336.7659511113625
BALABETAtc_pos	1570.9105440888736
BALAPAT1tc_pos	1469.7735028436553
BALAVECSEC_pos	4223.301892376434
BALAtmr_neg	13675.113436595506
BALAtmr_pos	10925.488719251474
BAMPPALDOX_pos	30361.11464535052
