	WT.e_S150_L007_R1_001	Ob.911.e_S155_L007_R1_001	WT.a_S116_L007_R1_001	Ob.911.d_S148_L007_R1_001
C9BRxtc_pos	5.888499735514123	6.981510200851319	5.77663042305105	6.897603474280541
C9BRxtc_neg	5.888499735514123	6.981510200851319	5.77663042305105	6.897603474280541
DCATDc_pos	9.653006259083895	9.504699833775831	9.39718259966962	9.283227289676363
DCATDc_neg	9.653006259083895	9.504699833775831	9.39718259966962	9.283227289676363
DCATDr_pos	0.0	0.0	0.0	0.0
DCATDr_neg	0.0	0.0	0.0	0.0
DCSPTN1COAtxc_pos	0.0	0.0	0.0	0.0
sink_dd2coa(c)_pos	0.0	0.0	0.0	0.0
sink_dd2coa(c)_neg	0.0	0.0	0.0	0.0
DDCRNe_pos	0.0	0.0	0.0	0.0
DDECCRNe_pos	0.0	0.0	0.0	0.0
DDECE1CRNe_pos	0.0	0.0	0.0	0.0
DECCRNe_pos	0.0	0.0	0.0	0.0
sink_decdicoa(c)_pos	0.0	0.0	0.0	0.0
sink_decdicoa(c)_neg	0.0	0.0	0.0	0.0
DECDICRNe_pos	0.0	0.0	0.0	0.0
DOCO13ECOAtxc_pos	0.0	0.0	0.0	0.0
DOCO13EFATP_pos	10.2410536165079	10.261977357276878	10.214331264647306	9.900595145263415
DOCOSACT_pos	0.0	0.0	0.0	0.0
DOCOSACTDe_pos	0.0	0.0	0.0	0.0
DOCOSACTDe_neg	0.0	0.0	0.0	0.0
DOCOSACTDr_pos	0.0	0.0	0.0	0.0
DOCOSACTDr_neg	0.0	0.0	0.0	0.0
DOCOSADIACTD_pos	0.0	0.0	0.0	0.0
DOCOSADIACTD_neg	0.0	0.0	0.0	0.0
DOCOSCOAtxc_pos	0.0	0.0	0.0	0.0
DOCOSDIACTD_pos	0.0	0.0	0.0	0.0
DOCOSDIACTD_neg	0.0	0.0	0.0	0.0
EX_3bcrn_pos	0.0	0.0	0.0	0.0
EX_3bcrn_neg	0.0	0.0	0.0	0.0
EX_3ddcrn_pos	0.0	0.0	0.0	0.0
EX_3ddcrn_neg	0.0	0.0	0.0	0.0
EX_3deccrn_pos	0.0	0.0	0.0	0.0
EX_3deccrn_neg	0.0	0.0	0.0	0.0
EX_3hdececrn_pos	0.0	0.0	0.0	0.0
EX_3hdececrn_neg	0.0	0.0	0.0	0.0
EX_3hexdcrn_pos	0.0	0.0	0.0	0.0
EX_3hexdcrn_neg	0.0	0.0	0.0	0.0
EX_3ivcrn_pos	0.0	0.0	0.0	0.0
EX_3ivcrn_neg	0.0	0.0	0.0	0.0
EX_3octdec2crn_pos	0.0	0.0	0.0	0.0
EX_3octdec2crn_neg	0.0	0.0	0.0	0.0
EX_3octdeccrn_pos	0.0	0.0	0.0	0.0
EX_3octdeccrn_neg	0.0	0.0	0.0	0.0
EX_3octdece1crn_pos	0.0	0.0	0.0	0.0
EX_3octdece1crn_neg	0.0	0.0	0.0	0.0
EX_3tdcrn_pos	0.0	0.0	0.0	0.0
EX_3tdcrn_neg	0.0	0.0	0.0	0.0
EX_3tetd7ecoacrn_pos	0.0	0.0	0.0	0.0
EX_3tetd7ecoacrn_neg	0.0	0.0	0.0	0.0
EX_3thexddcoacrn_pos	0.0	0.0	0.0	0.0
EX_3thexddcoacrn_neg	0.0	0.0	0.0	0.0
EX_3ttetddcoacrn_pos	0.0	0.0	0.0	0.0
EX_3ttetddcoacrn_neg	0.0	0.0	0.0	0.0
EX_c101crn_pos	0.0	0.0	0.0	0.0
EX_c101crn_neg	0.0	0.0	0.0	0.0
EX_c10crn_pos	0.0	0.0	0.0	0.0
EX_c10crn_neg	0.0	0.0	0.0	0.0
EX_c10dc_pos	0.0	0.0	0.0	0.0
EX_c10dc_neg	0.0	0.0	0.0	0.0
EX_c12dc_pos	0.0	0.0	0.0	0.0
EX_c12dc_neg	0.0	0.0	0.0	0.0
EX_c16dc_pos	0.0	0.0	0.0	0.0
EX_c16dc_neg	0.0	0.0	0.0	0.0
EX_c3dc_pos	0.0	0.0	0.0	0.0
