	Ob.EPA.c_S137_L007_R1_001
ABO5g_pos	9503.972612486625
ABO6g_pos	8900.173152587486
ABO7g_pos	8900.173152587486
ABO8g_pos	9190.010527961074
ABO9g_pos	8276.816842235326
ABTArm_neg	9399.35017116998
ABTArm_pos	12739.169207354917
ABTD_neg	5064.843103759808
ABTD_pos	7.9072371862674515
ABTti_pos	5064.843103759808
ABUTD_pos	12457.114638432799
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	512.9557479682076
ABUTt2r_pos	635.3425171631891
ABUTt4_2_r_neg	635.3425171631891
ABUTt4_2_r_pos	512.9557479682076
ACACT10m_neg	13543.98543443249
ACACT10m_pos	9685.903817784665
ACACT1r_neg	7121.261200980914
ACACT1r_pos	16062.635229064392
ACACT1rm_pos	5018.8449369786695
ACACT1x_pos	9680.417053426214
ACACT4p_pos	24137.81187788994
ACACT5p_pos	24137.811877889944
ACACT6p_pos	24137.811877889937
ACACT7p_pos	23478.30210946059
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	388.7779504626376
ACACt2_pos	388.7779504626376
ACACt2m_neg	1243.7717808062084
ACACt2m_pos	1243.7717808062084
ACACtx_neg	5752.18589163584
ACACtx_pos	0.0
ACALDt_neg	6309.980379526654
ACALDt_pos	5.1418265247871595
ACALDtm_neg	8894.090865979353
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54437.90046850545
ACALDtx_neg	0.0
ACALDtx_pos	11.738466638672357
ACCOAC_pos	4290.128583640223
ACCOACm_pos	4213.582375490943
ACCOAL_pos	3334.1865379496517
ACCOALm_pos	4215.024862863881
ACCOAgt_neg	0.0
ACCOAgt_pos	19211.687815310597
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1480.9320863511286
ACCOAtr_pos	1480.9320863511286
ACETONEt2_neg	10545.754296047788
ACETONEt2_pos	5.502622986427971
ACETONEt2m_neg	10545.754296047788
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10960.691910343043
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10960.691910343035
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9503.972612486616
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9503.972612486623
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8900.173152587487
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8900.173152587486
ACGALK2_pos	550.8448984035971
ACGALK_pos	549.8814490533002
ACGALtlg_neg	907.004289960734
ACGALtlg_pos	0.0
ACGALtly_pos	549.8814490533002
ACGAM2E_neg	3923.3158655425705
ACGAM2E_pos	30082.081015876058
ACGAM6PSi_pos	3436.4389060998674
ACGAMK_pos	3923.3158655425677
ACGAMPM_neg	0.0
ACGAMPM_pos	3923.315865542569
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	907.004289960734
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	907.004289960734
ACGPID_pos	51.14756387099668
ACGSm_pos	0.0
ACHEe_pos	5172.66418598552
ACHVESSEC_pos	4169.905124455758
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5763.813353151408
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11179.949773128854
ACN13ACNGALGBSIDEtg_neg	11179.949773128856
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11179.949773128854
ACN23ACNGALGBSIDEtg_neg	11179.949773128856
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12358.086469018781
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12358.08646901878
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11179.949773128854
ACNACNGALGBSIDEtg_neg	11179.949773128856
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8744.191650512344
ACNAM9PL_pos	8426.675095106497
ACNAMPH_pos	8426.675095106497
ACNAMlt_neg	17887.730714348792
ACNAMlt_pos	0.0
ACNAMtn_pos	8773.408107893183
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10108.663915056566
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10108.66391505656
ACNMLr_neg	18517.96477598873
ACNMLr_pos	8426.675095106495
ACOAD10m_pos	293.4365837334186
ACOAD1fm_pos	18222.28418892948
ACOAD8m_pos	318.41460611437543
ACOAD9m_pos	11879.041688756732
ACOAHi_pos	3244.889903087078
ACOAO7p_pos	17667.81241835339
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1176.9650060785689
ACONT_pos	1176.9650060785689
ACONTm_neg	317.466075445618
ACONTm_pos	317.466075445618
ACOX22x_pos	68950.78156973241
ACOX2x_pos	58785.96143253481
ACP1_FMN__pos	3418.9240591221837
ACRNtm_pos	2333.7212103406537
ACS2_pos	3224.074147024089
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3244.889903087078
ACSm_pos	4183.474744542603
ACTLMO_pos	5488.421735360325
ACTNMO_pos	14230.100421700006
ACYP_pos	3280.181277678805
ACt2m_neg	4153.178347011709
ACt2m_pos	4710.117633253029
ACt2r_neg	1217.814646418412
ACt2r_pos	1217.814646418412
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7611.302542312163
ADAe_pos	7781.753318153184
ADCim_pos	10545.75429604779
ADEt_neg	6310.689696072152
ADEt_pos	31017.86815961964
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1157.2714835626743
ADK1_pos	1157.2714835626743
ADK1m_neg	409.17172168112097
ADK1m_pos	409.17172168112097
ADK3_neg	1157.2714835626743
ADK3_pos	1157.2714835626743
ADK3m_neg	409.17172168112097
ADK3m_pos	409.17172168112097
ADKd_neg	1154.4770315221328
ADKd_pos	1154.4770315221328
ADMDC_pos	15120.102669923526
ADNCYC_pos	3308.187482178433
ADNK1_pos	3361.7636846255605
ADNK1m_pos	2371.9135741227606
ADNK3_pos	4263.270951133788
ADNK4_pos	4263.270951133788
ADNt4_pos	791.7842630429143
ADNt5le_pos	1385.0466921751727
ADNt_neg	791.7842630429143
ADNt_pos	1199.6185094216264
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5820.562721913293
ADNtm_pos	8153.68404468432
ADPACDAc_pos	7864.968092022257
ADPACTD_neg	0.0
ADPACTD_pos	7864.968092022256
ADPCOACROT_neg	7864.968092022257
ADPCOACROT_pos	61932.09066862063
ADPCOAPTE_pos	7864.968092022257
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7948.3893960122405
ADPRDPm_pos	0.0
ADPRIBt_pos	17.654820281095596
ADPT_pos	3804.828691650938
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.054824527488696
ADRNCOAtx_pos	14874.252302002167
ADRNCPT1_pos	326.2698133838516
ADRNCPT2_pos	326.2698133838516
ADRNCRNt_pos	326.2698133838516
ADRNLPVESSEC_pos	37227.82576513866
ADRNt_neg	1189.5036816777992
ADRNt_pos	1194.8489339421196
ADSELK_pos	0.0
ADSK_pos	3384.8309229493225
ADSL1_pos	9013.018903481645
ADSL2_pos	20705.52846623516
ADSS_pos	9013.018903481645
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.512779301159848
AG13T10g_pos	10770.15597822118
AG13T11g_pos	10770.15597822118
AG13T12g_pos	10770.15597822118
AG13T13g_pos	10770.15597822118
AG13T14g_pos	10770.15597822118
AG13T15g_pos	10770.15597822118
AG13T16g_pos	7491.104016834496
AG13T17g_pos	7491.104016834496
AG13T18g_pos	7491.104016834496
AG13T1g_pos	7518.960069501075
AG13T2g_pos	7518.960069501075
AG13T3g_pos	7518.960069501075
AG13T4g_pos	10770.15597822118
AG13T5g_pos	10770.15597822118
AG13T6g_pos	10770.15597822118
AG13T7g_pos	10770.15597822118
AG13T8g_pos	10770.15597822118
AG13T9g_pos	10770.15597822118
AGDC_pos	3436.4389060998683
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23627.357873217745
AGPAT1_pos	10310.202972578423
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8707.905446697916
AGTix_pos	12160.132422308045
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2108.9196358349936
AHCYStd_pos	2108.9196358349936
AHCYSte_neg	27263.548321865703
AHCYSte_pos	11282.276034118346
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5715.252326075657
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9815.804247497188
AHEXASE2ly_pos	17192.37175417959
AHEXASEly_pos	17660.374710622298
AICART_neg	12864.545628139651
AICART_pos	11105.16755124393
AICARte_neg	12469.812940879556
AICARte_pos	11105.16755124393
AIRCr_neg	0.0
AIRCr_pos	20705.528466235166
AK2LGCHOLt_neg	6.803524646417623
AK2LGCHOLt_pos	6449.011767141746
AKGDm_pos	10732.37621700255
AKGMALtm_neg	453.3412355597084
AKGMALtm_pos	338.22031243470155
AKGt4_3_neg	722.0293388590806
AKGt4_3_pos	833.7943296140513
AKGtp_neg	0.0
AKGtp_pos	45.856864010651975
AKR1C1_pos	61668.25913223826
AKR1C41_pos	2094.5939430975786
AKR1C42_pos	2094.5939430975786
AKR1D2_pos	65120.29093338911
AKR1D_pos	11047.3371740199
ALA-DTDe_pos	1351.8832188118258
ALAALACNc_neg	0.0
ALAALACNc_pos	7518.05166709742
ALAALAPEPT1tc_pos	7518.05166709742
ALAASNNaEx_pos	734.6558935579964
ALAATB0tc_pos	1297.4257812801673
ALACYSNaEx_pos	673.1507949826354
ALADGLNexR_neg	673.3726454588323
ALADGLNexR_pos	624.6752026156591
ALADGLYexR_neg	613.4551896442291
ALADGLYexR_pos	531.1047360577008
ALAGLNNaEx_pos	734.6558935579964
ALAGLNexR_neg	373.6028106743547
ALAGLNexR_pos	373.6028106743547
ALAGLYexR_neg	578.5123821588712
ALAGLYexR_pos	437.53426949974244
ALAR_neg	2.419617193115804
ALAR_pos	3793.7188431684385
ALASERNaEx_pos	645.8763826827694
ALASm_pos	343.5743221702704
ALATA_L_neg	4290.885099072823
ALATA_L_pos	3156.5448653041335
ALATHRNaEx_pos	715.8053222918531
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	492.9956987171897
ALAt2r_pos	613.4551896442291
ALAt4_pos	247.8394483523269
ALAtN1_neg	373.6028106743547
ALAtN1_pos	373.6028106743547
ALAyLATthc_pos	492.9956987171897
ALCD1_neg	6636.241560991938
ALCD1_pos	13.379382079757052
ALCD21_D_pos	400.176465026062
ALCD21_L_pos	828.8597106709963
ALCD22_D_pos	299.64304328443416
ALCD22_L_pos	828.8597106709963
ALCD2if_pos	5.6128079057852895
ALCD2yf_pos	5.615654511749143
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.856864010651975
ALDD2x_pos	6816.682294243542
ALDD2xm_pos	8894.090865979355
ALDD2y_pos	6661.042627181299
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53259.47719540769
ALDSTRNtm_neg	53259.477195407715
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3385.8485664800282
ALOX5_pos	95.51868069801374
ALR2_pos	828.8597106709963
ALR3_pos	828.8597106709963
AMACR2p_pos	18247.30752959943
AMACR2r_pos	0.0
AMACRp_pos	58785.96143253481
AMACRr_pos	0.0
AMANK_pos	8426.675095106497
AMCOXO_pos	46.94519971962595
AMETr_neg	0.0
AMETr_pos	5715.252326075657
AMETt2m_neg	2108.9196358349936
AMETt2m_pos	2108.9196358349936
AMETtd_neg	2108.9196358349936
AMETtd_pos	2108.9196358349936
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6642.53806955929
AMPTASECG_pos	6943.82856402272
AMPTASECGe_pos	8168.171116060827
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.447761463751924
AMY2e_pos	13.447761463751924
ANDRSTRNGLCte_pos	69706.07819918611
ANDRSTRNGLCtr_neg	69706.07819918611
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55899.009847128356
ANDRSTRNte_pos	17.79917158374251
ANDRSTRNtr_neg	17.79917158374251
ANDRSTRNtr_pos	55899.00984712833
ANTHte_neg	10.855170628595866
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.901456190495346
AOBUTDsm_pos	12122.40280680156
AP4AH1_pos	0.0
APAT2rm_neg	13477.85133827209
APAT2rm_pos	10783.311332848394
APNNOXte_neg	7.512779301159849
APNNOXte_pos	0.0
APOCF_pos	5539.790490813156
APOCFm_pos	5925.46762465604
APOC_LYS_BTNP_pos	5539.790490813156
APOC_LYS_BTNPm_pos	5925.46762465604
APPNNte_neg	0.0
APPNNte_pos	7.512779301159849
APRGSTRNte_neg	61668.259132238265
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.349727229311741
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.349727229311741
ARACHCOAtx_neg	26030.370853073968
ARACHCOAtx_pos	11090.480842962199
ARACHCPT1_pos	11796.057738700198
ARACHCPT2_pos	11796.057738700198
ARACHCRNt_pos	11796.057738700198
ARACHDCOAtx_neg	5015.029751153316
ARACHDCOAtx_pos	189.9407824599646
ARACHDt2_neg	347.41843030417556
ARACHDt2_pos	352.7636825684959
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4325.521683887472
ARACHt_neg	1201.2685745181777
ARACHt_pos	1206.613826782498
ARGATB0tc_pos	1739.3374943255214
ARGDCm_pos	23627.357873217745
ARGLYSex_pos	679.9950594022789
ARGN_pos	13658.094186284907
ARGNm_pos	14648.870977858722
ARGSL_neg	0.0
ARGSL_pos	13002.371427463018
ARGSS_pos	13002.371427463022
ARGt4_pos	1502.809207434044
ARGtiDF_pos	492.9956987171897
ARGtm_neg	1470.8055214922933
ARGtm_pos	1169.7067700900072
ARSA_pos	38372.660875555026
ARTCOAL1_pos	4908.53112357419
ARTCOAL2_pos	4908.531123574189
ARTCOAL3_pos	4908.53112357419
ASAH1_pos	38157.09316419753
ASCBOX_pos	8730.378350848106
ASCBSVCTtc_pos	3313.384152330649
ASCBt4_neg	433.41395336473494
ASCBt4_pos	1241.772646530532
ASCBt_neg	1241.772646530532
ASCBt_pos	1247.1178987948524
ASNALANaEx_pos	734.6558935579964
ASNATB0tc_pos	1399.6854151556336
ASNCYSNaEx_pos	891.7525360316431
ASNGLNNaEx_pos	734.6558935579964
ASNNm_pos	8800.782133959978
ASNPHELAT2tc_pos	523.7466308571354
ASNS1_pos	7473.787916624866
ASNSERNaEx_pos	891.8182911626029
ASNTHRNaEx_pos	921.7968266739132
ASNt4_pos	343.6242751630445
ASNtN1_neg	343.6242751630445
ASNtN1_pos	631.7850467782613
ASNtm_pos	8800.782133959978
ASP1DC_pos	9180.730947628615
ASPCTr_neg	0.0
ASPCTr_pos	18769.721868607423
ASPDTDe_neg	11.412759633908685
ASPDTDe_pos	2102.481155272718
ASPDt6_pos	2102.481155272718
ASPDxt_neg	11.185029293171636
ASPDxt_pos	0.0
ASPGLUm_pos	2461.9512823007053
ASPNATm_pos	7315.639391316032
ASPPROASCT1_pos	1621.201328945474
ASPTA_neg	7189.969172285935
ASPTA_pos	2461.9512823007053
ASPTAm_neg	2461.9512823007053
ASPTAm_pos	9125.341960631442
ASPt6_pos	2102.481155272718
ASPte_pos	1198.3496575113988
ATP1ter_neg	0.0
ATP1ter_pos	7210.442625268878
ATP2ter_neg	4523.231797923124
ATP2ter_pos	4523.231797923124
ATPH1e_pos	14074.482989477196
ATPH2e_pos	3.0294432944496226
ATPS4m_pos	1567.9941892497643
ATPasel_pos	23923.63677564381
ATPtm_pos	613.9712081658945
ATPtn_neg	0.0
ATPtn_pos	9744.888758041498
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4236.6399741880105
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17466.369608541554
Asn_X_Ser_Thrtr_neg	17159.714462846063
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11180.904283396174
B3GALT41g_pos	12397.61191694619
B3GALT42g_pos	12580.010418522184
B3GALT43g_pos	12764.383399705874
B3GALT44g_pos	13108.814603026833
B3GALT5g_pos	10374.983456204993
B3GALTg_pos	11573.554998590149
B3GNT11g_pos	9749.815135756613
B3GNT12g_pos	8888.873512192895
B3GNT310g_pos	11493.259159118381
B3GNT311g_pos	9503.972612486625
B3GNT312g_pos	9749.815135756613
B3GNT313g_pos	8900.173152587486
B3GNT314g_pos	8276.816842235325
B3GNT315g_pos	8888.873512192895
B3GNT31g_pos	9600.489462418736
B3GNT32g_pos	9600.489462418736
B3GNT33g_pos	9600.489462418736
B3GNT34g_pos	9384.735178696676
B3GNT35g_pos	9384.735178696676
B3GNT36g_pos	907.004289960734
B3GNT37g_pos	12443.542849851401
B3GNT39g_pos	28998.794001188937
B3GNT51g_pos	11493.259159118381
BAAT1x_pos	4020.7534670615673
BAAT2x_pos	3228.885339575518
BAAT3x_pos	18247.30752959943
BAAT4x_pos	4020.7534670615673
BACCL_pos	5539.790490813156
BACCLm_pos	5925.46762465604
BALABETAtc_pos	1520.7347422725193
BALAPAT1tc_pos	1471.4698805180235
BALAVECSEC_pos	4249.58422276777
BALAtmr_neg	13477.851338272092
BALAtmr_pos	10783.311332848396
