	WT-911-b_S129_L007_R1_001
3MOBte_neg	6.310551974427709
3MOBte_pos	7662.805700954515
3MOPt2im_pos	4087.1192064207594
3MOPte_neg	23.342839841871907
3MOPte_pos	7594.171764798475
3MOX4HOXPGALDOX_NADP__neg	908.7850432095701
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	908.7850432095701
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14758.556752448476
3SALAASPm_pos	0.0
3SALACBOXL_pos	10032.637839061188
3SALAOX_pos	26745.961537976465
3SALATAi_pos	13899.671872955068
3SALATAim_pos	14758.556752448476
3SPYRSP_pos	13899.671872955068
3SPYRSPm_pos	14758.556752448476
41R1H2MAE12BOOX_pos	39593.25229698022
41R2A1H12BOOX_pos	31658.637583872685
42A12BOOX_pos	0.0
4ABUTtcn_pos	9493.893177790193
4ABUTtm_neg	9618.686863975201
4ABUTtm_pos	12404.311920536444
4HBZCOAFm_pos	45792.86319285027
4HBZFm_pos	45792.86319285027
4HDEBRISOQUINEte_neg	7.487673502422119
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1343.951586366658
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10914.878305899003
4HPROLTASCT1_pos	1950.6232624264007
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4087.1192064207594
4MOPte_neg	7357.870923831432
4MOPte_pos	7636.855508923638
4MPTNLte_neg	0.0
4MPTNLte_pos	61497.32965645561
4MPTNLtm_neg	61497.3296564556
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.487673502422119
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.742848175270264
4NPHSFte_pos	0.0
4NPHSULT_pos	22.742848175270268
4NPHte_neg	0.0
4NPHte_pos	14.148085783986861
4OHPROIMINOtc_pos	1950.6232624264007
4PYRDX_pos	8041.136407331544
5ADTSTSTERONEGLCte_pos	69651.17073642556
5ADTSTSTERONEGLCtr_neg	69651.17073642556
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8032.685481917495
5ADTSTSTERONESte_neg	8.427452883740518
5ADTSTSTERONESte_pos	55186.09131198844
5ADTSTSTERONEte_neg	55878.28619127375
5ADTSTSTERONEte_pos	7.211146628224076
5ADTSTSTERONEtr_neg	39.57847798893219
5ADTSTSTERONEtr_pos	55874.570844481335
5AOPtm_neg	14711.997840455293
5AOPtm_pos	0.0
5DHFtl_pos	3224.526554888599
5FTHFt2_neg	0.0
5FTHFt2_pos	6.69090570203545
5HLTDL_pos	7.555186590511982
5HOMEPRAZOLEte_neg	7.487673502422119
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	519.4616929652126
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.620934058639315
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15329.56165321109
5MTAte_pos	15023.011203592363
5MTHFt2_neg	1375.235676335392
5MTHFt2_pos	1375.235676335392
5MTHFt2le_neg	2510.0758146928056
5MTHFt2le_pos	2510.0758146928056
5MTHFt_neg	1375.235676335392
5MTHFt_pos	1375.235676335392
5OXPROt_neg	10390.198064898925
5OXPROt_pos	6252.2881161089
5THFtl_pos	3223.819382601535
5THFtm_pos	3801.78087985789
6DHFtl_pos	3480.2804041860786
6DHFtm_pos	3870.947700029829
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52584.69974545781
6HTSTSTERONEtr_neg	52584.69974545779
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3480.280404186079
6THFtm_pos	3870.9477000298302
7DHCHSTEROLtr_neg	11002.111865615307
7DHCHSTEROLtr_pos	77048.3073198309
7DHFtl_pos	3621.939376844411
7DHFtm_pos	3918.111871485839
7THFtl_pos	3621.9393768444106
7THFtm_pos	3918.111871485839
A4GALTc_pos	0.0
A4GALTg_pos	11460.35943016689
A4GNT1g_pos	0.0
A4GNT2g_pos	258.51558402532635
AACOAT_pos	4267.422748878955
AACTOOR_pos	12388.636865986242
AACTtm_pos	12388.636865986242
AASAD3m_pos	26.571214748778992
AATAi_neg	3959.8619933117734
AATAi_pos	49.09032212950128
ABO1g_pos	10664.081632634165
ABO2g_pos	10280.443745881468
ABO3g_pos	10443.344415852509
ABO4g_pos	9637.303642404482
ABO5g_pos	9637.303642404482
ABO6g_pos	9029.253138953683
ABO7g_pos	9029.253138953683
ABO8g_pos	9320.116745568628
ABO9g_pos	8390.618226781942
ABTArm_neg	9618.686863975205
ABTArm_pos	12404.311920536444
ABTD_neg	5075.583441772287
ABTD_pos	8.01274262569573
ABTti_pos	5075.583441772287
ABUTD_pos	12600.889088346286
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	516.9621250115233
ABUTt2r_pos	641.1197536726269
ABUTt4_2_r_neg	641.1197536726269
ABUTt4_2_r_pos	516.9621250115233
ACACT10m_neg	13724.754114704761
ACACT10m_pos	9866.459838256284
ACACT1r_neg	7451.642870348507
ACACT1r_pos	16462.754671105802
ACACT1rm_pos	5285.656982667832
ACACT1x_pos	10042.22774972356
ACACT4p_pos	24701.41649692651
ACACT5p_pos	24701.41649692652
ACACT6p_pos	24701.416496926504
ACACT7p_pos	24028.245705440484
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	457.96331426075614
ACACt2_pos	457.96331426075614
ACACt2m_neg	1291.3082610855236
ACACt2m_pos	1291.3082610855236
ACACtx_neg	5899.369654916091
ACACtx_pos	0.0
ACALDt_neg	6356.461687124816
ACALDt_pos	5.226452865701524
ACALDtm_neg	9101.83009668262
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54866.60137375761
ACALDtx_neg	0.0
ACALDtx_pos	11.821980046787653
ACCOAC_pos	4272.501157699122
ACCOACm_pos	4278.878611834487
ACCOAL_pos	3310.711766920189
ACCOALm_pos	4538.08735396018
ACCOAgt_neg	0.0
ACCOAgt_pos	19536.49126008383
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1587.4155797324106
ACCOAtr_pos	1587.4155797324106
ACETONEt2_neg	10723.37402755222
ACETONEt2_pos	5.584743665301914
ACETONEt2m_neg	10723.374027552218
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11234.637146603282
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11234.637146603278
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9637.303642404482
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9637.30364240448
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9029.25313895369
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9029.253138953685
ACGALK2_pos	556.5470122491987
ACGALK_pos	555.5736072460071
ACGALtlg_neg	928.1179718810209
ACGALtlg_pos	0.0
ACGALtly_pos	555.5736072460073
ACGAM2E_neg	4050.6237222490636
ACGAM2E_pos	30329.80541774675
ACGAM6PSi_pos	3524.5595602724707
ACGAMK_pos	4050.623722249063
ACGAMPM_neg	0.0
ACGAMPM_pos	4050.623722249063
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	928.1179718810209
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	928.1179718810209
ACGPID_pos	51.37298624336246
ACGSm_pos	0.0
ACHEe_pos	5320.436933171315
ACHVESSEC_pos	4138.604746012956
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5993.2381439199
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11386.999753633723
ACN13ACNGALGBSIDEtg_neg	11386.999753633723
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11386.999753633723
ACN23ACNGALGBSIDEtg_neg	11386.999753633723
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12573.742565476832
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12573.742565476816
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11422.061427044435
ACNACNGALGBSIDEtg_neg	11422.061427044435
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8708.875380805328
ACNAM9PL_pos	8407.369891072403
ACNAMPH_pos	8407.369891072403
ACNAMlt_neg	18050.51321384661
ACNAMlt_pos	0.0
ACNAMtn_pos	8843.328852602375
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10277.685952671382
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10277.685952671382
ACNMLr_neg	18835.97506890205
ACNMLr_pos	8407.369891072402
ACOAD10m_pos	313.3832378547038
ACOAD1fm_pos	18550.04519974102
ACOAD8m_pos	324.3992764653502
ACOAD9m_pos	12058.685864840909
ACOAHi_pos	3306.085093832707
ACOAO7p_pos	18068.488661211457
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1193.9298732008551
ACONT_pos	1193.9298732008551
ACONTm_neg	346.6647028737329
ACONTm_pos	346.6647028737329
ACOX22x_pos	69078.22452954072
ACOX2x_pos	59102.21301138498
ACP1_FMN__pos	3409.471865337537
ACRNtm_pos	2524.7738323063413
ACS2_pos	3282.1017322102657
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3306.085093832706
ACSm_pos	4399.990539219389
ACTLMO_pos	5567.702414445934
ACTNMO_pos	14449.343455496419
ACYP_pos	3261.8262366610156
ACt2m_neg	4280.607700279019
ACt2m_pos	4840.290506940832
ACt2r_neg	1264.2414911037358
ACt2r_pos	1264.2414911037358
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7488.684793207622
ADAe_pos	7638.420640456027
ADCim_pos	10723.374027552214
ADEt_neg	6161.141252464139
ADEt_pos	30802.18246283461
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1068.6194353191336
ADK1_pos	1068.6194353191336
ADK1m_neg	396.56229345706237
ADK1m_pos	396.56229345706237
ADK3_neg	1068.6194353191336
ADK3_pos	1068.6194353191336
ADK3m_neg	396.56229345706237
ADK3m_pos	396.56229345706237
ADKd_neg	1065.6401148917832
ADKd_pos	1065.6401148917832
ADMDC_pos	15329.56165321109
ADNCYC_pos	3365.936778924222
ADNK1_pos	3333.123752120697
ADNK1m_pos	2400.531840370655
ADNK3_pos	4229.944189372886
ADNK4_pos	4229.944189372886
ADNt4_pos	960.4819561122238
ADNt5le_pos	1396.7139210553992
ADNt_neg	960.4819561122238
ADNt_pos	1185.2567921808372
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5836.379601175021
ADNtm_pos	8424.740101823318
ADPACDAc_pos	7943.179862626126
ADPACTD_neg	0.0
ADPACTD_pos	7943.179862626125
ADPCOACROT_neg	7943.179862626126
ADPCOACROT_pos	62359.33479576776
ADPCOAPTE_pos	7943.179862626125
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7982.8028167782895
ADPRDPm_pos	0.0
ADPRIBt_pos	18.160735675197834
ADPT_pos	3879.8334671375574
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.350712515768773
ADRNCOAtx_pos	15242.0190089897
ADRNCPT1_pos	332.01211854280353
ADRNCPT2_pos	332.01211854280353
ADRNCRNt_pos	332.01211854280353
ADRNLPVESSEC_pos	37248.585224488204
ADRNt_neg	1197.042647253884
ADRNt_pos	1200.942958993765
ADSELK_pos	0.0
ADSK_pos	3362.640342536703
ADSL1_pos	8962.27303260896
ADSL2_pos	20529.61224661295
ADSS_pos	8962.27303260896
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.487673502422121
AG13T10g_pos	10907.411466510373
AG13T11g_pos	10907.411466510373
AG13T12g_pos	10907.411466510373
AG13T13g_pos	10907.411466510373
AG13T14g_pos	10907.411466510373
AG13T15g_pos	10907.411466510373
AG13T16g_pos	7563.300558112071
AG13T17g_pos	7563.300558112071
AG13T18g_pos	7563.300558112071
AG13T1g_pos	7589.356119222695
AG13T2g_pos	7589.356119222695
AG13T3g_pos	7589.356119222695
AG13T4g_pos	10907.411466510373
AG13T5g_pos	10907.411466510373
AG13T6g_pos	10907.411466510373
AG13T7g_pos	10907.411466510373
AG13T8g_pos	10907.411466510373
AG13T9g_pos	10907.411466510373
AGDC_pos	3524.559560272471
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23663.960491493173
AGPAT1_pos	10376.368498140817
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8775.35325009702
AGTix_pos	12635.319077246511
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2168.2843438334176
AHCYStd_pos	2168.2843438334176
AHCYSte_neg	27098.496548924097
AHCYSte_pos	11369.010059644566
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5761.696723505893
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10071.71650819249
AHEXASE2ly_pos	17345.865775610986
AHEXASEly_pos	17814.122599616072
AICART_neg	13057.438631170538
AICART_pos	11383.227053662189
AICARte_neg	12670.046712188101
AICARte_pos	11383.227053662187
AIRCr_neg	0.0
AIRCr_pos	20529.612246612938
AK2LGCHOLt_neg	6.916683034126946
AK2LGCHOLt_pos	6678.084721642858
AKGDm_pos	10617.65409650023
AKGMALtm_neg	555.4163519105691
AKGMALtm_pos	416.9768529981541
AKGt4_3_neg	815.171922236143
AKGt4_3_pos	936.1228892541553
AKGtp_neg	0.0
AKGtp_pos	46.978848114892784
AKR1C1_pos	62001.847051821904
AKR1C41_pos	2101.1024352946733
AKR1C42_pos	2101.1024352946733
AKR1D2_pos	65275.429693110134
AKR1D_pos	10994.14958421504
ALA-DTDe_pos	1359.9417663160875
ALAALACNc_neg	0.0
ALAALACNc_pos	7575.883845286087
ALAALAPEPT1tc_pos	7575.883845286086
ALAASNNaEx_pos	715.2768223020121
ALAATB0tc_pos	1305.8448823205504
ALACYSNaEx_pos	749.2801034658823
ALADGLNexR_neg	678.7036529372945
ALADGLNexR_pos	628.6812356642797
ALADGLYexR_neg	607.5589697372627
ALADGLYexR_pos	534.6230645548613
ALAGLNNaEx_pos	715.2768223020121
ALAGLNexR_neg	374.03704559712617
ALAGLNexR_pos	374.03704559712617
ALAGLYexR_neg	589.1282593611654
ALAGLYexR_pos	440.564893445443
ALAR_neg	2.4217677508676982
ALAR_pos	3825.1769573834044
ALASERNaEx_pos	727.3580368561632
ALASm_pos	351.67535726651056
ALATA_L_neg	4269.890188147715
ALATA_L_pos	3690.257394924132
ALATHRNaEx_pos	727.3580368561632
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	495.28105872096853
ALAt2r_pos	607.5589697372627
ALAt4_pos	249.77643289251824
ALAtN1_neg	374.03704559712617
ALAtN1_pos	374.03704559712617
ALAyLATthc_pos	495.28105872096853
ALCD1_neg	6706.200907652278
ALCD1_pos	13.503120023941639
ALCD21_D_pos	413.1080122387449
ALCD21_L_pos	884.0197573196895
ALCD22_D_pos	297.7782169527914
ALCD22_L_pos	884.0197573196895
ALCD2if_pos	5.725663674856627
ALCD2yf_pos	5.736479368444925
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	46.97884811489277
ALDD2x_pos	6999.053248224952
ALDD2xm_pos	9101.830096682621
ALDD2y_pos	6841.03609284532
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53583.0455517018
ALDSTRNtm_neg	53583.0455517018
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3336.6890924153613
ALOX5_pos	97.11034080998056
ALR2_pos	884.0197573196895
ALR3_pos	884.0197573196895
AMACR2p_pos	18300.384945960628
AMACR2r_pos	0.0
AMACRp_pos	59102.21301138498
AMACRr_pos	0.0
AMANK_pos	8407.369891072403
AMCOXO_pos	47.57808904056443
AMETr_neg	0.0
AMETr_pos	5761.696723505893
AMETt2m_neg	2168.2843438334176
AMETt2m_pos	2168.2843438334176
AMETtd_neg	2168.2843438334176
AMETtd_pos	2168.2843438334176
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6672.420082623899
AMPTASECG_pos	6963.27744792217
AMPTASECGe_pos	8152.825559034538
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.448032376951659
AMY2e_pos	13.448032376951655
ANDRSTRNGLCte_pos	70071.86895115863
ANDRSTRNGLCtr_neg	70071.86895115861
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56352.28002430772
ANDRSTRNte_pos	18.161024107458733
ANDRSTRNtr_neg	18.161024107458726
ANDRSTRNtr_pos	56352.28002430772
ANTHte_neg	10.93582832182694
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.90714894779726
AOBUTDsm_pos	12388.636865986242
AP4AH1_pos	0.0
APAT2rm_neg	13625.755885444665
APAT2rm_pos	10873.782845098172
APNNOXte_neg	7.487673502422118
APNNOXte_pos	0.0
APOCF_pos	5763.99826555247
APOCFm_pos	6177.896222600817
APOC_LYS_BTNP_pos	5763.99826555247
APOC_LYS_BTNPm_pos	6177.896222600817
APPNNte_neg	0.0
APPNNte_pos	7.487673502422118
APRGSTRNte_neg	62001.84705182192
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.4291801527250945
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.4291801527250945
ARACHCOAtx_neg	26481.792836210785
ARACHCOAtx_pos	11393.107322903172
ARACHCPT1_pos	11951.89551834164
ARACHCPT2_pos	11951.89551834164
ARACHCRNt_pos	11951.89551834164
ARACHDCOAtx_neg	4976.979840529179
ARACHDCOAtx_pos	194.0221974339055
ARACHDt2_neg	354.93176338342874
ARACHDt2_pos	358.83207512330944
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4376.778775546007
ARACHt_neg	1209.7372629329593
ARACHt_pos	1213.6375746728402
ARGATB0tc_pos	1779.0031782896158
ARGDCm_pos	23663.960491493173
ARGLYSex_pos	684.5688752084457
ARGN_pos	13802.269746149921
ARGNm_pos	14595.089144549527
ARGSL_neg	0.0
ARGSL_pos	13029.265624688287
ARGSS_pos	13029.265624688282
ARGt4_pos	1510.166919685475
ARGtiDF_pos	495.28105872096853
ARGtm_neg	1490.572692046885
ARGtm_pos	1184.9561896186046
ARSA_pos	38723.8794506532
ARTCOAL1_pos	4952.859052106288
ARTCOAL2_pos	4952.859052106286
ARTCOAL3_pos	4952.859052106287
ASAH1_pos	38602.93316101181
ASCBOX_pos	8907.38094077556
ASCBSVCTtc_pos	3308.7365792540204
ASCBt4_neg	478.5268905790123
ASCBt4_pos	1267.9324110836833
ASCBt_neg	1267.9324110836833
ASCBt_pos	1271.8327228235642
ASNALANaEx_pos	715.2768223020121
ASNATB0tc_pos	1454.6611367486207
ASNCYSNaEx_pos	873.4500430195023
ASNGLNNaEx_pos	715.2768223020121
ASNNm_pos	8772.048358222604
ASNPHELAT2tc_pos	530.4339584269501
ASNS1_pos	7403.795866712098
ASNSERNaEx_pos	868.8448583946557
ASNTHRNaEx_pos	868.8448583946557
ASNt4_pos	345.408902915751
ASNtN1_neg	345.408902915751
ASNtN1_pos	548.3169475146907
ASNtm_pos	8772.048358222604
ASP1DC_pos	9233.64891499314
ASPCTr_neg	0.0
ASPCTr_pos	18837.115765881113
ASPDTDe_neg	11.604092145422808
ASPDTDe_pos	2178.3468299047427
ASPDt6_pos	2178.3468299047427
ASPDxt_neg	11.337355720262272
ASPDxt_pos	0.0
ASPGLUm_pos	2554.1592795248953
ASPNATm_pos	7565.898105383009
ASPPROASCT1_pos	1860.4288610907681
ASPTA_neg	7292.563033115121
ASPTA_pos	2554.1592795248953
ASPTAm_neg	2554.1592795248957
ASPTAm_pos	9224.085526991274
ASPt6_pos	2178.3468299047427
ASPte_pos	1207.5064170202227
ATP1ter_neg	0.0
ATP1ter_pos	7176.1108399335735
ATP2ter_neg	4627.804580633349
ATP2ter_pos	4627.804580633349
ATPH1e_pos	14241.420522115352
ATPH2e_pos	3.0725251782047573
ATPS4m_pos	1614.900375269171
ATPasel_pos	24072.7588418589
ATPtm_pos	626.7024768855529
ATPtn_neg	0.0
ATPtn_pos	9759.317634376503
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4199.224822849881
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17627.527174671675
Asn_X_Ser_Thrtr_neg	17310.371653902865
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11460.35943016689
B3GALT41g_pos	12650.276281007466
B3GALT42g_pos	12828.448780478313
B3GALT43g_pos	13015.123935103013
B3GALT44g_pos	13289.750264788769
B3GALT5g_pos	10574.796509708925
B3GALTg_pos	11724.334336801896
B3GNT11g_pos	9881.413363500113
B3GNT12g_pos	8995.713993703886
B3GNT310g_pos	11645.947053044993
B3GNT311g_pos	9637.303642404482
B3GNT312g_pos	9881.413363500113
B3GNT313g_pos	9029.253138953683
B3GNT314g_pos	8390.618226781942
B3GNT315g_pos	8995.713993703886
B3GNT31g_pos	9786.20911333751
B3GNT32g_pos	9786.20911333751
B3GNT33g_pos	9786.20911333751
B3GNT34g_pos	9576.959560961895
B3GNT35g_pos	9576.959560961895
B3GNT36g_pos	928.1179718810209
B3GNT37g_pos	12579.158473041778
B3GNT39g_pos	29410.69492434014
B3GNT51g_pos	11645.94705304499
BAAT1x_pos	4020.5642975337664
BAAT2x_pos	3230.733968812434
BAAT3x_pos	18300.384945960628
BAAT4x_pos	4020.5642975337664
BACCL_pos	5763.99826555247
BACCLm_pos	6177.896222600817
BALABETAtc_pos	1543.5486923652984
BALAPAT1tc_pos	1475.604908965882
BALAVECSEC_pos	4218.763709822808
BALAtmr_neg	13625.755885444665
BALAtmr_pos	10873.78284509817
BAMPPALDOX_pos	30359.363635998434
