	Tcon_Spleen_Tcon4_L2	exTreg_Spleen_exTreg7_L1	Treg_Spleen_Treg4_L1	Treg_Lymph_Treg8_L2	Tcon_Lymph_Tcon6_L2
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	1.9842852324637212	2.3423534430491775	2.2333328414702454	2.471237858607438	2.1695916833944455
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	4.321027656639891	3.875082566659847	4.046227110341092	4.668578339212047	4.308494290359368
5FTHFt2_neg	4.321027656639891	3.875082566659847	4.046227110341092	4.668578339212047	4.308494290359368
5HLTDL_pos	0.20209021504236446	1.302074603040869	0.9175250037536877	0.8324828417377809	0.2220977826194444
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	0.0	0.0	0.044320704773014453	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	0.0	0.1909805877653755	0.0	0.0947891302678564
5HTRPVESSEC_pos	2.646719505786325	1.7931758136575606	2.9694647322492784	3.539097006341983	2.8888766105770705
5HXKYNDCL_pos	0.20209021504236446	1.302074603040869	0.9175250037536877	0.8324828417377809	0.2220977826194444
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_neg	0.0	0.0	0.0	0.0	0.0
5MTHFt2_pos	4.321027656639891	3.875082566659847	4.046227110341092	4.668578339212047	4.308494290359368
5MTHFt2_neg	4.321027656639891	3.875082566659847	4.046227110341092	4.668578339212047	4.308494290359368
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.595831234613582	5.980454204887986	6.3049392066250975	6.425849246847005	6.365400887169579
A_MANASEly_pos	7.2910493328219115	7.131590254936802	7.659453950775893	7.26587714922937	7.482089159496927
A4GALTc_pos	0.0	0.0	0.14938326153546497	0.0	0.0
A4GALTg_pos	0.0	0.0	0.14938326153546497	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.0
AACOAT_pos	4.2255392642459855	3.50755128046038	3.889463342388007	3.6239940306114127	3.5403097962432777
AACTOOR_pos	0.0	0.0	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.7531442696761779	1.670057732553461	1.1351795165446201	1.7442627050950832	1.7087899018905484
ABUTt2r_neg	1.7531442696761779	1.670057732553461	1.1351795165446201	1.7442627050950832	1.7087899018905484
ABUTt2rL_pos	1.7531442696761779	1.670057732553461	1.1351795165446201	1.7442627050950832	1.7087899018905484
ABUTt2rL_neg	1.7531442696761779	1.670057732553461	1.1351795165446201	1.7442627050950832	1.7087899018905484
ABUTt4_2_r_pos	0.1325988306883031	0.1961330119504728	0.2938098559629176	0.2129359465972843	0.033240690456663245
ABUTt4_2_r_neg	0.1325988306883031	0.1961330119504728	0.2938098559629176	0.2129359465972843	0.033240690456663245
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.0	0.0	0.060493361440314704	0.059436278100032214	0.0
ACACt2_neg	0.0	0.0	0.060493361440314704	0.059436278100032214	0.0
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.3258328683238965	2.2761163505829547	2.294273908162294	2.716299405488434	2.5385094854974453
ACCOAgt_neg	2.3258328683238965	2.2761163505829547	2.294273908162294	2.716299405488434	2.5385094854974453
ACCOAL_pos	4.577756660530503	3.106154431683175	3.922906490576192	3.92649171782677	4.496078192071048
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.3258328683238965	2.2761163505829547	2.294273908162294	2.716299405488434	2.5385094854974453
ACCOAtr_neg	2.3258328683238965	2.2761163505829547	2.294273908162294	2.716299405488434	2.5385094854974453
ACETONEt2_pos	2.708782753198535	3.3860740898290267	3.9432830732193778	3.428792125420767	1.960989223935199
ACETONEt2_neg	2.708782753198535	3.3860740898290267	3.9432830732193778	3.428792125420767	1.960989223935199
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	2.072323665632701	3.6957563143813528	3.10748335714901	2.693084812674873	1.5374561344831443
ACGAM2E_neg	2.072323665632701	3.6957563143813528	3.10748335714901	2.693084812674873	1.5374561344831443
ACGAM6PSi_pos	0.25036156163288553	0.08909620258842567	0.1731386052071591	0.41571364486660195	0.16652918326252758
ACGAMK_pos	4.753418139228086	5.010314580059178	5.431059694965326	5.082170764877004	4.82675729561317
ACGAMPM_pos	2.879121002875427	2.8862583931831174	3.1999882486058002	3.2743064069241195	3.203026945150156
ACGAMPM_neg	2.879121002875427	2.8862583931831174	3.1999882486058002	3.2743064069241195	3.203026945150156
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	1.7041398344710843	1.2883019631380945	2.0784645404073308	2.286972572733132	1.7812057094134277
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.4748763538154216	1.1524970440672493	0.4786250010544996	0.22864304495561572	0.0
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.2865330907342765	6.359121988789297	6.349838890792657	6.491785477231474	6.299991767778565
ACNAM9PL2_pos	6.2865330907342765	6.359121988789297	6.349838890792657	6.491785477231474	6.299991767778565
ACNAMlt_pos	2.0536784155088754	1.430345028222383	2.2521813031839355	2.3162540799879068	1.918762924083313
ACNAMlt_neg	2.0536784155088754	1.430345028222383	2.2521813031839355	2.3162540799879068	1.918762924083313
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.0	0.0	0.0577204192201354	0.0	0.0
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	5.33022570179426	5.188653123744565	5.3310353298052915	5.081254036910464	5.145326727228496
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.037975799988881516	0.0	0.0	0.0	0.0
ACOX2x_pos	0.037975799988881516	0.0	0.0	0.0	0.0
ACP1_FMN__pos	5.204860299040678	5.0443746096177815	5.456136050991469	5.368255853435677	5.593732519250073
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	5.378090308314056	4.246706329968142	4.8573512227926985	4.729785192034782	5.053123005294882
ACS2_pos	5.378090308314056	4.246706329968142	4.8573512227926985	4.729785192034782	5.053123005294882
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	5.1851293483061935	4.70289924547822	4.825445837349714	4.746554249278967	4.925926803514529
ADA_pos	2.969088381418039	1.657637311869719	2.6587263289028056	2.4431352441404623	3.075220406220917
ADAe_pos	2.969088381418039	1.657637311869719	2.6587263289028056	2.4431352441404623	3.075220406220917
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	3.135714549456674	2.804224946287232	3.091603999279976	3.2524773897873813	2.9210013919099413
ADEt_neg	3.135714549456674	2.804224946287232	3.091603999279976	3.2524773897873813	2.9210013919099413
ADEtl_pos	3.2697436868793885	2.793108438620381	3.0903236187398972	3.1554477153034544	3.167660175212407
ADEtl_neg	3.2697436868793885	2.793108438620381	3.0903236187398972	3.1554477153034544	3.167660175212407
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.006321681391350667	0.06710868927778812	0.20773324326863346	0.0	0.09175375421594757
ADK1_neg	0.006321681391350667	0.06710868927778812	0.20773324326863346	0.0	0.09175375421594757
