	WT.1012.c_S135_L007_R1_001
2MB2COAc_neg	0.0
2MB2COAc_pos	12129.108767570915
2MCITt_neg	0.0
2MCITt_pos	14644.236131830035
2OXOADOXm_pos	69.6281382389319
2OXOADPTm_neg	4067.2735807743315
2OXOADPTm_pos	94.82626267365391
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	32114.815075385188
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	32114.815075385184
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	600.0505128932051
34DHPHEt_neg	600.0505128932051
34DHPHEt_pos	4.200452296761673
34DHPLACOX_NADP__neg	917.1322415029806
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	917.1322415029806
34DHXMANDACOX_NADP__neg	917.1322415029806
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	917.1322415029806
34HPLFM_pos	46368.24037357789
34HPPOR_pos	46598.99780402853
34HPPte_neg	8610.447882651886
34HPPte_pos	6861.733956891232
35CGMPtn_neg	0.0
35CGMPtn_pos	11075.122097674026
3AIBTm_neg	0.0
3AIBTm_pos	10861.165612131841
3AIB_Dtm_neg	11687.906289187955
3AIB_Dtm_pos	19450.990663090954
3AIBt_pos	10861.165612131843
3AIBtm_pos	10861.165612131843
3DPHBH1_pos	46368.24037357792
3DPHBH2_pos	46374.684070278585
3DSPHR_pos	19913.64047542834
3HAO_pos	47.724450112469576
3HBCDm_neg	0.0
3HBCDm_pos	8763.2489538755
3HBCOAHLm_pos	12858.806163450989
3HBCOARc_neg	0.0
3HBCOARc_pos	8763.2489538755
3HCO3_NAt_neg	653.4801484037652
3HCO3_NAt_pos	653.4801484037652
3HKYNAKGAT_pos	1188.445309476198
3HLYTCL_pos	9476.83598341221
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13025.596686188723
3MOBt2im_pos	4196.89271933647
3MOBte_neg	6.411642189647742
3MOBte_pos	7769.409077181776
3MOPt2im_pos	4197.013081463092
3MOPte_neg	23.631587054875524
3MOPte_pos	7687.220552339089
3MOX4HOXPGALDOX_NADP__neg	908.0473744851741
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	908.0473744851741
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14827.13870647906
3SALAASPm_pos	0.0
3SALACBOXL_pos	10049.967662492485
3SALAOX_pos	26937.71214922101
3SALATAi_pos	13979.370476609862
3SALATAim_pos	14827.138706479054
3SPYRSP_pos	13979.370476609862
3SPYRSPm_pos	14827.138706479054
41R1H2MAE12BOOX_pos	39865.674095137634
41R2A1H12BOOX_pos	32114.81507538519
42A12BOOX_pos	0.0
4ABUTtcn_pos	9646.483890927031
4ABUTtm_neg	9672.893388934559
4ABUTtm_pos	12748.032378572945
4HBZCOAFm_pos	46368.24037357789
4HBZFm_pos	46368.24037357789
4HDEBRISOQUINEte_neg	7.557985768722632
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1348.4743137325454
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11015.427731751703
4HPROLTASCT1_pos	1960.5606325215904
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4197.013081463092
4MOPte_neg	7446.103278349255
4MOPte_pos	7744.900218182809
4MPTNLte_neg	0.0
4MPTNLte_pos	61804.76742437405
4MPTNLtm_neg	61804.76742437407
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.557985768722633
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.902163607660768
4NPHSFte_pos	0.0
4NPHSULT_pos	22.902163607660768
4NPHte_neg	0.0
4NPHte_pos	14.21459489017232
4OHPROIMINOtc_pos	1960.5606325215904
4PYRDX_pos	8151.374263582498
5ADTSTSTERONEGLCte_pos	70442.30482081947
5ADTSTSTERONEGLCtr_neg	70442.30482081945
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8146.563650751209
5ADTSTSTERONESte_neg	8.435931827282582
5ADTSTSTERONESte_pos	55505.432997787284
5ADTSTSTERONEte_neg	56242.87348688847
5ADTSTSTERONEte_pos	7.271843136553277
5ADTSTSTERONEtr_neg	39.92607406177273
5ADTSTSTERONEtr_pos	56238.800421207525
5AOPtm_neg	14793.757805441208
5AOPtm_pos	0.0
5DHFtl_pos	3251.775313071194
5FTHFt2_neg	0.0
5FTHFt2_pos	6.710948143889014
5HLTDL_pos	7.552998082592388
5HOMEPRAZOLEte_neg	7.557985768722633
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	511.3929836337687
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.690198503450468
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15426.463464096274
5MTAte_pos	15419.214443483124
5MTHFt2_neg	1361.445656287123
5MTHFt2_pos	1361.445656287123
5MTHFt2le_neg	2475.9917573259913
5MTHFt2le_pos	2475.9917573259913
5MTHFt_neg	1361.445656287123
5MTHFt_pos	1361.445656287123
5OXPROt_neg	10390.795082744211
5OXPROt_pos	6272.423737865431
5THFtl_pos	3246.817707310658
5THFtm_pos	3805.8721984660783
6DHFtl_pos	3501.3436384787447
6DHFtm_pos	3877.12074424475
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52921.06936118506
6HTSTSTERONEtr_neg	52921.06936118509
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3501.343638478745
6THFtm_pos	3877.1207442447503
7DHCHSTEROLtr_neg	11007.578950104766
7DHCHSTEROLtr_pos	77739.65800425505
7DHFtl_pos	3647.6654489215493
7DHFtm_pos	3925.531467798877
7THFtl_pos	3647.6654489215493
7THFtm_pos	3925.5314677988786
A4GALTc_pos	0.0
A4GALTg_pos	11694.01628123062
A4GNT1g_pos	0.0
A4GNT2g_pos	260.7371634376016
AACOAT_pos	4336.297169754213
AACTOOR_pos	12360.211570756015
AACTtm_pos	12360.211570756015
AASAD3m_pos	26.734123826369782
AATAi_neg	4067.273580774332
AATAi_pos	49.25853462046987
ABO1g_pos	10912.042680547036
ABO2g_pos	10527.149915099528
ABO3g_pos	10733.407496377411
ABO4g_pos	9921.419107558351
ABO5g_pos	9921.419107558351
ABO6g_pos	9295.975105766134
ABO7g_pos	9295.975105766134
ABO8g_pos	9584.568541155573
ABO9g_pos	8630.634741639193
ABTArm_neg	9672.893388934555
ABTArm_pos	12748.032378572947
ABTD_neg	5083.822234661495
ABTD_pos	8.041828114899097
ABTti_pos	5083.822234661495
ABUTD_pos	12609.370458653806
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	522.6153208641587
ABUTt2r_pos	652.3577192964476
ABUTt4_2_r_neg	652.3577192964476
ABUTt4_2_r_pos	522.6153208641587
ACACT10m_neg	13792.212979629985
ACACT10m_pos	9906.351028123878
ACACT1r_neg	7609.778612431848
ACACT1r_pos	16740.111957041434
ACACT1rm_pos	5380.706001667155
ACACT1x_pos	10165.755066790829
ACACT4p_pos	24932.412943169064
ACACT5p_pos	24932.412943169056
ACACT6p_pos	24932.412943169064
ACACT7p_pos	24256.38310885478
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	473.78651112699447
ACACt2_pos	473.78651112699447
ACACt2m_neg	1287.202688726474
ACACt2m_pos	1287.202688726474
ACACtx_neg	5962.99149121065
ACACtx_pos	0.0
ACALDt_neg	6491.653448976346
ACALDt_pos	5.238042917563444
ACALDtm_neg	9321.135614298622
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	55206.8405751291
ACALDtx_neg	0.0
ACALDtx_pos	11.83136311592588
ACCOAC_pos	4392.435715417451
ACCOACm_pos	4298.411391087756
ACCOAL_pos	3434.774805301436
ACCOALm_pos	4800.908434414452
ACCOAgt_neg	0.0
ACCOAgt_pos	19899.357417714597
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1625.6528659302155
ACCOAtr_pos	1625.6528659302155
ACETONEt2_neg	10811.051773015723
ACETONEt2_pos	5.613458810476521
ACETONEt2m_neg	10811.051773015726
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11463.67973836682
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11463.679738366822
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9921.419107558359
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9921.419107558355
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9295.975105766136
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9295.975105766136
ACGALK2_pos	559.1084508722441
ACGALK_pos	558.105563636743
ACGALtlg_neg	943.1059726837923
ACGALtlg_pos	0.0
ACGALtly_pos	558.1055636367432
ACGAM2E_neg	4175.737811874962
ACGAM2E_pos	30861.509736332013
ACGAM6PSi_pos	3596.142018340905
ACGAMK_pos	4175.737811874963
ACGAMPM_neg	0.0
ACGAMPM_pos	4175.737811874964
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	943.1059726837923
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	943.1059726837921
ACGPID_pos	51.892454414191135
ACGSm_pos	0.0
ACHEe_pos	5750.260140060312
ACHVESSEC_pos	4252.387335747862
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6077.726604673873
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11598.632465297667
ACN13ACNGALGBSIDEtg_neg	11598.632465297664
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11598.632465297667
ACN23ACNGALGBSIDEtg_neg	11598.632465297664
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12876.587022095304
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12876.5870220953
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11631.38101289023
ACNACNGALGBSIDEtg_neg	11631.381012890226
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8927.164509093973
ACNAM9PL_pos	8605.36727287612
ACNAMPH_pos	8605.36727287612
ACNAMlt_neg	18263.303319151302
ACNAMlt_pos	0.0
ACNAMtn_pos	8849.077761649341
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10555.105040837012
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10555.10504083701
ACNMLr_neg	19151.308363299257
ACNMLr_pos	8605.367272876114
ACOAD10m_pos	317.7511474146961
ACOAD1fm_pos	18608.453367923943
ACOAD8m_pos	329.44652924571113
ACOAD9m_pos	12108.792911892015
ACOAHi_pos	3380.458581767957
ACOAO7p_pos	18140.39393832172
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1193.6805080709846
ACONT_pos	1193.6805080709846
ACONTm_neg	349.9401265131404
ACONTm_pos	349.9401265131404
ACOX22x_pos	69554.42593123962
ACOX2x_pos	59586.79884350864
ACP1_FMN__pos	3545.6027409294916
ACRNtm_pos	2615.3136045288697
ACS2_pos	3354.3708015244983
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3380.4585817679576
ACSm_pos	4609.245930615589
ACTLMO_pos	5570.137214293474
ACTNMO_pos	14519.645171527385
ACYP_pos	3382.336433941849
ACt2m_neg	4343.069148697224
ACt2m_pos	4966.699691223184
ACt2r_neg	1271.0899817559502
ACt2r_pos	1271.0899817559502
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7823.150506860978
ADAe_pos	7998.37247649096
ADCim_pos	10811.05177301572
ADEt_neg	6355.210962186926
ADEt_pos	31475.564080985994
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1169.9247170993644
ADK1_pos	1169.9247170993644
ADK1m_neg	425.8592261134386
ADK1m_pos	425.8592261134386
ADK3_neg	1169.9247170993644
ADK3_pos	1169.9247170993644
ADK3m_neg	425.8592261134386
ADK3m_pos	425.8592261134386
ADKd_neg	1166.1692153546444
ADKd_pos	1166.1692153546444
ADMDC_pos	15426.463464096274
ADNCYC_pos	3448.5666759250184
ADNK1_pos	3456.551659918115
ADNK1m_pos	2411.193142562008
ADNK3_pos	4353.747458861447
ADNK4_pos	4353.747458861447
ADNt4_pos	927.8267016181593
ADNt5le_pos	1415.1589718130858
ADNt_neg	927.8267016181593
ADNt_pos	1191.65491211764
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5963.488860621101
ADNtm_pos	8493.948370027061
ADPACDAc_pos	8032.771538041624
ADPACTD_neg	0.0
ADPACTD_pos	8032.771538041625
ADPCOACROT_neg	8032.771538041623
ADPCOACROT_pos	62907.833653190704
ADPCOAPTE_pos	8032.771538041624
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8111.730530757786
ADPRDPm_pos	0.0
ADPRIBt_pos	18.417667602920307
ADPT_pos	3952.856856391978
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.440491431197486
ADRNCOAtx_pos	15443.740190817754
ADRNCPT1_pos	333.46115234467453
ADRNCPT2_pos	333.46115234467453
ADRNCRNt_pos	333.46115234467453
ADRNLPVESSEC_pos	37716.445929849746
ADRNt_neg	1206.155492428981
ADRNt_pos	1206.155492428981
ADSELK_pos	0.0
ADSK_pos	3474.209917600534
ADSL1_pos	9196.461485334661
ADSL2_pos	21009.53945815306
ADSS_pos	9196.461485334661
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.557985768722632
AG13T10g_pos	11075.287813702695
AG13T11g_pos	11075.287813702695
AG13T12g_pos	11075.287813702695
AG13T13g_pos	11075.287813702695
AG13T14g_pos	11075.287813702695
AG13T15g_pos	11075.287813702695
AG13T16g_pos	7680.965289825331
AG13T17g_pos	7680.965289825331
AG13T18g_pos	7680.965289825331
AG13T1g_pos	7703.482224647339
AG13T2g_pos	7703.482224647339
AG13T3g_pos	7703.482224647339
AG13T4g_pos	11075.287813702695
AG13T5g_pos	11075.287813702695
AG13T6g_pos	11075.287813702695
AG13T7g_pos	11075.287813702695
AG13T8g_pos	11075.287813702695
AG13T9g_pos	11075.287813702695
AGDC_pos	3596.142018340905
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23987.60613392393
AGPAT1_pos	10552.4466973884
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8787.981105679008
AGTix_pos	12697.42430904541
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2151.3021353037684
AHCYStd_pos	2151.3021353037684
AHCYSte_neg	27546.55998039926
AHCYSte_pos	11492.452047514163
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5793.986334581547
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10124.963422000383
AHEXASE2ly_pos	17552.726619358862
AHEXASEly_pos	18028.13004532546
AICART_neg	13093.958648881373
AICART_pos	11556.020341098494
AICARte_neg	12748.089879487507
AICARte_pos	11556.02034109849
AIRCr_neg	0.0
AIRCr_pos	21009.539458153064
AK2LGCHOLt_neg	6.927019217951414
AK2LGCHOLt_pos	6684.172677070753
AKGDm_pos	10825.368598194736
AKGMALtm_neg	568.8827594018421
AKGMALtm_pos	421.8333811581589
AKGt4_3_neg	828.6555224466778
AKGt4_3_pos	942.8997218476858
AKGtp_neg	0.0
AKGtp_pos	47.34075571122046
AKR1C1_pos	62281.33114625263
AKR1C41_pos	2103.77861194906
AKR1C42_pos	2103.77861194906
AKR1D2_pos	65874.29074662861
AKR1D_pos	10935.946405929264
ALA-DTDe_pos	1378.2768270001802
ALAALACNc_neg	0.0
ALAALACNc_pos	7601.008490060052
ALAALAPEPT1tc_pos	7601.008490060053
ALAASNNaEx_pos	887.3550929610433
ALAATB0tc_pos	1335.8213300137882
ALACYSNaEx_pos	853.1978921348498
ALADGLNexR_neg	736.2891336984424
ALADGLNexR_pos	665.4476815778596
ALADGLYexR_neg	632.7971453259595
ALADGLYexR_pos	562.7120088651141
ALAGLNNaEx_pos	887.3550929610433
ALAGLNexR_neg	392.9378310735841
ALAGLNexR_pos	392.9378310735841
ALAGLYexR_neg	619.7889546058308
ALAGLYexR_pos	459.97633615236845
ALAR_neg	2.4404848493588025
ALAR_pos	3845.888569304424
ALASERNaEx_pos	802.4265064917364
ALASm_pos	354.9991484565336
ALATA_L_neg	4346.0674849433835
ALATA_L_pos	3751.612029392664
ALATHRNaEx_pos	824.7773312820307
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	505.9988204324203
ALAt2r_pos	632.7971453259595
ALAt4_pos	251.64438775660966
ALAtN1_neg	392.9378310735841
ALAtN1_pos	392.9378310735841
ALAyLATthc_pos	512.0852454899737
ALCD1_neg	6744.263165621563
ALCD1_pos	13.495795486359702
ALCD21_D_pos	420.5300797703729
ALCD21_L_pos	908.329531481818
ALCD22_D_pos	303.99445100337266
ALCD22_L_pos	908.329531481818
ALCD2if_pos	5.7127828943608305
ALCD2yf_pos	5.721902407428873
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.340755711220474
ALDD2x_pos	7082.9385383671015
ALDD2xm_pos	9321.135614298622
ALDD2y_pos	6922.422446181381
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53816.234952134866
ALDSTRNtm_neg	53816.23495213486
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3447.2426334226493
ALOX5_pos	98.28634093122186
ALR2_pos	908.329531481818
ALR3_pos	908.329531481818
AMACR2p_pos	18558.84365511789
AMACR2r_pos	0.0
AMACRp_pos	59586.79884350864
AMACRr_pos	0.0
AMANK_pos	8605.36727287612
AMCOXO_pos	47.724450112469576
AMETr_neg	0.0
AMETr_pos	5793.986334581547
AMETt2m_neg	2151.3021353037684
AMETt2m_pos	2151.3021353037684
AMETtd_neg	2151.3021353037684
AMETtd_pos	2151.3021353037684
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6845.478161505516
AMPTASECG_pos	7172.97131482185
AMPTASECGe_pos	8447.357755196925
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.454254330154942
AMY2e_pos	13.454254330154942
ANDRSTRNGLCte_pos	70861.02696563766
ANDRSTRNGLCtr_neg	70861.02696563766
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56715.80219232515
ANDRSTRNte_pos	18.313792163010866
ANDRSTRNtr_neg	18.313792163010866
ANDRSTRNtr_pos	56715.80219232516
ANTHte_neg	10.950980240837056
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.914081017261822
AOBUTDsm_pos	12360.211570756015
AP4AH1_pos	0.0
APAT2rm_neg	13676.663141773091
APAT2rm_pos	10945.887064173043
APNNOXte_neg	7.557985768722632
APNNOXte_pos	0.0
APOCF_pos	5711.828601247817
APOCFm_pos	6116.250210852581
APOC_LYS_BTNP_pos	5711.828601247817
APOC_LYS_BTNPm_pos	6116.250210852581
APPNNte_neg	0.0
APPNNte_pos	7.557985768722632
APRGSTRNte_neg	62281.33114625261
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.435467540148338
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.435467540148338
ARACHCOAtx_neg	26768.228890960356
ARACHCOAtx_pos	11515.73662109009
ARACHCPT1_pos	11990.835295981042
ARACHCPT2_pos	11990.835295981042
ARACHCRNt_pos	11990.835295981042
ARACHDCOAtx_neg	5092.12967350819
ARACHDCOAtx_pos	194.78688829157056
ARACHDt2_neg	367.3616942867698
ARACHDt2_pos	367.3616942867698
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4448.3389293609
ARACHt_neg	1219.602388593532
ARACHt_pos	1219.602388593532
ARGATB0tc_pos	1790.7539816368217
ARGDCm_pos	23987.60613392393
ARGLYSex_pos	719.9969179993809
ARGN_pos	14043.337124856935
ARGNm_pos	14717.046664389365
ARGSL_neg	0.0
ARGSL_pos	13295.75104993062
ARGSS_pos	13295.751049930623
ARGt4_pos	1535.0096537327363
ARGtiDF_pos	512.0852454899737
ARGtm_neg	1492.8212716739706
ARGtm_pos	1185.1045762468227
ARSA_pos	39033.19705754989
ARTCOAL1_pos	5017.485375151029
ARTCOAL2_pos	5017.485375151029
ARTCOAL3_pos	5017.485375151029
ASAH1_pos	38878.7041013438
ASCBOX_pos	8958.801555465338
ASCBSVCTtc_pos	3414.895417373059
ASCBt4_neg	481.6717358656437
ASCBt4_pos	1272.3809708444296
ASCBt_neg	1272.3809708444296
ASCBt_pos	1272.3809708444296
ASNALANaEx_pos	887.3550929610433
ASNATB0tc_pos	1436.291434984796
ASNCYSNaEx_pos	1058.177658782682
ASNGLNNaEx_pos	887.3550929610433
ASNNm_pos	8785.742195007891
ASNPHELAT2tc_pos	549.6199031329377
ASNS1_pos	7359.82534110914
ASNSERNaEx_pos	1048.1268408638741
ASNTHRNaEx_pos	1070.4776656541685
ASNt4_pos	348.23823355092395
ASNtN1_neg	348.23823355092395
ASNtN1_pos	584.5328257095176
ASNtm_pos	8785.742195007891
ASP1DC_pos	9268.900439842857
ASPCTr_neg	0.0
ASPCTr_pos	19129.584609950423
ASPDTDe_neg	11.609677466288215
ASPDTDe_pos	2172.357539310432
ASPDt6_pos	2172.357539310432
ASPDxt_neg	11.372436925256974
ASPDxt_pos	0.0
ASPGLUm_pos	2571.9250426573512
ASPNATm_pos	7642.791357614192
ASPPROASCT1_pos	1848.034654701511
ASPTA_neg	7297.536370047006
ASPTA_pos	2571.9250426573512
ASPTAm_neg	2571.925042657351
ASPTAm_pos	9196.779593162933
ASPt6_pos	2172.357539310432
ASPte_pos	1215.5763257243407
ATP1ter_neg	0.0
ATP1ter_pos	7296.549815070008
ATP2ter_neg	4671.171477316691
ATP2ter_pos	4671.171477316691
ATPH1e_pos	14664.175916479137
ATPH2e_pos	3.0659780499210214
ATPS4m_pos	1630.8084436290987
ATPasel_pos	24385.851110956664
ATPtm_pos	679.4373731967449
ATPtn_neg	0.0
ATPtn_pos	9794.320977332634
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4308.629804364313
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17834.407661626246
Asn_X_Ser_Thrtr_neg	17518.409768714842
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11694.016281230623
B3GALT41g_pos	12913.915239362224
B3GALT42g_pos	13094.000555550914
B3GALT43g_pos	13274.695660493004
B3GALT44g_pos	13544.74647437365
B3GALT5g_pos	10817.292330083932
B3GALTg_pos	11975.551320078739
B3GNT11g_pos	10153.52058369955
B3GNT12g_pos	9252.747382686432
B3GNT310g_pos	11955.208672889865
B3GNT311g_pos	9921.419107558351
B3GNT312g_pos	10153.52058369955
B3GNT313g_pos	9295.975105766134
B3GNT314g_pos	8630.634741639193
B3GNT315g_pos	9252.747382686432
B3GNT31g_pos	10124.892692863361
B3GNT32g_pos	10124.892692863361
B3GNT33g_pos	10124.892692863361
B3GNT34g_pos	9823.214778352667
B3GNT35g_pos	9823.214778352667
B3GNT36g_pos	943.1059726837922
B3GNT37g_pos	12864.05220077506
B3GNT39g_pos	29871.678142274435
B3GNT51g_pos	11955.208672889863
BAAT1x_pos	4022.5023312326757
BAAT2x_pos	3242.147828720269
BAAT3x_pos	18558.84365511789
BAAT4x_pos	4022.5023312326757
BACCL_pos	5711.828601247817
BACCLm_pos	6116.250210852581
BALABETAtc_pos	1572.6454843159217
BALAPAT1tc_pos	1489.2040542376687
BALAVECSEC_pos	4333.70865839447
BALAtmr_neg	13676.663141773095
BALAtmr_pos	10945.887064173045
BAMPPALDOX_pos	30547.16740579171
BAMPPALDOXm_pos	0.0
