	Treg_Lymph_Treg7_L1	Treg_Spleen_Treg1_L2	Tcon_Spleen_Tcon1_L1	Tcon_Lymph_Tcon10_L2	exTreg_Lymph_exTreg3_L1
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.9111640042869458	2.6159701194539164	2.1703007518015465	2.167048865311814	1.2316753960774667
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	4.671474355941544	4.1481311441256645	3.7979112407827533	4.211527913850895	2.6904150475969058
5FTHFt2_neg	4.671474355941544	4.1481311441256645	3.7979112407827533	4.211527913850895	2.6904150475969058
5HLTDL_pos	0.9929106096962237	1.4924269260361356	0.2743043661875912	0.29230081587395473	0.8360052160923915
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	0.0	0.0	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	0.0	0.09099306438169916	0.0	0.0
5HTRPVESSEC_pos	3.182968405625136	3.079315683274006	2.866507492121001	2.8002948404437777	0.17026505523834068
5HXKYNDCL_pos	0.9929106096962237	1.4924269260361356	0.2743043661875912	0.29230081587395473	0.8360052160923915
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_neg	0.0	0.0	0.0	0.0	0.0
5MTHFt2_pos	4.671474355941544	4.1481311441256645	3.7979112407827533	4.211527913850895	2.6904150475969058
5MTHFt2_neg	4.671474355941544	4.1481311441256645	3.7979112407827533	4.211527913850895	2.6904150475969058
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.4460898802084055	6.020587356472658	6.31287561076834	6.691237371352973	5.51872562698452
A_MANASEly_pos	7.335187360814383	7.680385056792097	7.472326778509371	7.313395333157006	6.723909807035216
A4GALTc_pos	0.0	0.05625911856163747	0.0	0.0	0.0
A4GALTg_pos	0.0	0.05625911856163747	0.0	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.0
AACOAT_pos	3.897429723792118	3.942042336977264	3.646692389645485	4.007325955332143	1.4567479246678385
AACTOOR_pos	0.0	0.1215519571959142	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.2230967272729623	1.2827154404796342	1.7921790528770636	1.6080636558763823	0.32443381442523866
ABUTt2r_neg	1.2230967272729623	1.2827154404796342	1.7921790528770636	1.6080636558763823	0.32443381442523866
ABUTt2rL_pos	1.2230967272729623	1.2827154404796342	1.7921790528770636	1.6080636558763823	0.32443381442523866
ABUTt2rL_neg	1.2230967272729623	1.2827154404796342	1.7921790528770636	1.6080636558763823	0.32443381442523866
ABUTt4_2_r_pos	0.261981874109588	0.46238834434258225	0.03188214506431456	0.0	0.0
ABUTt4_2_r_neg	0.261981874109588	0.46238834434258225	0.03188214506431456	0.0	0.0
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.00901567409533441	0.049798714135783774	0.0	0.009381263320795962	0.00620123673431273
ACACt2_neg	0.00901567409533441	0.049798714135783774	0.0	0.009381263320795962	0.00620123673431273
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.6053144811997573	2.710395943538328	2.535751189718965	2.093431092786918	1.2245148539371278
ACCOAgt_neg	2.6053144811997573	2.710395943538328	2.535751189718965	2.093431092786918	1.2245148539371278
ACCOAL_pos	3.909377016067214	3.9630904936549913	4.4004270639100795	4.629595036190906	4.40051662508318
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.6053144811997573	2.710395943538328	2.535751189718965	2.093431092786918	1.2245148539371278
ACCOAtr_neg	2.6053144811997573	2.710395943538328	2.535751189718965	2.093431092786918	1.2245148539371278
ACETONEt2_pos	3.7906497409239113	3.9095721565161385	1.5331914223333052	2.654113158956941	3.6692723590118073
ACETONEt2_neg	3.7906497409239113	3.9095721565161385	1.5331914223333052	2.654113158956941	3.6692723590118073
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	3.1610317022299794	3.479926262229003	2.462699882771133	1.4079400143460217	2.574179161513015
ACGAM2E_neg	3.1610317022299794	3.479926262229003	2.462699882771133	1.4079400143460217	2.574179161513015
ACGAM6PSi_pos	0.052877691330204674	0.09722926525314668	0.30404134534379207	0.15905073127125846	0.03654264062116162
ACGAMK_pos	4.986368846172048	5.23278014829394	5.003180308112266	4.568775136115201	5.882924090034931
ACGAMPM_pos	3.353939474784033	3.4940814681120034	3.2100081133889735	2.928212779320486	3.795669818144073
ACGAMPM_neg	3.353939474784033	3.4940814681120034	3.2100081133889735	2.928212779320486	3.795669818144073
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	2.4136274061677025	2.2060430170843337	1.9820290819135493	1.8635520869738202	0.8578293079677228
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.8220311963164889	1.1957436954005798	0.7856156893622047	0.4001588269582679	0.0
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.251944009215993	6.19723040783971	6.09247947308915	6.054370264783073	6.511196138413672
ACNAM9PL2_pos	6.251944009215993	6.19723040783971	6.09247947308915	6.054370264783073	6.511196138413672
ACNAMlt_pos	2.326224180587857	2.500072743674319	2.3263528528657282	1.9422070894967942	1.133934624130736
ACNAMlt_neg	2.326224180587857	2.500072743674319	2.3263528528657282	1.9422070894967942	1.133934624130736
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.034078308998575065	0.031845159429719376	0.0	0.0	0.0
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	5.136598531229528	5.315373971439214	4.839566491725096	5.310645313588798	5.408627069978172
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.0	0.0	0.0	0.0	0.0
ACOX2x_pos	0.0	0.0	0.0	0.0	0.0
ACP1_FMN__pos	5.561009401406878	5.677642423576593	5.183271316514672	5.340467142369582	4.746969908385556
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	4.8543861645904185	4.9052460047903885	5.028700643614091	5.315984391151279	4.515042345474855
ACS2_pos	4.8543861645904185	4.9052460047903885	5.028700643614091	5.315984391151279	4.515042345474855
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	4.81991752442972	4.9615326953932275	5.341991502346763	4.879846085171181	5.239241038732591
ADA_pos	2.3894786780244552	2.334284051048543	2.682714972482187	3.2755294979276885	1.6921968506706906
ADAe_pos	2.3894786780244552	2.334284051048543	2.682714972482187	3.2755294979276885	1.6921968506706906
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	2.9707014033366317	2.5334459955241364	2.6242485706010443	3.476202307813658	3.662044728201824
ADEt_neg	2.9707014033366317	2.5334459955241364	2.6242485706010443	3.476202307813658	3.662044728201824
ADEtl_pos	3.143027618107017	3.197074030326102	3.0032227631989055	3.18120722521831	3.255746482492593
ADEtl_neg	3.143027618107017	3.197074030326102	3.0032227631989055	3.18120722521831	3.255746482492593
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.30903612514940404	0.12590516023494044	0.19215813975974774	0.2927356399575089	0.0
ADK1_neg	0.30903612514940404	0.12590516023494044	0.19215813975974774	0.2927356399575089	0.0
ADK1m_pos	0.0	0.0	0.0	0.0	0.0
ADK1m_neg	0.0	0.0	0.0	0.0	0.0
ADK3_pos	0.007469148239662851	0.0	0.0	0.015502740422992628	0.0
ADK3_neg	0.007469148239662851	0.0	0.0	0.015502740422992628	0.0
