	exTreg_Spleen_exTreg6_L2	exTreg_Lymph_exTreg4_L2	Tcon_Lymph_Tcon7_L1	exTreg_Spleen_exTreg10_L2	Tcon_Spleen_Tcon3_L1
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.0513085813663023	1.0594548208322896	2.002911583512579	2.398363375887593	2.0835884974690746
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.540883142968684	4.2782887691930815	4.065592559500662	3.711108021984871	3.7189903397526995
5FTHFt2_neg	3.540883142968684	4.2782887691930815	4.065592559500662	3.711108021984871	3.7189903397526995
5HLTDL_pos	1.542271629116521	0.0	0.3952213950975982	0.17172048274576773	0.10911920291644031
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	0.01425455077883074	0.016026934778439163	0.0	0.01768513839482269
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	0.0	0.0	0.0	0.4503732124479173
5HTRPVESSEC_pos	1.5309139198797534	1.4828357369868421	3.0613792290631494	1.795159819409875	3.1841734408807874
5HXKYNDCL_pos	1.542271629116521	0.0	0.3952213950975982	0.17172048274576773	0.10911920291644031
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_neg	0.0	0.0	0.0	0.0	0.0
5MTHFt2_pos	3.540883142968684	4.2782887691930815	4.065592559500662	3.711108021984871	3.7189903397526995
5MTHFt2_neg	3.540883142968684	4.2782887691930815	4.065592559500662	3.711108021984871	3.7189903397526995
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	5.640996983786874	6.061087475047401	6.705822243902498	5.384077295125002	6.249973689033317
A_MANASEly_pos	7.054445813840616	6.8285723630096635	7.443070987974942	7.078493144672658	7.4788940170891305
A4GALTc_pos	0.0	0.0	0.0	0.0	0.0
A4GALTg_pos	0.0	0.0	0.0	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.13175096231657923
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.13175096231657923
AACOAT_pos	3.7392809678159256	3.3141198278378394	3.622635131493399	3.87831528222515	3.8841672107682803
AACTOOR_pos	0.0	0.0	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	0.7584435164300093	1.4632411520707642	1.7096695069553947	1.0942011872878987	1.8813654324654643
ABUTt2r_neg	0.7584435164300093	1.4632411520707642	1.7096695069553947	1.0942011872878987	1.8813654324654643
ABUTt2rL_pos	0.7584435164300093	1.4632411520707642	1.7096695069553947	1.0942011872878987	1.8813654324654643
ABUTt2rL_neg	0.7584435164300093	1.4632411520707642	1.7096695069553947	1.0942011872878987	1.8813654324654643
ABUTt4_2_r_pos	0.0	0.031059089645859527	0.0	0.0	0.1828922856753081
ABUTt4_2_r_neg	0.0	0.031059089645859527	0.0	0.0	0.1828922856753081
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.0	0.006423121233891213	0.0	0.0	0.07022870302411072
ACACt2_neg	0.0	0.006423121233891213	0.0	0.0	0.07022870302411072
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.384561251293878	1.638536499367294	2.4475431295154464	2.7240023345742883	2.3685512628793464
ACCOAgt_neg	2.384561251293878	1.638536499367294	2.4475431295154464	2.7240023345742883	2.3685512628793464
ACCOAL_pos	3.5964901716609794	3.2621610080468932	4.664892278390295	2.77918338370852	4.510698530623316
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.384561251293878	1.638536499367294	2.4475431295154464	2.7240023345742883	2.3685512628793464
ACCOAtr_neg	2.384561251293878	1.638536499367294	2.4475431295154464	2.7240023345742883	2.3685512628793464
ACETONEt2_pos	3.7799893671967264	1.5686011962856357	3.054956503726562	2.8225651625097568	2.7733855973320543
ACETONEt2_neg	3.7799893671967264	1.5686011962856357	3.054956503726562	2.8225651625097568	2.7733855973320543
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	3.69040354911001	0.0	1.976855076204931	2.7828539892739506	2.469577515934505
ACGAM2E_neg	3.69040354911001	0.0	1.976855076204931	2.7828539892739506	2.469577515934505
ACGAM6PSi_pos	0.07258376284537019	0.11065538124330844	0.20097685630343307	0.04401058360225961	0.22037549131287337
ACGAMK_pos	5.823990037495753	5.918946839864446	4.939673937092271	5.3074395559380685	4.88773727869539
ACGAMPM_pos	3.166547314285935	0.798429342673019	3.0596856953402365	2.7171315475720634	3.1689236920237853
ACGAMPM_neg	3.166547314285935	0.798429342673019	3.0596856953402365	2.7171315475720634	3.1689236920237853
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	0.8822850749548282	0.5473851201302732	1.7963862014053618	1.3417436626098247	1.5797746332570575
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.0	0.14967186006610894	0.0	0.0	0.18369319839130788
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.544084708852992	6.794780867509381	6.220984079795669	6.375719884834215	6.427246861780399
ACNAM9PL2_pos	6.544084708852992	6.794780867509381	6.220984079795669	6.375719884834215	6.427246861780399
ACNAMlt_pos	1.8887298006289657	1.5140481154839733	2.4218681979235366	1.4512008665836795	2.083637970492942
ACNAMlt_neg	1.8887298006289657	1.5140481154839733	2.4218681979235366	1.4512008665836795	2.083637970492942
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.0	0.0	0.0	0.0	0.0
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	4.825219183185757	6.252849409273226	4.834386500078337	5.087563691019492	5.508833344303743
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.0	0.0	0.0	0.0	0.0
ACOX2x_pos	0.0	0.0	0.0	0.0	0.0
ACP1_FMN__pos	4.828459426359844	4.497066661855144	5.497040128723855	4.996645487161101	5.105121845932529
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	4.611822607972218	4.2125859446109235	5.19710569402801	4.362501892449078	5.1922505535901715
ACS2_pos	4.611822607972218	4.2125859446109235	5.19710569402801	4.362501892449078	5.1922505535901715
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	4.67702356416157	5.411923209919211	4.747062295311523	4.166096189064395	5.17624787782751
ADA_pos	0.6990095472995246	2.5239205599523697	2.9346596064396246	3.0197944088649353	3.3577949648281096
ADAe_pos	0.6990095472995246	2.5239205599523697	2.9346596064396246	3.0197944088649353	3.3577949648281096
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	2.862260003572014	2.03188259981139	3.284185265232397	1.0643976320671764	3.0576336070584147
ADEt_neg	2.862260003572014	2.03188259981139	3.284185265232397	1.0643976320671764	3.0576336070584147
ADEtl_pos	2.494453452291365	3.271000300137093	2.8246480020525357	2.75256087579454	3.3033599665579
ADEtl_neg	2.494453452291365	3.271000300137093	2.8246480020525357	2.75256087579454	3.3033599665579
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.05459430139258137	0.12350480818233144	0.17794876150443534	0.0	0.03516110338748542
ADK1_neg	0.05459430139258137	0.12350480818233144	0.17794876150443534	0.0	0.03516110338748542
ADK1m_pos	0.0	0.0	0.0	0.0	0.0
ADK1m_neg	0.0	0.0	0.0	0.0	0.0
ADK3_pos	0.0	0.0	0.0	0.0	0.0
ADK3_neg	0.0	0.0	0.0	0.0	0.0
ADK3m_pos	0.0	0.0	0.0	0.0	0.0
