	exTreg_Lymph_exTreg2_L1	Tcon_Lymph_Tcon9_L2	exTreg_Spleen_exTreg8_L1	Tcon_Spleen_Tcon5_L2	Treg_Spleen_Treg5_L1
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.405439824174307	2.613367413955353	2.3319729044482966	2.484526261422325	2.797411143875099
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	4.336841954804665	4.5651907745436935	4.166767010753185	3.4992244334400273	4.1497365638150825
5FTHFt2_neg	4.336841954804665	4.5651907745436935	4.166767010753185	3.4992244334400273	4.1497365638150825
5HLTDL_pos	1.4890705740148034	0.6885611126751008	0.8693294320791698	0.247280370318549	1.359206553266458
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.017794807021303698	0.017846583813398334	0.0	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	0.0	0.0	0.0	0.0
5HTRPVESSEC_pos	1.448875601238013	3.1593854107920665	1.6218763264473113	3.0888152153199013	3.3132468249532545
5HXKYNDCL_pos	1.4890705740148034	0.6885611126751008	0.8693294320791698	0.247280370318549	1.359206553266458
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.30827791580974134
5MTHFt_neg	0.0	0.0	0.0	0.0	0.30827791580974134
5MTHFt2_pos	4.336841954804665	4.5651907745436935	4.166767010753185	3.4992244334400273	4.1497365638150825
5MTHFt2_neg	4.336841954804665	4.5651907745436935	4.166767010753185	3.4992244334400273	4.1497365638150825
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	4.735479475815767	6.557721814272819	5.806851149856903	6.47042976899275	6.15569729565244
A_MANASEly_pos	6.4501371904798335	7.379486277490972	7.107694067073767	7.56695423193558	7.653809511323729
A4GALTc_pos	0.053652592497741645	0.0	0.0	0.0	0.16151140552588383
A4GALTg_pos	0.053652592497741645	0.0	0.0	0.0	0.16151140552588383
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.0
AACOAT_pos	3.1307094434480995	3.756900674112976	3.8825028419340515	3.7102080425090884	3.9767652576548898
AACTOOR_pos	0.0	0.0	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.3964132758348358	1.6658780094036059	0.6259378459107627	1.9811538836725593	1.433632516462567
ABUTt2r_neg	1.3964132758348358	1.6658780094036059	0.6259378459107627	1.9811538836725593	1.433632516462567
ABUTt2rL_pos	1.3964132758348358	1.6658780094036059	0.6259378459107627	1.9811538836725593	1.433632516462567
ABUTt2rL_neg	1.3964132758348358	1.6658780094036059	0.6259378459107627	1.9811538836725593	1.433632516462567
ABUTt4_2_r_pos	0.0	0.047400811774238855	0.0	0.0	0.10986034408887933
ABUTt4_2_r_neg	0.0	0.047400811774238855	0.0	0.0	0.10986034408887933
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.0	0.0	0.0	0.0	0.09726863238576736
ACACt2_neg	0.0	0.0	0.0	0.0	0.09726863238576736
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	1.7778319863692729	2.327617504431844	1.9007532816925932	2.12134443985342	2.934539335050195
ACCOAgt_neg	1.7778319863692729	2.327617504431844	1.9007532816925932	2.12134443985342	2.934539335050195
ACCOAL_pos	3.372303257989796	3.9975670482256906	3.296820421886842	4.002103376945597	3.2842971304974387
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	1.7778319863692729	2.327617504431844	1.9007532816925932	2.12134443985342	2.934539335050195
ACCOAtr_neg	1.7778319863692729	2.327617504431844	1.9007532816925932	2.12134443985342	2.934539335050195
ACETONEt2_pos	3.616304680744198	3.1931083431458185	3.0320818458523457	2.289790388548048	4.5153412900387195
ACETONEt2_neg	3.616304680744198	3.1931083431458185	3.0320818458523457	2.289790388548048	4.5153412900387195
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	0.0	2.6653756007310654	2.8176314679576326	2.594633225620843	4.160700714570419
ACGAM2E_neg	0.0	2.6653756007310654	2.8176314679576326	2.594633225620843	4.160700714570419
ACGAM6PSi_pos	0.04713812670824138	0.09304775130493455	0.034658487137518026	0.6658244643220071	0.3912366609683125
ACGAMK_pos	5.451344831758899	5.040996310591204	5.3242991313673595	5.023843802608044	5.184281937487799
ACGAMPM_pos	2.9822738558276147	3.109547456213796	3.399016039530432	3.3641418636489657	3.1585797112699336
ACGAMPM_neg	2.9822738558276147	3.109547456213796	3.399016039530432	3.3641418636489657	3.1585797112699336
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	0.2874959797100139	2.2662930486023174	1.0042246041021152	1.818561511216863	2.2418550252516876
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.0	0.9702976915523334	1.0705839776015178	0.5384157056560772	0.9976553082885287
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.49581621296089445
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.638875366179886	6.3773597007279985	6.572200766811032	6.257808860373169	6.344402887998821
ACNAM9PL2_pos	6.638875366179886	6.3773597007279985	6.572200766811032	6.257808860373169	6.344402887998821
ACNAMlt_pos	1.3381167837153112	1.9215804929414078	0.8763250126786193	2.3518055879526023	1.897129514662897
ACNAMlt_neg	1.3381167837153112	1.9215804929414078	0.8763250126786193	2.3518055879526023	1.897129514662897
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.0	0.14618383997708304	0.06585219209624717	0.06617547602765876	0.12253545518269522
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	4.704463506116047	5.362000915956265	5.266436466308039	5.406251300876854	4.857104785365654
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.0	0.0	0.0	0.0	0.0
ACOX2x_pos	0.0	0.0	0.0	0.0	0.0
ACP1_FMN__pos	5.076545640347154	5.532869377078338	4.897370220170756	5.433509543923056	5.5508172647389475
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	4.179033045238298	4.832479512572954	4.559249453243331	4.813096968404281	4.613939229059823
ACS2_pos	4.179033045238298	4.832479512572954	4.559249453243331	4.813096968404281	4.613939229059823
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	5.194183929886802	5.233139566899504	4.208609842850296	4.697285260212608	4.784583632573156
ADA_pos	2.752353437706816	2.7982943432277723	2.0197227577664494	1.8531154185379959	2.0483589057843834
ADAe_pos	2.752353437706816	2.7982943432277723	2.0197227577664494	1.8531154185379959	2.0483589057843834
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	2.7260870401585757	3.3605086299947824	2.6381428593907885	3.08574849627224	2.94614888309225
ADEt_neg	2.7260870401585757	3.3605086299947824	2.6381428593907885	3.08574849627224	2.94614888309225
ADEtl_pos	2.452962731203598	3.0802226263991805	2.8604616232124966	2.8007627132066983	2.977196106254074
ADEtl_neg	2.452962731203598	3.0802226263991805	2.8604616232124966	2.8007627132066983	2.977196106254074
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.0	0.26942803885317657	0.10123944386266405	0.019628913293906865	0.09041779812066245
ADK1_neg	0.0	0.26942803885317657	0.10123944386266405	0.019628913293906865	0.09041779812066245
ADK1m_pos	0.0	0.0	0.0	0.0	0.0
ADK1m_neg	0.0	0.0	0.0	0.0	0.0
