	Ob-b_S131_L007_R1_001
ACNACNGALGBSIDEte_pos	11224.572120002747
ACNACNGALGBSIDEtg_neg	11224.572120002747
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8691.914348920141
ACNAM9PL_pos	8380.48539445739
ACNAMPH_pos	8380.48539445739
ACNAMlt_neg	17898.76919386127
ACNAMlt_pos	0.0
ACNAMtn_pos	8793.417927382006
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10150.480259868902
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10150.480259868902
ACNMLr_neg	18498.25552345507
ACNMLr_pos	8380.485394457392
ACOAD10m_pos	274.66812785228353
ACOAD1fm_pos	18144.958862623185
ACOAD8m_pos	301.490685847516
ACOAD9m_pos	11816.659398897818
ACOAHi_pos	3280.4202754463386
ACOAO7p_pos	17554.84423137607
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1172.6971951699502
ACONT_pos	1172.6971951699502
ACONTm_neg	309.072009405173
ACONTm_pos	309.072009405173
ACOX22x_pos	68369.08426330274
ACOX2x_pos	58387.80190151174
ACP1_FMN__pos	3362.652929338693
ACRNtm_pos	2309.4379698860216
ACS2_pos	3269.221827502883
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3280.420275446339
ACSm_pos	4496.848700305247
ACTLMO_pos	5516.55454203365
ACTNMO_pos	14231.911269148799
ACYP_pos	3226.02369466052
ACt2m_neg	4120.010745106364
ACt2m_pos	4855.375766722265
ACt2r_neg	1229.3648350080234
ACt2r_pos	1229.3648350080234
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7359.5837748065505
ADAe_pos	7542.925841795088
ADCim_pos	10554.808556339714
ADEt_neg	6220.521702064498
ADEt_pos	30643.238575342468
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1028.3430115215142
ADK1_pos	1028.3430115215135
ADK1m_neg	419.0909338935588
ADK1m_pos	419.09093389355877
ADK3_neg	1028.3430115215142
ADK3_pos	1028.3430115215142
ADK3m_neg	419.0909338935588
ADK3m_pos	419.09093389355877
ADKd_neg	1026.2049788045263
ADKd_pos	1026.2049788045263
ADMDC_pos	15155.472939367686
ADNCYC_pos	3312.5159170682573
ADNK1_pos	3316.6063304595805
ADNK1m_pos	2376.7757022495407
ADNK3_pos	4217.055670249776
ADNK4_pos	4217.055670249776
ADNt4_pos	735.5208163649309
ADNt5le_pos	1375.7021643623884
ADNt_neg	735.5208163649309
ADNt_pos	1205.275349202868
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5789.2490421486855
ADNtm_pos	8500.09914720051
ADPACDAc_pos	7803.802471794087
ADPACTD_neg	0.0
ADPACTD_pos	7803.802471794089
ADPCOACROT_neg	7803.802471794089
ADPCOACROT_pos	61375.69634198671
ADPCOAPTE_pos	7803.802471794089
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7856.720305007613
ADPRDPm_pos	0.0
ADPRIBt_pos	17.672559779087635
ADPT_pos	3819.2915004507963
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	9.993961338393682
ADRNCOAtx_pos	14900.341499394595
ADRNCPT1_pos	324.5917073508651
ADRNCPT2_pos	324.5917073508651
ADRNCRNt_pos	324.5917073508651
ADRNLPVESSEC_pos	37010.708507251926
ADRNt_neg	1179.2808554129106
ADRNt_pos	1190.3416429973827
ADSELK_pos	0.0
ADSK_pos	3326.5514468897018
ADSL1_pos	8883.355971434068
ADSL2_pos	20400.525884209976
ADSS_pos	8883.355971434068
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.485319951562107
AG13T10g_pos	10794.402938393223
AG13T11g_pos	10794.402938393223
AG13T12g_pos	10794.402938393223
AG13T13g_pos	10794.402938393223
AG13T14g_pos	10794.402938393223
AG13T15g_pos	10794.402938393223
AG13T16g_pos	7500.833622667603
AG13T17g_pos	7500.833622667603
AG13T18g_pos	7500.833622667603
AG13T1g_pos	7530.99095829715
AG13T2g_pos	7530.99095829715
AG13T3g_pos	7530.99095829715
AG13T4g_pos	10794.402938393223
AG13T5g_pos	10794.402938393223
AG13T6g_pos	10794.402938393223
AG13T7g_pos	10794.402938393223
AG13T8g_pos	10794.402938393223
AG13T9g_pos	10794.402938393223
AGDC_pos	3466.8638952086467
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23564.413262164424
AGPAT1_pos	10235.847433509112
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8728.284684000912
AGTix_pos	12366.582299354186
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2104.066209166221
AHCYStd_pos	2104.066209166221
AHCYSte_neg	26905.23057924379
AHCYSte_pos	11314.28899843519
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5719.758484724722
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9892.38117303711
AHEXASE2ly_pos	17178.5790537775
AHEXASEly_pos	17669.33237746626
AICART_neg	12927.841048333103
AICART_pos	11183.98993234009
AICARte_neg	12526.756491650487
AICARte_pos	11183.98993234009
AIRCr_neg	0.0
AIRCr_pos	20400.525884209965
AK2LGCHOLt_neg	6.813084934589267
AK2LGCHOLt_pos	6511.5560006185915
AKGDm_pos	10521.836522473734
AKGMALtm_neg	436.23217850557114
AKGMALtm_pos	325.94625873077837
AKGt4_3_neg	689.1733619736879
AKGt4_3_pos	807.3185493368718
AKGtp_neg	0.0
AKGtp_pos	45.539381713242754
AKR1C1_pos	61491.403931012544
AKR1C41_pos	2091.0404159693608
AKR1C42_pos	2091.0404159693608
AKR1D2_pos	64522.32258528369
AKR1D_pos	11290.63278734464
ALA-DTDe_pos	1337.1199167242444
ALAALACNc_neg	0.0
ALAALACNc_pos	7508.951103693927
ALAALAPEPT1tc_pos	7508.9511036939275
ALAASNNaEx_pos	705.8226354397971
ALAATB0tc_pos	1291.1400501823719
ALACYSNaEx_pos	677.2367176846006
ALADGLNexR_neg	676.1032425636675
ALADGLNexR_pos	618.3483417558588
ALADGLYexR_neg	577.841476629676
ALADGLYexR_pos	524.3468507194855
ALAGLNNaEx_pos	705.8226354397971
ALAGLNexR_neg	374.50921074539235
ALAGLNexR_pos	374.50921074539235
ALAGLYexR_neg	567.6594655342537
ALAGLYexR_pos	430.3453596831121
ALAR_neg	2.4173807902710887
ALAR_pos	3784.0371016631066
ALASERNaEx_pos	609.8115174546041
ALASm_pos	281.42499812015507
ALATA_L_neg	4290.16165757523
ALATA_L_pos	3441.010423883045
ALATHRNaEx_pos	676.2065482795001
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	477.0607864058193
ALAt2r_pos	577.841476629676
ALAt4_pos	239.56299113436273
ALAtN1_neg	374.50921074539235
ALAtN1_pos	374.50921074539235
ALAyLATthc_pos	477.0607864058193
ALCD1_neg	6570.98485687621
ALCD1_pos	13.388845410548853
ALCD21_D_pos	397.7930496819556
ALCD21_L_pos	837.6835687321459
ALCD22_D_pos	298.09104032224184
ALCD22_L_pos	837.6835687321459
ALCD2if_pos	5.621980453147654
ALCD2yf_pos	5.623845701457918
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.53938171324275
ALDD2x_pos	6779.612376799138
ALDD2xm_pos	8996.94206492858
ALDD2y_pos	6620.236849147876
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53061.944090940095
ALDSTRNtm_neg	53061.94409094008
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3514.8818280545734
ALOX5_pos	96.5651136481809
ALR2_pos	837.6835687321459
ALR3_pos	837.6835687321459
AMACR2p_pos	18132.670118437487
AMACR2r_pos	0.0
AMACRp_pos	58387.80190151174
AMACRr_pos	0.0
AMANK_pos	8380.48539445739
AMCOXO_pos	47.13887277827067
AMETr_neg	0.0
AMETr_pos	5719.758484724721
AMETt2m_neg	2104.066209166221
AMETt2m_pos	2104.066209166221
AMETtd_neg	2104.066209166221
AMETtd_pos	2104.066209166221
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6561.2715033580125
AMPTASECG_pos	6943.209494623759
AMPTASECGe_pos	8168.73737711159
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.454549458743212
AMY2e_pos	13.454549458743212
ANDRSTRNGLCte_pos	69010.30147392275
ANDRSTRNGLCtr_neg	69010.30147392277
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55753.86361518485
ANDRSTRNte_pos	17.44036221591518
ANDRSTRNtr_neg	17.440362215915183
ANDRSTRNtr_pos	55753.863615184826
ANTHte_neg	10.88951701742161
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.901340217542144
AOBUTDsm_pos	12328.931603283392
AP4AH1_pos	0.0
APAT2rm_neg	13473.193355445705
APAT2rm_pos	10745.791115686889
APNNOXte_neg	7.485319951562108
APNNOXte_pos	0.0
APOCF_pos	5560.203146916139
APOCFm_pos	5960.519199555565
APOC_LYS_BTNP_pos	5560.203146916139
APOC_LYS_BTNPm_pos	5960.519199555565
APPNNte_neg	0.0
APPNNte_pos	7.485319951562108
APRGSTRNte_neg	61491.40393101253
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.364098433306847
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.364098433306847
ARACHCOAtx_neg	25748.06230133268
ARACHCOAtx_pos	11050.750972300722
ARACHCPT1_pos	11638.94712673503
ARACHCPT2_pos	11638.94712673503
ARACHCRNt_pos	11638.94712673503
ARACHDCOAtx_neg	4962.33286933388
ARACHDCOAtx_pos	188.71436884909374
ARACHDt2_neg	344.0100413969676
ARACHDt2_pos	355.0708289814397
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4339.685184199671
ARACHt_neg	1196.5211431387224
ARACHt_pos	1207.5819307231945
ARGATB0tc_pos	1689.1089629841767
ARGDCm_pos	23564.413262164424
ARGLYSex_pos	665.4376566233644
ARGN_pos	13844.624999019634
ARGNm_pos	14816.524267536819
ARGSL_neg	0.0
ARGSL_pos	13046.833341305975
ARGSS_pos	13046.833341305977
ARGt4_pos	1479.8543356027135
ARGtiDF_pos	477.0607864058193
ARGtm_neg	1487.3414377676563
ARGtm_pos	1186.756007201518
ARSA_pos	38118.375260468514
ARTCOAL1_pos	4924.44807327135
ARTCOAL2_pos	4924.44807327135
ARTCOAL3_pos	4924.44807327135
ASAH1_pos	38075.16431554398
ASCBOX_pos	8685.823096176557
ASCBSVCTtc_pos	3265.4564227617343
ASCBt4_neg	426.3840606452467
ASCBt4_pos	1234.169407079517
ASCBt_neg	1234.169407079517
ASCBt_pos	1245.230194663989
ASNALANaEx_pos	705.8226354397971
ASNATB0tc_pos	1354.1738746599276
ASNCYSNaEx_pos	863.4461032206707
ASNGLNNaEx_pos	705.8226354397971
ASNNm_pos	8669.188040058669
ASNPHELAT2tc_pos	516.2311017472551
ASNS1_pos	7338.0060341264425
ASNSERNaEx_pos	854.9118987138397
ASNTHRNaEx_pos	893.8256175125437
ASNt4_pos	335.5954919466883
ASNtN1_neg	335.5954919466883
ASNtN1_pos	654.8166133451275
ASNtm_pos	8669.188040058669
ASP1DC_pos	9181.979131478265
ASPCTr_neg	0.0
ASPCTr_pos	18774.537052196778
ASPDTDe_neg	11.382542744069156
ASPDTDe_pos	2003.7164356723192
ASPDt6_pos	2003.7164356723192
ASPDxt_neg	11.132619694542969
ASPDxt_pos	0.0
ASPGLUm_pos	2495.6239910808763
ASPNATm_pos	7378.336623080101
ASPPROASCT1_pos	1581.4172688918839
ASPTA_neg	7236.794654842866
ASPTA_pos	2495.6239910808763
ASPTAm_neg	2495.6239910808763
ASPTAm_pos	9115.282557983792
ASPt6_pos	2003.7164356723192
ASPte_pos	1192.2853592168
ATP1ter_neg	0.0
ATP1ter_pos	7159.489662457754
ATP2ter_neg	4493.531334062263
ATP2ter_pos	4493.531334062263
ATPH1e_pos	13986.630364652694
ATPH2e_pos	3.0196496892034226
ATPS4m_pos	1571.0420513701595
ATPasel_pos	23800.338582582357
ATPtm_pos	649.3132911959115
ATPtn_neg	0.0
ATPtn_pos	9707.198932673447
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4174.730931157429
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17452.58407266702
Asn_X_Ser_Thrtr_neg	17145.46987350788
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11286.07482604376
B3GALT41g_pos	12444.51294666198
B3GALT42g_pos	12613.637165153854
B3GALT43g_pos	12781.455423259136
B3GALT44g_pos	13050.381835424547
B3GALT5g_pos	10507.389986204156
B3GALTg_pos	11671.343344353847
B3GNT11g_pos	9837.672581492447
B3GNT12g_pos	8985.658793720566
B3GNT310g_pos	11609.067647867116
B3GNT311g_pos	9602.709543552217
B3GNT312g_pos	9837.672581492447
B3GNT313g_pos	8986.121686978544
B3GNT314g_pos	8362.758348289917
B3GNT315g_pos	8985.658793720566
B3GNT31g_pos	9767.99845087887
B3GNT32g_pos	9767.99845087887
B3GNT33g_pos	9767.99845087887
B3GNT34g_pos	9485.978213355133
B3GNT35g_pos	9485.978213355133
B3GNT36g_pos	908.6310516621741
B3GNT37g_pos	12398.351896196382
B3GNT39g_pos	29047.423773627135
B3GNT51g_pos	11609.067647867116
BAAT1x_pos	4021.7722529020325
BAAT2x_pos	3253.726117443014
BAAT3x_pos	18132.670118437487
BAAT4x_pos	4021.7722529020325
BACCL_pos	5560.203146916139
BACCLm_pos	5960.519199555565
BALABETAtc_pos	1532.3793743340555
BALAPAT1tc_pos	1438.0376729663355
BALAVECSEC_pos	4188.45855655406
BALAtmr_neg	13473.1933554457
BALAtmr_pos	10745.79111568689
BAMPPALDOX_pos	30085.599142637242
