	Treg_Spleen_Treg3_L2	exTreg_Lymph_exTreg1_L1	Treg_Lymph_Treg6_L2	Treg_Spleen_Treg2_L1	exTreg_Spleen_exTreg9_L1
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.7728370220373026	1.6388053875267663	2.598389062242452	2.9901206812965504	2.0297338427673473
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	4.196798933534977	4.377113866842892	4.549087901954808	4.059340472436416	4.105765358471894
5FTHFt2_neg	4.196798933534977	4.377113866842892	4.549087901954808	4.059340472436416	4.105765358471894
5HLTDL_pos	1.0057672910244173	0.9110435614129537	1.0132231424551135	1.6736739418653168	0.6738968092092774
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	1.3439144504712195	0.0	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	1.0913422613969868	0.0	0.20737809616318692	0.0
5HTRPVESSEC_pos	2.9123250725131524	0.7710139705623253	2.886157756806259	2.661797604187961	1.6727683684110366
5HXKYNDCL_pos	1.0057672910244173	0.9110435614129537	1.0132231424551135	1.6736739418653168	0.6738968092092774
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.3697406609477086	0.0	0.0	0.0
5MTHFt_neg	0.0	0.3697406609477086	0.0	0.0	0.0
5MTHFt2_pos	4.196798933534977	4.377113866842892	4.549087901954808	4.059340472436416	4.105765358471894
5MTHFt2_neg	4.196798933534977	4.377113866842892	4.549087901954808	4.059340472436416	4.105765358471894
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.484967909860513	6.044926855261631	6.2963872343361285	6.237007942340421	5.454479853198978
A_MANASEly_pos	7.699133982263603	6.483443261261934	7.3622903761959755	7.489919983435685	6.93641810970572
A4GALTc_pos	0.0	0.6159851606647777	0.04943903823797064	0.056191736303151434	0.0
A4GALTg_pos	0.0	0.6159851606647777	0.04943903823797064	0.056191736303151434	0.0
A4GNT1g_pos	0.0	0.6913470910758673	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.6913470910758673	0.0	0.0	0.0
AACOAT_pos	3.843371923185564	2.7285903921843566	3.710838251694939	3.655528115175661	3.477549070937498
AACTOOR_pos	0.0	0.8067090321438439	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.289793526871015	1.9987088231095327	1.2421457042615596	1.3360290803093524	0.5331050565490184
ABUTt2r_neg	1.289793526871015	1.9987088231095327	1.2421457042615596	1.3360290803093524	0.5331050565490184
ABUTt2rL_pos	1.289793526871015	1.9987088231095327	1.2421457042615596	1.3360290803093524	0.5331050565490184
ABUTt2rL_neg	1.289793526871015	1.9987088231095327	1.2421457042615596	1.3360290803093524	0.5331050565490184
ABUTt4_2_r_pos	0.17419862224089963	1.7705353121701788	0.3020119928807225	0.2776680609128891	0.0
ABUTt4_2_r_neg	0.17419862224089963	1.7705353121701788	0.3020119928807225	0.2776680609128891	0.0
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.056020981268103065	0.1741330923776923	0.036549822760681715	0.016770905024136668	0.0
ACACt2_neg	0.056020981268103065	0.1741330923776923	0.036549822760681715	0.016770905024136668	0.0
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.6756215656094846	1.0610498674915023	2.8315639249307614	2.7974317214663262	2.193087035229764
ACCOAgt_neg	2.6756215656094846	1.0610498674915023	2.8315639249307614	2.7974317214663262	2.193087035229764
ACCOAL_pos	3.699119634372512	3.8627460142201766	3.808905114889996	3.323947487955287	3.5145150894795485
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.6756215656094846	1.0610498674915023	2.8315639249307614	2.7974317214663262	2.193087035229764
ACCOAtr_neg	2.6756215656094846	1.0610498674915023	2.8315639249307614	2.7974317214663262	2.193087035229764
ACETONEt2_pos	4.276452939258297	1.0068574591703714	3.8287803864636683	4.4040882968443125	3.6318288933513654
ACETONEt2_neg	4.276452939258297	1.0068574591703714	3.8287803864636683	4.4040882968443125	3.6318288933513654
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	3.5751062429579736	0.18771708210114338	3.186564240354082	4.186838112594467	1.7893947664763743
ACGAM2E_neg	3.5751062429579736	0.18771708210114338	3.186564240354082	4.186838112594467	1.7893947664763743
ACGAM6PSi_pos	0.26556927224881466	0.0	0.31554308673131026	0.09711443629038892	0.0
ACGAMK_pos	5.266849281201153	5.042155582389844	5.181065429510139	5.356566367815355	5.158196137352019
ACGAMPM_pos	3.0868569148355305	3.355740293846507	3.217414081966025	3.3465874812483714	2.473346044437694
ACGAMPM_neg	3.0868569148355305	3.355740293846507	3.217414081966025	3.3465874812483714	2.473346044437694
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	2.0644492331198627	0.9007848267694439	2.3296553681143988	1.7807637676860892	2.1586786879292594
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.5015430348244606	2.9652486791969928	0.32358830334493777	0.8948126935474272	0.17455955724250138
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.499559792058611	6.068532860757824	6.264875645322004	6.294168516994283	6.442493864935008
ACNAM9PL2_pos	6.499559792058611	6.068532860757824	6.264875645322004	6.294168516994283	6.442493864935008
ACNAMlt_pos	2.260254600424978	1.0418018762285723	1.9748388625390767	2.2867117190273984	1.6707698754544478
ACNAMlt_neg	2.260254600424978	1.0418018762285723	1.9748388625390767	2.2867117190273984	1.6707698754544478
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.060925762473049726	0.40718914650105076	0.13465855485212183	0.12322409729043382	0.0
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	5.056664572345022	5.46514844641147	5.144007675820981	4.855992855193099	4.5084635911907975
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.0	0.40335770661344866	0.0	0.0	0.0
ACOX2x_pos	0.0	0.40335770661344866	0.0	0.0	0.0
ACP1_FMN__pos	5.632290185018087	4.575772297946589	5.67304414804528	5.622669349985994	5.057045579327935
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	4.7192941173461245	4.334571691837524	4.7064802717229695	4.433997432679438	4.430761699211014
ACS2_pos	4.7192941173461245	4.334571691837524	4.7064802717229695	4.433997432679438	4.430761699211014
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	4.927015624313485	4.720961401058934	4.6332536326146485	4.99997677152116	4.454652110409684
ADA_pos	2.409763139831206	0.49592460042078534	2.7958368017009123	1.9798151378398434	3.1093869574728674
ADAe_pos	2.409763139831206	0.49592460042078534	2.7958368017009123	1.9798151378398434	3.1093869574728674
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	2.9787636247990728	2.532301560444933	2.9402040786767327	2.907063432431958	2.4636417408687796
ADEt_neg	2.9787636247990728	2.532301560444933	2.9402040786767327	2.907063432431958	2.4636417408687796
ADEtl_pos	3.3092397754227623	2.669398891321859	2.9829498150030083	2.650251205601457	2.9597840365412624
ADEtl_neg	3.3092397754227623	2.669398891321859	2.9829498150030083	2.650251205601457	2.9597840365412624
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
