	Tcon_Spleen_Tcon3_L2	exTreg_Spleen_exTreg10_L1	Tcon_Lymph_Tcon7_L2	exTreg_Lymph_exTreg4_L1	exTreg_Lymph_exTreg1_L2	Treg_Lymph_Treg6_L1	Tcon_Lymph_Tcon8_L1	exTreg_Lymph_exTreg5_L2	Tcon_Spleen_Tcon2_L1	exTreg_Spleen_exTreg9_L2	Treg_Spleen_Treg2_L2
34DHOXPEGOX_pos	0.5167387474504361	1.523033549896853	0.15302758063150704	0.0	2.4053067222779267	0.8343783067610233	0.14898923361613653	1.123520770231385	0.9822466152154984	0.43337343126151157	0.9333976838843636
34DHOXPEGOX_neg	0.5167387474504361	1.523033549896853	0.15302758063150704	0.0	2.4053067222779267	0.8343783067610233	0.14898923361613653	1.123520770231385	0.9822466152154984	0.43337343126151157	0.9333976838843636
34DHOXPEGt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHOXPEGt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHPHAMT_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34DHPHEt_pos	1.2767885720739522	0.7594848083279125	1.4449785366231453	0.5639903912481489	0.8424948865968556	0.9689907026738681	1.6077356820962643	0.8094983461407623	0.9773633757273699	0.19011293752227107	1.2858714123394208
34DHPHEt_neg	1.2767885720739522	0.7594848083279125	1.4449785366231453	0.5639903912481489	0.8424948865968556	0.9689907026738681	1.6077356820962643	0.8094983461407623	0.9773633757273699	0.19011293752227107	1.2858714123394208
34DHPLACOX_pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
34DHPLACOX_NADP__pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.294548801862449	0.39944288126196476	0.07324338950531971	0.0	1.3786139716228962	0.41278624057292856	1.9814063046184407
34DHPLACOX_NADP__neg	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.294548801862449	0.39944288126196476	0.07324338950531971	0.0	1.3786139716228962	0.41278624057292856	1.9814063046184407
34DHXMANDACOX_pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
34DHXMANDACOX_NADP__pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.294548801862449	0.39944288126196476	0.07324338950531971	0.0	1.133251264862688	0.41278624057292856	1.9124869005104932
34DHXMANDACOX_NADP__neg	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.294548801862449	0.39944288126196476	0.07324338950531971	0.0	1.133251264862688	0.41278624057292856	1.9124869005104932
34HPLFM_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34HPPOR_pos	0.0	0.0	0.0	0.0	1.234980122658728	0.0	0.0	0.0	0.0	0.0	0.243176868631602
35CGMPtn_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35CGMPtn_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBTm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBTm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3AIBtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3DPHBH1_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3DPHBH2_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3DSPHR_pos	4.447044668284612	3.6165306571058085	4.42672094930148	3.56156113056442	3.5287221288775106	4.65103314417421	4.434518080253704	3.918735486576583	4.355939138708793	3.866023421982174	4.405493733233458
3HAO_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HBCDm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HBCDm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HBCOAHLm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HKYNAKGAT_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HLYTCL_pos	0.1833626415844133	0.17002336552523822	0.32968617612594225	0.0	1.2496850191161029	0.8603359390787911	0.3933588605791882	0.7682330043511554	0.15815838951949582	0.6391222761850817	1.7076360768802346
3HPCOAHYD_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HPPD_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HPPD_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3HXKYNDCL_pos	0.1833626415844133	0.17002336552523822	0.32968617612594225	0.0	1.2496850191161029	0.8603359390787911	0.3933588605791882	0.7682330043511554	0.15815838951949582	0.6391222761850817	1.7076360768802346
3HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3M4HDXPAC_pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
3M4HDXPAC_neg	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
3MOX4HOXPGALDOX_NADP__pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
3MOX4HOXPGALDOX_NADP__neg	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
3MOXTYROX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3NTD7l_pos	4.150613190958192	4.286510113120276	3.979900839109475	3.4703131590872025	3.1011181766963762	4.592919633152236	4.250721345567158	3.597946877466247	4.515252250850408	4.430746791301986	4.707150073322191
3SALAASPm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3SALAASPm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3SALACBOXL_pos	2.582707602306906	1.3132390696535245	2.8431486148389324	2.3730723746726357	3.356654067151632	3.5645460521575334	3.140092264652486	2.8210477243083893	3.16191683806249	1.8989221440990953	3.0372241714638535
3SALAOX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3SALATAi_pos	4.064794664844891	3.8079747242341875	4.298915642871885	3.79594275202398	3.785427811774644	4.394787550384015	4.327630806979058	3.809773595606046	4.12266698861357	4.0923268995671975	4.422880285714112
3SALATAim_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3SPYRSP_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3SPYRSPm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41R1H2MAE12BOOX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41R2A1H12BOOX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42A12BOOX_pos	3.8171048306499435	2.1977966211462667	3.771424205439613	3.6666179819922844	1.1347087892186778	3.7379389092730166	4.112960239725084	0.0	3.355790093277295	2.6422678888945117	3.6559754225267795
4ABUTtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ABUTtm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4HBZCOAFm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4HBZFm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4HDEBRISOQUINEte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4HGLSDm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4HOXPACDOX_NADP__pos	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
4HOXPACDOX_NADP__neg	0.4928251519075013	1.7261656838766881	0.7090613154607497	0.0	0.40860931464259465	0.45034691542198646	0.07324338950531971	0.0	1.3786139716228962	0.4391970378847052	1.991371042742824
4MOPt2im_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MPTNLte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MPTNLte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MPTNLtm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MPTNLtr_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4MTOLBUTAMIDEte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.079112330007996	2.421617870469364	2.1054490560139225	1.1122821643187464	1.6589706321770898	2.5829883871358996	2.130566843803082	2.5003642966794075	2.6128006573819595	2.0303009768380873	2.89099452500777
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.780191856204365	3.769752575816638	4.199687403746007	4.377595304893553	4.494758860573862	4.48060109966154	4.197204719723779	4.301171720297353	3.601905675462093	3.9338312691487287	4.167829926865338
5FTHFt2_neg	3.780191856204365	3.769752575816638	4.199687403746007	4.377595304893553	4.494758860573862	4.48060109966154	4.197204719723779	4.301171720297353	3.601905675462093	3.9338312691487287	4.167829926865338
5HLTDL_pos	0.1833626415844133	0.17002336552523822	0.32968617612594225	0.0	1.2496850191161029	0.8603359390787911	0.3933588605791882	0.7682330043511554	0.15815838951949582	0.6391222761850817	1.7076360768802346
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	0.0	0.0	0.0	1.3575161386327987	0.0	0.01594111851172858	0.01704915482602005	0.033015337619960214	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.6004012478369752	0.0	0.0	0.0	0.896307705486075	0.0	0.0	0.0	0.1859053979924581	0.0	0.30289025971463834
5HTRPVESSEC_pos	3.1823945032660204	1.80510545699556	2.9111442783182753	1.5623275791261078	0.924190454394181	2.876220580917229	2.8110354761930685	2.083623259769369	2.9428638954965107	1.4565086106569578	2.770773346570895
5HXKYNDCL_pos	0.1833626415844133	0.17002336552523822	0.32968617612594225	0.0	1.2496850191161029	0.8603359390787911	0.3933588605791882	0.7682330043511554	0.15815838951949582	0.6391222761850817	1.7076360768802346
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.6720838180108466	0.0	0.0	0.0	0.0	0.0	0.0
5MTHFt_neg	0.0	0.0	0.0	0.0	0.6720838180108466	0.0	0.0	0.0	0.0	0.0	0.0
5MTHFt2_pos	3.780191856204365	3.769752575816638	4.199687403746007	4.377595304893553	4.494758860573862	4.48060109966154	4.197204719723779	4.301171720297353	3.601905675462093	3.9338312691487287	4.167829926865338
5MTHFt2_neg	3.780191856204365	3.769752575816638	4.199687403746007	4.377595304893553	4.494758860573862	4.48060109966154	4.197204719723779	4.301171720297353	3.601905675462093	3.9338312691487287	4.167829926865338
5THFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.234813905621294	5.516482886162511	6.6249773456705965	5.901159437742687	6.071365482278203	6.200327045158208	6.648188722624034	5.894502570814378	6.405963140892408	5.518775760070122	6.127235609751532
A_MANASEly_pos	7.5214339859040455	7.127428843896838	7.469838340021971	6.840160806494724	6.459227599100238	7.415521358346961	7.499464458238631	7.284697568644092	7.320112098866667	6.940367237092212	7.395230516780738
A4GALTc_pos	0.0	0.0	0.0	0.0	0.7557035879117318	0.04911301215233159	0.0	0.0	0.0	0.0	0.0
A4GALTg_pos	0.0	0.0	0.0	0.0	0.7557035879117318	0.04911301215233159	0.0	0.0	0.0	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.5845005893232819	0.0	0.0	0.0	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.5845005893232819	0.0	0.0	0.0	0.0	0.0	0.0
AACOAT_pos	3.8428884297852783	4.033276094664101	3.6599653584738894	3.2449788100887034	2.635187468582878	3.608755400764925	3.8254700975334694	4.250401552180361	3.8380236461903436	3.3295028715840673	3.673608670991202
AACTOOR_pos	0.0	0.0	0.0	0.0	1.1347087892186778	0.0	0.0	0.0	0.10850382901882374	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
