	WT.EPA.b_S127_L007_R1_001	Ob.911.a_S124_L007_R1_001	Ob.b_S131_L007_R1_001	WT.1012.b_S130_L007_R1_001
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	4.737686761409861	5.592457037268081	5.576522137920503	4.07638806851284
5HOXINDACTOXm_pos	10.392220810501021	10.898548485096732	10.806863742485499	10.147154035330736
5HOXINOXDA_pos	6.798569003556882	7.662846365159479	7.687200694651894	6.286881147788161
5HTRPDOX_pos	0.0	0.0	0.0	0.0
5HTRPVESSEC_pos	1.4005379295837288	2.711494906650088	2.6484654430273142	1.7782085763980877
5HXKYNDCL_pos	5.1440463696167065	6.167117030227439	5.169524197150003	5.345183447187665
5HXKYNOXDA_pos	6.798569003556882	7.662846365159479	7.687200694651894	6.286881147788161
5MTHFt_pos	0.2630344058337938	0.0	0.0	0.0
5MTHFt_neg	0.2630344058337938	0.0	0.0	0.0
5MTHFt2_pos	2.582556003014061	3.495695162624069	3.319039815562536	1.6690267655096307
5MTHFt2_neg	2.582556003014061	3.495695162624069	3.319039815562536	1.6690267655096307
5THFtl_pos	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0
A_MANASE_pos	3.7037651787934096	4.267535798068735	4.145677455195635	3.5046203924035524
A_MANASEly_pos	5.4809113460477485	6.24412594328373	5.945560885993885	5.300123724569014
A4GALTc_pos	0.5058909297299573	0.28688114778816154	0.45417589318580215	0.47508488294878287
A4GALTg_pos	0.5058909297299573	0.28688114778816154	0.45417589318580215	0.47508488294878287
A4GNT1g_pos	0.0	1.3448284969974411	0.0	0.0
A4GNT2g_pos	0.0	1.3448284969974411	0.0	0.0
AACOAT_pos	4.3103401206121505	4.754887502163468	4.804260115634738	3.786596361890807
AACTOOR_pos	0.28688114778816154	0.12432813500220177	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0
AATAi_pos	5.660209873352559	6.309976492370556	5.970393537914677	6.077883864438322
AATAi_neg	5.660209873352559	6.309976492370556	5.970393537914677	6.077883864438322
ABO1g_pos	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0
ABTArm_pos	6.826802684285827	7.798374592096839	7.705563274566321	6.611024797307352
ABTArm_neg	6.826802684285827	7.798374592096839	7.705563274566321	6.611024797307352
ABTD_pos	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0
ABUTD_pos	7.12267271882414	7.654707624520185	7.930973825562906	6.778077129535358
ABUTt2r_pos	3.983677694698067	3.71918344048179	3.873813198359087	3.896271848807375
ABUTt2r_neg	3.983677694698067	3.71918344048179	3.873813198359087	3.896271848807375
ABUTt2rL_pos	3.983677694698067	3.71918344048179	3.873813198359087	3.896271848807375
ABUTt2rL_neg	3.983677694698067	3.71918344048179	3.873813198359087	3.896271848807375
ABUTt4_2_r_pos	7.522699217416511	7.820242797066683	7.905988629314126	7.3079748971135245
ABUTt4_2_r_neg	7.522699217416511	7.820242797066683	7.905988629314126	7.3079748971135245
ACACT10m_pos	8.175823967172406	8.778701395496132	9.293839460444293	7.933808661990121
ACACT10m_neg	8.175823967172406	8.778701395496132	9.293839460444293	7.933808661990121
ACACT1r_pos	5.638942668908808	6.0413306068206225	5.777682717073553	5.476057595677545
ACACT1r_neg	5.638942668908808	6.0413306068206225	5.777682717073553	5.476057595677545
ACACT1rm_pos	8.156512912612394	8.756456247720928	9.225219489483306	7.954690697758699
ACACT1x_pos	5.638942668908808	6.0413306068206225	5.777682717073553	5.476057595677545
ACACt2_pos	5.37851162325373	6.662205499653616	7.130416117959965	5.1945598860226125
ACACt2_neg	5.37851162325373	6.662205499653616	7.130416117959965	5.1945598860226125
ACACt2m_pos	4.431622959713292	5.474436043252266	4.842476062993939	4.548436624696042
ACACt2m_neg	4.431622959713292	5.474436043252266	4.842476062993939	4.548436624696042
ACACT4p_pos	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0
ACCOAC_pos	7.280770770130602	8.724888973270739	6.613163270759071	7.077670274232752
ACCOACm_pos	5.049630767724601	5.590063018812253	3.8953026213333066	4.658782734012828
ACCOAgt_pos	5.312882955284356	5.168321115739722	4.853995647176393	5.277984747299765
ACCOAgt_neg	5.312882955284356	5.168321115739722	4.853995647176393	5.277984747299765
ACCOAL_pos	7.237544598504794	6.8811751553492755	5.3729520979118295	6.444600813711502
ACCOALm_pos	0.13750352374993502	0.13750352374993502	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0
ACCOAtr_pos	5.312882955284356	5.168321115739722	4.853995647176393	5.277984747299765
ACCOAtr_neg	5.312882955284356	5.168321115739722	4.853995647176393	5.277984747299765
ACETONEt2_pos	5.383704292474052	6.671434917249007	7.136170874667252	5.2141248053528475
ACETONEt2_neg	5.383704292474052	6.671434917249007	7.136170874667252	5.2141248053528475
ACETONEt2m_pos	4.431622959713292	5.474436043252266	4.842476062993939	4.548436624696042
ACETONEt2m_neg	4.431622959713292	5.474436043252266	4.842476062993939	4.548436624696042
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0
ACGAM2E_pos	1.4382928515791469	2.1538053360790355	1.5410191531335593	1.6040713236688608
ACGAM2E_neg	1.4382928515791469	2.1538053360790355	1.5410191531335593	1.6040713236688608
ACGAM6PSi_pos	5.531693360861466	5.898450232807866	5.87921563716567	5.364922558505775
ACGAMK_pos	4.100977647724821	4.621172752683435	4.6293566200796095	3.017921907997262
ACGAMPM_pos	2.903038270112912	3.456806149230474	3.792855352362489	3.017921907997262
ACGAMPM_neg	2.903038270112912	3.456806149230474	3.792855352362489	3.017921907997262
ACGAMtly_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0
ACGPID_pos	2.4059923596758366	2.599317793698226	3.060047383669939	2.4776773275653072
ACGSm_pos	5.35508676166836	5.453188309548226	5.269407240854037	5.184677020680892
ACHEe_pos	0.22650852980867975	0.22650852980867975	0.3895668117627256	0.25096157353321874
ACHtn_pos	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0
ACITL_pos	7.478486512084187	8.636479618780534	5.339850002884624	6.760753208062987
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0
ACNAM9PL_pos	3.323370069061269	3.363171077119244	3.29130885982897	4.040015678847879
ACNAM9PL2_pos	3.323370069061269	3.363171077119244	3.29130885982897	4.040015678847879
ACNAMlt_pos	3.9307373375628862	4.422233000683048	4.224966365000275	4.28909670241999
ACNAMlt_neg	3.9307373375628862	4.422233000683048	4.224966365000275	4.28909670241999
ACNAMPH_pos	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0
ACOAD10m_pos	7.809993155511815	8.694601653356123	9.475490259624268	7.499128346499322
ACOAD1fm_pos	9.053953025114719	9.87119680364428	10.42279013741633	8.853964468264083
ACOAD8m_pos	6.733896605247495	7.056258365138766	6.657782895817646	6.594399256329246
ACOAD9m_pos	7.6748278321868	8.630194305773731	9.464055579585695	7.2993912061268285
ACOAHi_pos	5.982537314399271	6.603329616264272	6.781490861658098	5.893362210763872
ACOAO7p_pos	9.27230318809946	9.860450738908725	10.558506813188572	9.09148827976428
ACOATA_pos	6.951634416832916	8.841281284423882	5.220329954879555	6.780047576061869
ACOATA_neg	6.951634416832916	8.841281284423882	5.220329954879555	6.780047576061869
ACODA_pos	5.0759604132434015	5.328405658958567	5.161484638641659	4.578938713093386
ACONT_pos	6.588264894307497	7.03331286794139	6.938285791884053	6.370861740085284
ACONT_neg	6.588264894307497	7.03331286794139	6.938285791884053	6.370861740085284
ACONTm_pos	7.281049076733573	8.163297449402764	8.221152072246817	7.0574502721839
ACONTm_neg	7.281049076733573	8.163297449402764	8.221152072246817	7.0574502721839
ACOX22x_pos	6.781490861658098	7.476462699165139	7.2539892662307865	6.657782895817646
ACOX2x_pos	6.781490861658098	7.476462699165139	7.2539892662307865	6.657782895817646
ACP1_FMN__pos	4.920293300211007	5.069100631922826	5.093391153253013	4.896271848807375
ACRNtm_pos	6.051154549878513	6.982080909763738	7.855491443101874	5.893604904858294
ACS_pos	7.4072677642447315	7.168722254360655	6.0955025176586695	6.642412772905056
ACS2_pos	7.4072677642447315	7.168722254360655	6.0955025176586695	6.642412772905056
ACSm_pos	0.13750352374993502	0.13750352374993502	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0
ACTLMO_pos	11.773815054066977	10.478992022030313	12.836730897187199	11.905059766478058
ACTNMO_pos	11.773815054066977	10.478992022030313	12.836730897187199	11.905059766478058
ACYP_pos	3.797012977836145	4.530445354692906	4.376429311069923	3.8268026842858265
ADA_pos	1.1953475983222193	1.1890338243900171	1.4750848829487828	0.9855004303048849
ADAe_pos	1.1953475983222193	1.1890338243900171	1.4750848829487828	0.9855004303048849
ADCim_pos	0.0	0.0	0.0	0.0
ADEt_pos	0.7824085649273732	0.5160151470036647	0.41142624572646497	0.23878685958711648
ADEt_neg	0.7824085649273732	0.5160151470036647	0.41142624572646497	0.23878685958711648
ADEtl_pos	1.6644828403646825	1.925999418556223	1.480265122054463	1.8914191868460786
ADEtl_neg	1.6644828403646825	1.925999418556223	1.480265122054463	1.8914191868460786
ADHAPtx_pos	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0
ADK1_pos	7.11467935294331	7.772941337831336	8.037107626931753	7.183982678112831
ADK1_neg	7.11467935294331	7.772941337831336	8.037107626931753	7.183982678112831
ADK1m_pos	7.331185678234804	7.953207027098	8.22289148173017	7.376602951924786
ADK1m_neg	7.331185678234804	7.953207027098	8.22289148173017	7.376602951924786
ADK3_pos	0.23878685958711648	0.08406426478847456	0.15055967657538138	0.17632277264046287
ADK3_neg	0.23878685958711648	0.08406426478847456	0.15055967657538138	0.17632277264046287
ADK3m_pos	7.510012465448515	8.020757755091214	8.113221243479568	7.536830005048058
ADK3m_neg	7.510012465448515	8.020757755091214	8.113221243479568	7.536830005048058
ADKd_pos	0.23878685958711648	0.08406426478847456	0.15055967657538138	0.17632277264046287
ADKd_neg	0.23878685958711648	0.08406426478847456	0.15055967657538138	0.17632277264046287
ADMDC_pos	4.071247819461443	3.7813597135246595	4.3334237337251915	3.876762490781555
ADNCYC_pos	4.3298411765306275	4.861459166361512	5.156234797850271	4.379898163524692
ADNK1_pos	8.701687664335298	9.513016928174842	9.115901986955157	8.69554150852693
ADNK1m_pos	0.0	0.0	0.0	0.0
ADNt_pos	7.243935601566864	6.997969782267101	6.442943495848728	6.981738511508686
ADNt_neg	7.243935601566864	6.997969782267101	6.442943495848728	6.981738511508686
ADNt4_pos	0.5655971758542251	0.9335726382610241	1.070389327891398	1.0426443374084937
ADNtl_pos	1.6644828403646825	1.925999418556223	1.480265122054463	1.8914191868460786
ADNtl_neg	1.6644828403646825	1.925999418556223	1.480265122054463	1.8914191868460786
ADNtm_pos	7.237066520811819	6.993108221555395	6.437460799511047	6.979682413715221
ADNtm_neg	7.237066520811819	6.993108221555395	6.437460799511047	6.979682413715221
