	Treg_Spleen_Treg5_L2	Tcon_Spleen_Tcon5_L1	exTreg_Spleen_exTreg8_L2	Tcon_Lymph_Tcon9_L1	exTreg_Lymph_exTreg2_L2
4NPHSFte_pos	0.0	0.0	0.0	0.0	0.0
4NPHSFte_neg	0.0	0.0	0.0	0.0	0.0
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	3.008964211860472	2.443599582783	2.3246894277862356	2.6157744795304154	2.368286694578763
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	4.231018498979776	3.492873924646815	4.234124098926581	4.5965198636644145	4.166802354282163
5FTHFt2_neg	4.231018498979776	3.492873924646815	4.234124098926581	4.5965198636644145	4.166802354282163
5HLTDL_pos	1.374253542997433	0.11972180956942845	0.715747712041222	0.9006332759824668	1.5438859136615308
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	0.0	0.0	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	0.0	0.0	0.0	0.0
5HTRPVESSEC_pos	3.137968493199214	2.8876543931878063	1.6118254108706318	3.0581187134838994	1.1558386931849607
5HXKYNDCL_pos	1.374253542997433	0.11972180956942845	0.715747712041222	0.9006332759824668	1.5438859136615308
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.2145505937541446	0.0	0.0	0.0	0.0
5MTHFt_neg	0.2145505937541446	0.0	0.0	0.0	0.0
5MTHFt2_pos	4.231018498979776	3.492873924646815	4.234124098926581	4.5965198636644145	4.166802354282163
5MTHFt2_neg	4.231018498979776	3.492873924646815	4.234124098926581	4.5965198636644145	4.166802354282163
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.1559026430056605	6.524942073895469	5.879231467262175	6.564657492191892	4.614569910042538
A_MANASEly_pos	7.641791876089094	7.520033183881565	7.166654120086903	7.405456477590654	6.4139733575372935
A4GALTc_pos	0.2622213876533024	0.0	0.0	0.0	0.0
A4GALTg_pos	0.2622213876533024	0.0	0.0	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.0
AACOAT_pos	3.8501216452386355	3.6767097966287157	3.8630618232037017	3.827124061422418	2.9414233350218217
AACTOOR_pos	0.0	0.0	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.2848212027210884	1.7808532023575698	0.6304676160034931	1.5030253927582753	1.2859795968237488
ABUTt2r_neg	1.2848212027210884	1.7808532023575698	0.6304676160034931	1.5030253927582753	1.2859795968237488
ABUTt2rL_pos	1.2848212027210884	1.7808532023575698	0.6304676160034931	1.5030253927582753	1.2859795968237488
ABUTt2rL_neg	1.2848212027210884	1.7808532023575698	0.6304676160034931	1.5030253927582753	1.2859795968237488
ABUTt4_2_r_pos	0.1460167202215379	0.042320211465821364	0.02671885545484941	0.03594387667392982	0.0
ABUTt4_2_r_neg	0.1460167202215379	0.042320211465821364	0.02671885545484941	0.03594387667392982	0.0
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.11390188506937388	0.0	0.0	0.0	0.008101166397883051
ACACt2_neg	0.11390188506937388	0.0	0.0	0.0	0.008101166397883051
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.6850378054926622	2.4988496144025922	1.7843074070497988	2.3971592248892906	1.7355095265818543
ACCOAgt_neg	2.6850378054926622	2.4988496144025922	1.7843074070497988	2.3971592248892906	1.7355095265818543
ACCOAL_pos	3.416978070148305	3.892978146459537	3.3396453148936454	4.081404994681076	3.4535031294098646
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.6850378054926622	2.4988496144025922	1.7843074070497988	2.3971592248892906	1.7355095265818543
ACCOAtr_neg	2.6850378054926622	2.4988496144025922	1.7843074070497988	2.3971592248892906	1.7355095265818543
ACETONEt2_pos	4.559155452109385	2.353055678599333	3.1936993648031953	3.439999305881677	3.593195258974278
ACETONEt2_neg	4.559155452109385	2.353055678599333	3.1936993648031953	3.439999305881677	3.593195258974278
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	4.127234454781517	2.4960474717756944	2.5407758744081606	2.682513488308536	0.0
ACGAM2E_neg	4.127234454781517	2.4960474717756944	2.5407758744081606	2.682513488308536	0.0
ACGAM6PSi_pos	0.18875529788317857	0.10124560630100485	0.06910143092725701	0.33897703727717854	0.0
ACGAMK_pos	5.171368224301946	5.125777482360414	5.361526078932448	5.214343256061131	5.397543154126183
ACGAMPM_pos	3.2159061006840792	3.2932507660100683	3.388686171567953	3.146567957933958	3.1541195613617785
ACGAMPM_neg	3.2159061006840792	3.2932507660100683	3.388686171567953	3.146567957933958	3.1541195613617785
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	2.2088427580739904	1.7712245122199652	1.0635205851851453	2.381378070556549	0.46131638074012066
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.36459224778625987	0.6764020303496562	1.2707509370801537	0.9659842289852154	0.49964924426383484
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.319643086857403	6.298483116078272	6.518185574965134	6.263863509246688	6.553771601784967
ACNAM9PL2_pos	6.319643086857403	6.298483116078272	6.518185574965134	6.263863509246688	6.553771601784967
ACNAMlt_pos	2.02863016347004	2.295505594307377	0.9344454999944266	1.970192469186629	1.708413954233306
ACNAMlt_neg	2.02863016347004	2.295505594307377	0.9344454999944266	1.970192469186629	1.708413954233306
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.09372574262160914	0.0	0.15049119762503937	0.3023762159308915	0.0
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	4.87960079953896	5.534324638015073	5.1620811477050506	5.295968099540002	4.849433755260971
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.0	0.0	0.0	0.07849688747310436	0.0
ACOX2x_pos	0.0	0.0	0.0	0.07849688747310436	0.0
ACP1_FMN__pos	5.645341060788601	5.452043321636346	4.868659896753253	5.645660500378187	5.035666221420478
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	4.5910957700941815	4.7357369024656615	4.565275406063981	4.912742226515075	4.1404987669792535
ACS2_pos	4.5910957700941815	4.7357369024656615	4.565275406063981	4.912742226515075	4.1404987669792535
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	4.609292918166464	4.574097019132546	4.393088797243355	5.09078590329234	5.245713289288682
ADA_pos	1.9208497724263869	1.7533776400967442	2.2431779598587767	2.555787222602052	2.764188543331425
ADAe_pos	1.9208497724263869	1.7533776400967442	2.2431779598587767	2.555787222602052	2.764188543331425
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	2.9116894961460016	2.9846485834889678	2.6489209332526773	3.580638060174286	2.7121048478359726
ADEt_neg	2.9116894961460016	2.9846485834889678	2.6489209332526773	3.580638060174286	2.7121048478359726
ADEtl_pos	2.934739037446392	2.9370092292888055	2.7549479872209495	3.080392728662777	2.3424186959353657
ADEtl_neg	2.934739037446392	2.9370092292888055	2.7549479872209495	3.080392728662777	2.3424186959353657
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.12620413762220228	0.01946665093761228	0.026213685577084467	0.4553402814774226	0.0
ADK1_neg	0.12620413762220228	0.01946665093761228	0.026213685577084467	0.4553402814774226	0.0
