	WT.1012.d_S145_L007_R1_001
5ADTSTSTERONESte_neg	8.284908378287623
5ADTSTSTERONESte_pos	55215.622701996064
5ADTSTSTERONEte_neg	55880.390973802845
5ADTSTSTERONEte_pos	7.303419390470398
5ADTSTSTERONEtr_neg	39.44081920459401
5ADTSTSTERONEtr_pos	55879.71397082721
5AOPtm_neg	14722.1383962383
5AOPtm_pos	0.0
5DHFtl_pos	3229.627853531414
5FTHFt2_neg	0.0
5FTHFt2_pos	6.711847770364589
5HLTDL_pos	7.559382997331163
5HOMEPRAZOLEte_neg	7.554869773300941
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	541.4415938931936
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.602496481937369
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15425.799153498652
5MTAte_pos	15172.534162178963
5MTHFt2_neg	1366.2254853761287
5MTHFt2_pos	1366.2254853761287
5MTHFt2le_neg	2498.7783471765133
5MTHFt2le_pos	2498.7783471765133
5MTHFt_neg	1366.2254853761287
5MTHFt_pos	1366.2254853761287
5OXPROt_neg	10329.166839251828
5OXPROt_pos	6240.073191304799
5THFtl_pos	3227.458272943405
5THFtm_pos	3797.2017685241676
6DHFtl_pos	3481.7702424047666
6DHFtm_pos	3865.8280493991188
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52595.32565785553
6HTSTSTERONEtr_neg	52595.32565785557
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3481.7702424047666
6THFtm_pos	3865.8280493991183
7DHCHSTEROLtr_neg	10983.153606616668
7DHCHSTEROLtr_pos	77101.41545867642
7DHFtl_pos	3624.4788186693704
7DHFtm_pos	3913.0550763313245
7THFtl_pos	3624.478818669371
7THFtm_pos	3913.055076331324
A4GALTc_pos	0.0
A4GALTg_pos	11527.933272567918
A4GNT1g_pos	0.0
A4GNT2g_pos	259.12754609026075
AACOAT_pos	4309.816249270494
AACTOOR_pos	12398.972957882617
AACTtm_pos	12398.972957882617
AASAD3m_pos	26.7020990815616
AATAi_neg	4002.3476481269113
AATAi_pos	49.20485712962524
ABO1g_pos	10705.846017169992
ABO2g_pos	10323.955153074918
ABO3g_pos	10524.282907524543
ABO4g_pos	9700.288960590613
ABO5g_pos	9700.288960590613
ABO6g_pos	9091.126995264423
ABO7g_pos	9091.126995264423
ABO8g_pos	9395.100694017252
ABO9g_pos	8448.759652097186
ABTArm_neg	9639.474479917035
ABTArm_pos	12560.478122494113
ABTD_neg	5089.366316654006
ABTD_pos	8.077995130272958
ABTti_pos	5089.366316654006
ABUTD_pos	12561.32730348812
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	504.3739802030832
ABUTt2r_pos	625.1532209009898
ABUTt4_2_r_neg	625.1532209009897
ABUTt4_2_r_pos	504.3739802030832
ACACT10m_neg	13772.93535108757
ACACT10m_pos	9895.718700373927
ACACT1r_neg	7595.420064770673
ACACT1r_pos	16543.379576079664
ACACT1rm_pos	5378.322650302868
ACACT1x_pos	10114.766797406792
ACACT4p_pos	24793.174106003888
ACACT5p_pos	24793.17410600389
ACACT6p_pos	24793.17410600389
ACACT7p_pos	24117.342950027687
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	459.9676852948671
ACACt2_pos	459.9676852948671
ACACt2m_neg	1276.1078002484346
ACACt2m_pos	1276.1078002484346
ACACtx_neg	5928.731614905707
ACACtx_pos	0.0
ACALDt_neg	6357.005491998881
ACALDt_pos	5.229499030527943
ACALDtm_neg	9146.644872991794
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54869.88351101955
ACALDtx_neg	0.0
ACALDtx_pos	11.824387761047237
ACCOAC_pos	4301.615143613106
ACCOACm_pos	4264.624913036883
ACCOAL_pos	3340.3282949765544
ACCOALm_pos	4676.4238288914685
ACCOAgt_neg	0.0
ACCOAgt_pos	19651.73865992486
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1642.4729020975576
ACCOAtr_pos	1642.4729020975576
ACETONEt2_neg	10780.408149866502
ACETONEt2_pos	5.613337539740305
ACETONEt2m_neg	10780.4081498665
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11300.905161024379
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11300.905161024379
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9700.288960590611
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9700.288960590613
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9091.126995264423
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9091.126995264423
ACGALK2_pos	558.0667683746093
ACGALK_pos	557.0781683007468
ACGALtlg_neg	931.8363054101014
ACGALtlg_pos	0.0
ACGALtly_pos	557.0781683007468
ACGAM2E_neg	4109.608850699819
ACGAM2E_pos	30593.091349977025
ACGAM6PSi_pos	3551.9919022563486
ACGAMK_pos	4109.608850699818
ACGAMPM_neg	0.0
ACGAMPM_pos	4109.6088506998185
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	931.8363054101013
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	931.8363054101014
ACGPID_pos	51.61266291685677
ACGSm_pos	0.0
ACHEe_pos	5589.9204011061665
ACHVESSEC_pos	4169.246791347589
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	6058.695598937341
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11444.169302156193
ACN13ACNGALGBSIDEtg_neg	11444.169302156197
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11444.169302156193
ACN23ACNGALGBSIDEtg_neg	11444.169302156197
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12665.060319897382
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12665.060319897379
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11462.677996716544
ACNACNGALGBSIDEtg_neg	11462.677996716548
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8783.583548747767
ACNAM9PL_pos	8467.105329860953
ACNAMPH_pos	8467.105329860953
ACNAMlt_neg	18116.481320169238
ACNAMlt_pos	0.0
ACNAMtn_pos	8826.032412716393
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10361.083165278482
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10361.083165278482
ACNMLr_neg	18939.835543517627
ACNMLr_pos	8467.105329860953
ACOAD10m_pos	320.24882309593346
ACOAD1fm_pos	18677.859508295318
ACOAD8m_pos	326.6704405816972
ACOAD9m_pos	12082.521479060837
ACOAHi_pos	3335.7909594843923
ACOAO7p_pos	18159.6599770227
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1192.4495950393464
ACONT_pos	1192.4495950393464
ACONTm_neg	347.0331438483179
ACONTm_pos	347.0331438483179
ACOX22x_pos	69021.78148934779
ACOX2x_pos	59189.557190828746
ACP1_FMN__pos	3449.5121151012263
ACRNtm_pos	2612.5516316943044
ACS2_pos	3312.9571382772247
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3335.7909594843914
ACSm_pos	4538.78024424322
ACTLMO_pos	5552.2044492085315
ACTNMO_pos	14513.238342556499
ACYP_pos	3287.625402118805
ACt2m_neg	4332.410755283771
ACt2m_pos	4907.124552333874
ACt2r_neg	1261.4235492792095
ACt2r_pos	1261.4235492792095
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7708.229009840667
ADAe_pos	7870.594673029911
ADCim_pos	10780.408149866504
ADEt_neg	6220.97525061736
ADEt_pos	31011.761809154348
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1080.6407350249629
ADK1_pos	1080.6407350249629
ADK1m_neg	438.14250972989964
ADK1m_pos	438.14250972989964
ADK3_neg	1080.6407350249629
ADK3_pos	1080.6407350249629
ADK3m_neg	438.14250972989964
ADK3m_pos	438.14250972989964
ADKd_neg	1077.8592807380012
ADKd_pos	1077.8592807380012
ADMDC_pos	15425.799153498654
ADNCYC_pos	3398.1168869559547
ADNK1_pos	3379.8164819189983
ADNK1m_pos	2415.4444795695485
ADNK3_pos	4276.144823032996
ADNK4_pos	4276.144823032996
ADNt4_pos	858.640800496335
ADNt5le_pos	1396.2570208552293
ADNt_neg	858.640800496335
ADNt_pos	1190.0855162087287
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5886.300162220969
ADNtm_pos	8651.378705877301
ADPACDAc_pos	7980.496508361303
ADPACTD_neg	0.0
ADPACTD_pos	7980.496508361303
ADPCOACROT_neg	7980.496508361303
ADPCOACROT_pos	62525.2815072116
ADPCOAPTE_pos	7980.496508361303
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7851.290014818374
ADPRDPm_pos	0.0
ADPRIBt_pos	18.331588408747777
ADPT_pos	3919.163466830234
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.433643788115434
ADRNCOAtx_pos	15446.190711884577
ADRNCPT1_pos	333.6969911154656
ADRNCPT2_pos	333.6969911154656
ADRNCRNt_pos	333.6969911154656
ADRNLPVESSEC_pos	37442.64635692348
ADRNt_neg	1196.438483241145
ADRNt_pos	1202.5027569490046
ADSELK_pos	0.0
ADSK_pos	3391.2993884386638
ADSL1_pos	9039.822847364127
ADSL2_pos	20671.734204563396
ADSS_pos	9039.822847364127
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.554869773300941
AG13T10g_pos	10992.598208689147
AG13T11g_pos	10992.598208689147
AG13T12g_pos	10992.598208689147
AG13T13g_pos	10992.598208689147
AG13T14g_pos	10992.598208689147
AG13T15g_pos	10992.598208689147
AG13T16g_pos	7612.703760465111
AG13T17g_pos	7612.703760465111
AG13T18g_pos	7612.703760465111
AG13T1g_pos	7634.863584972483
AG13T2g_pos	7634.863584972483
AG13T3g_pos	7634.863584972483
AG13T4g_pos	10992.598208689147
AG13T5g_pos	10992.598208689147
AG13T6g_pos	10992.598208689147
AG13T7g_pos	10992.598208689147
AG13T8g_pos	10992.598208689147
AG13T9g_pos	10992.598208689147
AGDC_pos	3551.991902256349
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23774.999256922274
AGPAT1_pos	10417.22722404291
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8786.19098013834
AGTix_pos	12403.81692088779
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2146.6252042568485
AHCYStd_pos	2146.6252042568485
AHCYSte_neg	27254.747818967106
AHCYSte_pos	11414.727405357939
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5784.671470106179
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10032.926749163538
AHEXASE2ly_pos	17391.1542518812
AHEXASEly_pos	17881.306775561778
AICART_neg	13109.470130922746
AICART_pos	11381.29360369902
AICARte_neg	12727.006966511048
AICARte_pos	11381.293603699018
AIRCr_neg	0.0
AIRCr_pos	20671.734204563407
AK2LGCHOLt_neg	6.905170439838448
AK2LGCHOLt_pos	6664.073959862918
AKGDm_pos	10686.201650368681
AKGMALtm_neg	573.6277719554597
AKGMALtm_pos	427.7199918489166
AKGt4_3_neg	798.801647401376
AKGt4_3_pos	907.5946889451783
AKGtp_neg	0.0
AKGtp_pos	47.285017205492956
AKR1C1_pos	62011.606482715106
AKR1C41_pos	2105.0275994077274
AKR1C42_pos	2105.0275994077274
AKR1D2_pos	65423.88216626167
AKR1D_pos	11122.559880161594
ALA-DTDe_pos	1354.6764479274411
ALAALACNc_neg	0.0
ALAALACNc_pos	7560.64082407964
ALAALAPEPT1tc_pos	7560.640824079641
ALAASNNaEx_pos	767.1869368436536
ALAATB0tc_pos	1327.6591105588154
ALACYSNaEx_pos	769.4435254032255
ALADGLNexR_neg	701.6192830646893
ALADGLNexR_pos	634.2924062613631
ALADGLYexR_neg	587.6736623655734
ALADGLYexR_pos	536.5751391781221
ALAGLNNaEx_pos	767.1869368436536
ALAGLNexR_neg	378.60360384246127
ALAGLNexR_pos	378.60360384246127
ALAGLYexR_neg	587.6736623655734
ALAGLYexR_pos	438.8578720948811
ALAR_neg	2.4296675468868725
ALAR_pos	3828.197484010464
ALASERNaEx_pos	735.9773905615558
ALASm_pos	380.62692840599254
ALATA_L_neg	4334.895480786947
ALATA_L_pos	3340.2453211872166
ALATHRNaEx_pos	753.7988318095389
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	482.9931126309268
ALAt2r_pos	587.6736623655734
ALAt4_pos	240.4942765660694
ALAtN1_neg	378.60360384246127
ALAtN1_pos	378.60360384246127
ALAyLATthc_pos	485.2204009629135
ALCD1_neg	6737.6668988464435
ALCD1_pos	13.518312401303636
ALCD21_D_pos	423.0734269559877
ALCD21_L_pos	911.1907505842736
ALCD22_D_pos	305.90397344206724
ALCD22_L_pos	911.1907505842736
ALCD2if_pos	5.733562994042408
ALCD2yf_pos	5.7449707469927365
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.285017205492956
ALDD2x_pos	6956.738455858335
ALDD2xm_pos	9146.644872991796
ALDD2y_pos	6792.098196951881
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53595.83798712382
ALDSTRNtm_neg	53595.83798712382
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3267.069514294662
ALOX5_pos	96.93584367387868
ALR2_pos	911.1907505842736
ALR3_pos	911.1907505842736
AMACR2p_pos	18604.091995053826
AMACR2r_pos	0.0
AMACRp_pos	59189.55719082873
AMACRr_pos	0.0
AMANK_pos	8467.105329860953
AMCOXO_pos	47.62344923755895
AMETr_neg	0.0
AMETr_pos	5784.671470106178
AMETt2m_neg	2146.6252042568485
AMETt2m_pos	2146.6252042568485
AMETtd_neg	2146.6252042568485
AMETtd_pos	2146.6252042568485
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6734.651988451084
AMPTASECG_pos	7053.508059662677
AMPTASECGe_pos	8297.66861427473
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.451134973700396
AMY2e_pos	13.451134973700395
ANDRSTRNGLCte_pos	70023.06564864964
ANDRSTRNGLCtr_neg	70023.06564864966
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56353.657455497545
ANDRSTRNte_pos	17.79485759705623
ANDRSTRNtr_neg	17.794857597056236
ANDRSTRNtr_pos	56353.65745549756
ANTHte_neg	10.93452462993658
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.914855750776961
AOBUTDsm_pos	12398.972957882617
AP4AH1_pos	0.0
APAT2rm_neg	13653.486596960855
APAT2rm_pos	10992.72863370453
APNNOXte_neg	7.554869773300938
APNNOXte_pos	0.0
APOCF_pos	5703.330623027016
APOCFm_pos	6145.799310354261
APOC_LYS_BTNP_pos	5703.330623027016
APOC_LYS_BTNPm_pos	6145.799310354261
APPNNte_neg	0.0
APPNNte_pos	7.554869773300938
APRGSTRNte_neg	62011.60648271512
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.430648650118152
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.430648650118152
ARACHCOAtx_neg	26717.575407073233
ARACHCOAtx_pos	11469.375462985983
ARACHCPT1_pos	12009.955709812708
ARACHCPT2_pos	12009.955709812708
ARACHCRNt_pos	12009.955709812708
ARACHDCOAtx_neg	5009.586670923019
ARACHDCOAtx_pos	194.3439977109098
ARACHDt2_neg	358.32170919454893
ARACHDt2_pos	364.3859829024088
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4413.92461907292
ARACHt_neg	1210.7144202849906
ARACHt_pos	1216.7786939928503
ARGATB0tc_pos	1762.1295494309672
ARGDCm_pos	23774.999256922274
ARGLYSex_pos	681.1978752660991
ARGN_pos	13903.659452869308
ARGNm_pos	14880.126889673735
ARGSL_neg	0.0
ARGSL_pos	13123.933308483316
ARGSS_pos	13123.933308483318
ARGt4_pos	1500.857460393544
ARGtiDF_pos	485.2204009629135
ARGtm_neg	1489.9337162706483
ARGtm_pos	1183.2233843168403
ARSA_pos	39009.27243893125
ARTCOAL1_pos	4984.452501522998
ARTCOAL2_pos	4984.452501522995
ARTCOAL3_pos	4984.452501522995
ASAH1_pos	38652.75045186511
ASCBOX_pos	8973.801861741684
ASCBSVCTtc_pos	3324.140909297746
ASCBt4_neg	458.86547889263136
ASCBt4_pos	1257.2635677081494
ASCBt_neg	1257.2635677081494
ASCBt_pos	1263.327841416009
ASNALANaEx_pos	767.1869368436536
ASNATB0tc_pos	1427.0476651150773
ASNCYSNaEx_pos	930.1910722324336
ASNGLNNaEx_pos	767.1869368436536
ASNNm_pos	8664.752871972118
ASNPHELAT2tc_pos	524.6002062954624
ASNS1_pos	7244.730338934792
ASNSERNaEx_pos	919.025739934063
ASNTHRNaEx_pos	936.8471811820461
ASNt4_pos	335.0078727663887
ASNtN1_neg	335.0078727663887
ASNtN1_pos	564.32860977519
ASNtm_pos	8664.752871972118
ASP1DC_pos	9280.826674643375
ASPCTr_neg	0.0
ASPCTr_pos	18892.210323097202
ASPDTDe_neg	11.563634091109911
ASPDTDe_pos	2146.369822099393
ASPDt6_pos	2146.369822099393
ASPDxt_neg	11.327508730224652
ASPDxt_pos	0.0
ASPGLUm_pos	2577.544379479788
ASPNATm_pos	7642.239513383713
ASPPROASCT1_pos	1807.2832751305396
ASPTA_neg	7265.806085614569
ASPTA_pos	2577.5443794797884
ASPTAm_neg	2577.5443794797884
ASPTAm_pos	9152.222367318212
ASPt6_pos	2146.369822099393
ASPte_pos	1204.6966624644167
ATP1ter_neg	0.0
ATP1ter_pos	7210.709386877391
ATP2ter_neg	4687.6874799166735
ATP2ter_pos	4687.6874799166735
ATPH1e_pos	14421.032836781002
ATPH2e_pos	3.0653897986578653
ATPS4m_pos	1631.8388683059395
ATPasel_pos	24329.157305230052
ATPtm_pos	682.8017828688548
ATPtn_neg	0.0
ATPtn_pos	9619.302119747628
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4225.937888887741
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17672.67335640894
Asn_X_Ser_Thrtr_neg	17355.98399488985
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11527.933272567918
B3GALT41g_pos	12702.625884838984
B3GALT42g_pos	12892.341815648113
B3GALT43g_pos	13071.396926134294
B3GALT44g_pos	13363.051155143774
B3GALT5g_pos	10646.8584503748
B3GALTg_pos	11787.417973070074
B3GNT11g_pos	9960.503050452922
B3GNT12g_pos	9053.247639716485
B3GNT310g_pos	11730.897605283804
B3GNT311g_pos	9700.288960590613
B3GNT312g_pos	9960.503050452922
B3GNT313g_pos	9091.126995264423
B3GNT314g_pos	8448.759652097186
B3GNT315g_pos	9053.247639716485
B3GNT31g_pos	9921.139061781823
B3GNT32g_pos	9921.139061781823
B3GNT33g_pos	9921.139061781823
B3GNT34g_pos	9665.334071637822
B3GNT35g_pos	9665.334071637822
B3GNT36g_pos	931.8363054101014
B3GNT37g_pos	12675.598949535426
B3GNT39g_pos	29579.495321354283
B3GNT51g_pos	11730.897605283806
BAAT1x_pos	4025.3868471141395
BAAT2x_pos	3243.5398845878594
BAAT3x_pos	18604.091995053826
BAAT4x_pos	4025.3868471141395
BACCL_pos	5703.330623027016
BACCLm_pos	6145.799310354261
BALABETAtc_pos	1563.056033701118
BALAPAT1tc_pos	1453.078744943746
BALAVECSEC_pos	4236.040215423533
BALAtmr_neg	13653.486596960862
BALAtmr_pos	10992.72863370453
BAMPPALDOX_pos	30426.271550753176
