	Tcon_Spleen_Tcon4_L1	exTreg_Lymph_exTreg3_L2	Tcon_Lymph_Tcon10_L1	Treg_Lymph_Treg8_L1	Tcon_Lymph_Tcon6_L1
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.0892828155854963	1.1597628304087164	2.255808224043675	2.584144379008085	2.1800605315351227
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	4.278310775154284	2.591672983908786	4.1860920637243115	4.804310796507725	4.441540366911775
5FTHFt2_neg	4.278310775154284	2.591672983908786	4.1860920637243115	4.804310796507725	4.441540366911775
5HLTDL_pos	0.25317431445149025	0.7221489613323226	0.3044673140535292	0.6692847879511208	0.18196791455572786
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.0	0.0	0.0	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.0	0.0	0.0	0.0	0.0
5HTRPVESSEC_pos	2.695001967163483	0.3243793649419708	2.734954715270662	3.4299450939647325	2.8356716953174748
5HXKYNDCL_pos	0.25317431445149025	0.7221489613323226	0.3044673140535292	0.6692847879511208	0.18196791455572786
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_neg	0.0	0.0	0.0	0.0	0.0
5MTHFt2_pos	4.278310775154284	2.591672983908786	4.1860920637243115	4.804310796507725	4.441540366911775
5MTHFt2_neg	4.278310775154284	2.591672983908786	4.1860920637243115	4.804310796507725	4.441540366911775
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.566708938831282	5.490779651283488	6.6027768529813775	6.39151110916315	6.4635864223731385
A_MANASEly_pos	7.2547543457528905	6.683481389705436	7.392181701729009	7.270807011869126	7.500191261206229
A4GALTc_pos	0.05067803920336952	0.0	0.061832931187947054	0.0	0.0
A4GALTg_pos	0.05067803920336952	0.0	0.061832931187947054	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.4355065299544842
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.4355065299544842
AACOAT_pos	4.105482432634261	1.3960708400843773	3.894597467566695	3.7843303685293077	3.5506765100347044
AACTOOR_pos	0.10973520222928645	0.09099193065460463	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.7691631392459766	0.5699639880157176	1.596437607725128	1.6517819770646338	1.4101796212016653
ABUTt2r_neg	1.7691631392459766	0.5699639880157176	1.596437607725128	1.6517819770646338	1.4101796212016653
ABUTt2rL_pos	1.7691631392459766	0.5699639880157176	1.596437607725128	1.6517819770646338	1.4101796212016653
ABUTt2rL_neg	1.7691631392459766	0.5699639880157176	1.596437607725128	1.6517819770646338	1.4101796212016653
ABUTt4_2_r_pos	0.13161661279771084	0.02810461306223336	0.08499894810239186	0.3241692120057411	0.06535590351472279
ABUTt4_2_r_neg	0.13161661279771084	0.02810461306223336	0.08499894810239186	0.3241692120057411	0.06535590351472279
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.007572256875490728	0.0	0.01847995846000988	0.08740995006224749	0.0
ACACt2_neg	0.007572256875490728	0.0	0.01847995846000988	0.08740995006224749	0.0
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.2747659217111647	1.139909523260465	2.172914762957869	2.712438026380142	2.5589741403392914
ACCOAgt_neg	2.2747659217111647	1.139909523260465	2.172914762957869	2.712438026380142	2.5589741403392914
ACCOAL_pos	4.6330323738612975	4.279394593043105	4.704474797471856	3.906348431864789	4.443602793454628
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.2747659217111647	1.139909523260465	2.172914762957869	2.712438026380142	2.5589741403392914
ACCOAtr_neg	2.2747659217111647	1.139909523260465	2.172914762957869	2.712438026380142	2.5589741403392914
ACETONEt2_pos	2.5482747405446444	3.452355030949902	2.681429893714905	3.4313520906887107	1.3064018745325978
ACETONEt2_neg	2.5482747405446444	3.452355030949902	2.681429893714905	3.4313520906887107	1.3064018745325978
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	2.1988758531354	2.6610579339789386	1.1742731251205558	3.1673004986934	1.673714448330981
ACGAM2E_neg	2.1988758531354	2.6610579339789386	1.1742731251205558	3.1673004986934	1.673714448330981
ACGAM6PSi_pos	0.2100110396058072	0.0	0.20607649858455077	0.22072670708918385	0.08517831238053547
ACGAMK_pos	4.80532639465394	5.8476098947862125	4.411109727918944	5.171230070028186	4.7837356767621015
ACGAMPM_pos	2.957782829996378	3.795417307416838	3.0507574746152826	3.155880619595478	3.1797078729969934
ACGAMPM_neg	2.957782829996378	3.795417307416838	3.0507574746152826	3.155880619595478	3.1797078729969934
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	1.779434208881475	0.8194565413673712	2.013933902354154	2.3610054882522626	1.8266367751870884
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.0	0.0	0.211532540498315	0.4222897610032194	0.3221593126732811
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.5750285411231733	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.318860111138014	6.559226091481218	6.163928622546618	6.505194894537925	6.3038043059164455
ACNAM9PL2_pos	6.318860111138014	6.559226091481218	6.163928622546618	6.505194894537925	6.3038043059164455
ACNAMlt_pos	2.1220295035029526	1.0217868366773077	2.052922079654317	2.3637428991298135	1.950777632490177
ACNAMlt_neg	2.1220295035029526	1.0217868366773077	2.052922079654317	2.3637428991298135	1.950777632490177
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.0	0.0	0.0	0.0	0.0
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	5.44129095379764	5.555397410946901	5.49123676784601	5.177237680573721	5.221345822158054
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.0	0.0	0.04602568508518065	0.0	0.0
ACOX2x_pos	0.0	0.0	0.04602568508518065	0.0	0.0
ACP1_FMN__pos	5.314406491239661	4.84366202839113	5.245757183114864	5.340451178299394	5.623522282180968
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	5.3584948980754294	4.395803555064474	5.319962891641102	4.7955958399044185	5.0213962632225035
ACS2_pos	5.3584948980754294	4.395803555064474	5.319962891641102	4.7955958399044185	5.0213962632225035
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	4.951294510570737	5.411715826505038	4.866381907864376	5.20477574399941	5.069148663370491
ADA_pos	2.8798981411517977	1.6845956545238263	3.4310338223532897	2.4179741237889893	2.949219911142497
ADAe_pos	2.8798981411517977	1.6845956545238263	3.4310338223532897	2.4179741237889893	2.949219911142497
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	3.050864602701493	3.5746170371152357	3.658839372674267	3.2616631161967624	3.105428871865816
ADEt_neg	3.050864602701493	3.5746170371152357	3.658839372674267	3.2616631161967624	3.105428871865816
ADEtl_pos	3.292441760312593	3.1419237027568054	3.2168490016849796	3.221050674832691	3.200874397250967
ADEtl_neg	3.292441760312593	3.1419237027568054	3.2168490016849796	3.221050674832691	3.200874397250967
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.0	0.013852620457279054	0.18886831752731412	0.12275223414070768	0.10654200556705501
ADK1_neg	0.0	0.013852620457279054	0.18886831752731412	0.12275223414070768	0.10654200556705501
ADK1m_pos	0.0	0.0	0.0	0.0	0.0
