	Tcon_Spleen_Tcon2_L2	exTreg_Lymph_exTreg5_L1	Tcon_Lymph_Tcon8_L2	exTreg_Spleen_exTreg6_L1	Treg_Spleen_Treg3_L1
4NPHSULT_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_pos	0.0	0.0	0.0	0.0	0.0
4NPHte_neg	0.0	0.0	0.0	0.0	0.0
4PYRDX_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCte_pos	2.3991946001218545	2.4904852982538506	2.168723525311456	2.045405672697941	2.6958576169374258
5ADTSTSTERONEGLCtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEGLCtr_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONESULT_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
5ADTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
5AOPtm_pos	0.0	0.0	0.0	0.0	0.0
5AOPtm_neg	0.0	0.0	0.0	0.0	0.0
5DHFtl_pos	0.0	0.0	0.0	0.0	0.0
5FTHFt2_pos	3.5180439335264513	4.285142470421675	4.129361720820003	3.4392886711759063	4.3288316313079225
5FTHFt2_neg	3.5180439335264513	4.285142470421675	4.129361720820003	3.4392886711759063	4.3288316313079225
5HLTDL_pos	0.17301975642920606	0.9749452611568276	0.2430278664716965	1.4912154586376365	1.184532727142284
5HOMEPRAZOLEte_pos	0.0	0.0	0.0	0.0	0.0
5HOMEPRAZOLEte_neg	0.0	0.0	0.0	0.0	0.0
5HOXINDACTO2OX_pos	0.01673546083088114	0.0	0.016069325953653738	0.0	0.0
5HOXINDACTOXm_pos	0.0	0.0	0.0	0.0	0.0
5HOXINOXDA_pos	0.0	0.0	0.0	0.0	0.0
5HTRPDOX_pos	0.09669482332285903	0.0	0.0	0.0	0.0
5HTRPVESSEC_pos	2.9764488554299433	2.182982882641377	2.8243965147058	1.7007951415411091	3.0171103782779904
5HXKYNDCL_pos	0.17301975642920606	0.9749452611568276	0.2430278664716965	1.4912154586376365	1.184532727142284
5HXKYNOXDA_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_pos	0.0	0.0	0.0	0.0	0.0
5MTHFt_neg	0.0	0.0	0.0	0.0	0.0
5MTHFt2_pos	3.5180439335264513	4.285142470421675	4.129361720820003	3.4392886711759063	4.3288316313079225
5MTHFt2_neg	3.5180439335264513	4.285142470421675	4.129361720820003	3.4392886711759063	4.3288316313079225
5THFtl_pos	0.0	0.0	0.0	0.0	0.0
5THFtm_pos	0.0	0.0	0.0	0.0	0.0
6DHFtl_pos	0.0	0.0	0.0	0.0	0.0
6DHFtm_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEte_neg	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_pos	0.0	0.0	0.0	0.0	0.0
6HTSTSTERONEtr_neg	0.0	0.0	0.0	0.0	0.0
6THFtl_pos	0.0	0.0	0.0	0.0	0.0
6THFtm_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_pos	0.0	0.0	0.0	0.0	0.0
7DHCHSTEROLtr_neg	0.0	0.0	0.0	0.0	0.0
7DHFtl_pos	0.0	0.0	0.0	0.0	0.0
7DHFtm_pos	0.0	0.0	0.0	0.0	0.0
7THFtl_pos	0.0	0.0	0.0	0.0	0.0
7THFtm_pos	0.0	0.0	0.0	0.0	0.0
A_MANASE_pos	6.414929600421326	5.906322794691105	6.570645896083443	5.590962020457574	6.375123639520311
A_MANASEly_pos	7.355932973258358	7.288925523508953	7.48092155406432	7.0623195614954675	7.731282992392281
A4GALTc_pos	0.0	0.0	0.0	0.0	0.0
A4GALTg_pos	0.0	0.0	0.0	0.0	0.0
A4GNT1g_pos	0.0	0.0	0.0	0.0	0.0
A4GNT2g_pos	0.0	0.0	0.0	0.0	0.0
AACOAT_pos	3.8659068395399725	4.157258953245547	3.9073017128070306	3.876585781735383	3.8211734142596274
AACTOOR_pos	0.0	0.0	0.0	0.0	0.0
AACTtm_pos	0.0	0.0	0.0	0.0	0.0
AASAD3m_pos	0.0	0.0	0.0	0.0	0.0
AATAi_pos	0.0	0.0	0.0	0.0	0.0
AATAi_neg	0.0	0.0	0.0	0.0	0.0
ABO1g_pos	0.0	0.0	0.0	0.0	0.0
ABO2g_pos	0.0	0.0	0.0	0.0	0.0
ABO3g_pos	0.0	0.0	0.0	0.0	0.0
ABO4g_pos	0.0	0.0	0.0	0.0	0.0
ABO5g_pos	0.0	0.0	0.0	0.0	0.0
ABO6g_pos	0.0	0.0	0.0	0.0	0.0
ABO7g_pos	0.0	0.0	0.0	0.0	0.0
ABO8g_pos	0.0	0.0	0.0	0.0	0.0
ABO9g_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_pos	0.0	0.0	0.0	0.0	0.0
ABTArm_neg	0.0	0.0	0.0	0.0	0.0
ABTD_pos	0.0	0.0	0.0	0.0	0.0
ABTD_neg	0.0	0.0	0.0	0.0	0.0
ABTti_pos	0.0	0.0	0.0	0.0	0.0
ABUTD_pos	0.0	0.0	0.0	0.0	0.0
ABUTt2r_pos	1.4039938446225273	1.943971631955666	1.9103741617475487	0.7343503327761302	1.8473838669735274
ABUTt2r_neg	1.4039938446225273	1.943971631955666	1.9103741617475487	0.7343503327761302	1.8473838669735274
ABUTt2rL_pos	1.4039938446225273	1.943971631955666	1.9103741617475487	0.7343503327761302	1.8473838669735274
ABUTt2rL_neg	1.4039938446225273	1.943971631955666	1.9103741617475487	0.7343503327761302	1.8473838669735274
ABUTt4_2_r_pos	0.0994675524994661	0.19439222424349348	0.010373482808198956	0.0	0.17291571988371796
ABUTt4_2_r_neg	0.0994675524994661	0.19439222424349348	0.010373482808198956	0.0	0.17291571988371796
ACACT10m_pos	0.0	0.0	0.0	0.0	0.0
ACACT10m_neg	0.0	0.0	0.0	0.0	0.0
ACACT1r_pos	0.0	0.0	0.0	0.0	0.0
ACACT1r_neg	0.0	0.0	0.0	0.0	0.0
ACACT1rm_pos	0.0	0.0	0.0	0.0	0.0
ACACT1x_pos	0.0	0.0	0.0	0.0	0.0
ACACt2_pos	0.0	0.0	0.0	0.0	0.13883926050595652
ACACt2_neg	0.0	0.0	0.0	0.0	0.13883926050595652
ACACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACACT4p_pos	0.0	0.0	0.0	0.0	0.0
ACACT5p_pos	0.0	0.0	0.0	0.0	0.0
ACACT6p_pos	0.0	0.0	0.0	0.0	0.0
ACACT7p_pos	0.0	0.0	0.0	0.0	0.0
ACACT8p_pos	0.0	0.0	0.0	0.0	0.0
ACACT9p_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_pos	0.0	0.0	0.0	0.0	0.0
ACACtx_neg	0.0	0.0	0.0	0.0	0.0
ACALDt_pos	0.0	0.0	0.0	0.0	0.0
ACALDt_neg	0.0	0.0	0.0	0.0	0.0
ACALDtm_pos	0.0	0.0	0.0	0.0	0.0
ACALDtm_neg	0.0	0.0	0.0	0.0	0.0
ACALDtr_pos	0.0	0.0	0.0	0.0	0.0
ACALDtr_neg	0.0	0.0	0.0	0.0	0.0
ACALDtx_pos	0.0	0.0	0.0	0.0	0.0
ACALDtx_neg	0.0	0.0	0.0	0.0	0.0
ACCOAC_pos	0.0	0.0	0.0	0.0	0.0
ACCOACm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAgt_pos	2.3291079519375346	2.3078576710027123	2.3142487590521377	2.488494264283307	2.7666674878050275
ACCOAgt_neg	2.3291079519375346	2.3078576710027123	2.3142487590521377	2.488494264283307	2.7666674878050275
ACCOAL_pos	4.302744619773137	3.541364426573335	4.877162690335337	3.6400947180316043	3.7669307332106827
ACCOALm_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_pos	0.0	0.0	0.0	0.0	0.0
ACCOAtn_neg	0.0	0.0	0.0	0.0	0.0
ACCOAtr_pos	2.3291079519375346	2.3078576710027123	2.3142487590521377	2.488494264283307	2.7666674878050275
ACCOAtr_neg	2.3291079519375346	2.3078576710027123	2.3142487590521377	2.488494264283307	2.7666674878050275
ACETONEt2_pos	2.4694157399170367	3.4556893494096155	2.933299077913488	3.751164822665501	4.137604621980843
ACETONEt2_neg	2.4694157399170367	3.4556893494096155	2.933299077913488	3.751164822665501	4.137604621980843
ACETONEt2m_pos	0.0	0.0	0.0	0.0	0.0
ACETONEt2m_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGAGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGALK_pos	0.0	0.0	0.0	0.0	0.0
ACGALK2_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_pos	0.0	0.0	0.0	0.0	0.0
ACGALtlg_neg	0.0	0.0	0.0	0.0	0.0
ACGALtly_pos	0.0	0.0	0.0	0.0	0.0
ACGAM2E_pos	2.5372513341526557	3.145738513811175	1.5183482261097836	3.2557621685527045	3.8429512775579586
ACGAM2E_neg	2.5372513341526557	3.145738513811175	1.5183482261097836	3.2557621685527045	3.8429512775579586
ACGAM6PSi_pos	0.044358569515675864	0.13046819251396555	0.16336887229180524	0.14068832781416632	0.222939375648475
ACGAMK_pos	4.820531800939918	5.1828461476542715	4.717686931605095	5.788284771763373	5.068564809524607
ACGAMPM_pos	3.3134720219349663	3.474928428978749	3.31847026925373	3.1365262832123006	3.176233277767737
ACGAMPM_neg	3.3134720219349663	3.474928428978749	3.31847026925373	3.1365262832123006	3.176233277767737
ACGAMtly_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_pos	0.0	0.0	0.0	0.0	0.0
ACGBGBSIDEtl_neg	0.0	0.0	0.0	0.0	0.0
ACGPID_pos	1.9643702090748896	1.3487339439759314	2.16686594876609	0.8566894865308929	2.01986310695106
ACGSm_pos	0.0	0.0	0.0	0.0	0.0
ACHEe_pos	0.47026192382240045	1.0273852117677535	0.1677589283783651	0.1444989862844597	0.8678619487807822
ACHtn_pos	0.0	0.0	0.0	0.0	0.0
ACHtn_neg	0.0	0.0	0.0	0.0	0.0
ACHVESSEC_pos	0.0	0.0	0.0	0.0	0.0
ACITL_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN13ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACN23ACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNACNGALGBSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNAM9PL_pos	6.282925249700638	6.315952142914083	6.182802592340853	6.436784428330593	6.4228807345043695
ACNAM9PL2_pos	6.282925249700638	6.315952142914083	6.182802592340853	6.436784428330593	6.4228807345043695
ACNAMlt_pos	2.223317115967746	1.4951577067127517	2.0728113061891213	1.8125732969175754	2.2791073628316862
ACNAMlt_neg	2.223317115967746	1.4951577067127517	2.0728113061891213	1.8125732969175754	2.2791073628316862
ACNAMPH_pos	0.0	0.0	0.0	0.0	0.0
ACNAMtn_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	0.0	0.0	0.0	0.0	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0	0.0	0.0	0.0	0.0
ACNMLr_pos	0.0	0.0	0.0	0.0	0.0
ACNMLr_neg	0.0	0.0	0.0	0.0	0.0
ACOAD10m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD1fm_pos	0.0	0.0	0.0	0.0	0.0
ACOAD8m_pos	0.0	0.0	0.0	0.0	0.0
ACOAD9m_pos	0.0	0.0	0.0	0.0	0.0
ACOAHi_pos	0.0	0.0	0.0	0.0	0.060459484443534876
ACOAO7p_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_pos	0.0	0.0	0.0	0.0	0.0
ACOATA_neg	0.0	0.0	0.0	0.0	0.0
ACODA_pos	5.320167803056152	5.208612410318337	5.0485972145004245	5.1293234658370865	5.084246225559431
ACONT_pos	0.0	0.0	0.0	0.0	0.0
ACONT_neg	0.0	0.0	0.0	0.0	0.0
ACONTm_pos	0.0	0.0	0.0	0.0	0.0
ACONTm_neg	0.0	0.0	0.0	0.0	0.0
ACOX22x_pos	0.07414544520629612	0.0	0.0	0.0	0.0
ACOX2x_pos	0.07414544520629612	0.0	0.0	0.0	0.0
ACP1_FMN__pos	5.669257782657434	4.585367577862088	5.160176703829936	4.844493929911373	5.718985734719051
ACRNtm_pos	0.0	0.0	0.0	0.0	0.0
ACS_pos	5.05813029408147	4.832153186961543	5.439371346686045	4.709050860398774	4.741354036486155
ACS2_pos	5.05813029408147	4.832153186961543	5.439371346686045	4.709050860398774	4.741354036486155
ACSm_pos	0.0	0.0	0.0	0.0	0.0
ACSOMT_pos	0.0	0.0	0.0	0.0	0.0
ACSRTNMT_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_pos	0.0	0.0	0.0	0.0	0.0
ACt2m_neg	0.0	0.0	0.0	0.0	0.0
ACt2r_pos	0.0	0.0	0.0	0.0	0.0
ACt2r_neg	0.0	0.0	0.0	0.0	0.0
ACtg_pos	0.0	0.0	0.0	0.0	0.0
ACtg_neg	0.0	0.0	0.0	0.0	0.0
ACTLMO_pos	0.0	0.0	0.0	0.0	0.0
ACTNMO_pos	0.0	0.0	0.0	0.0	0.0
ACYP_pos	4.769108351600883	5.8945789013705	4.834834806744972	5.00919182020168	4.677680763956043
ADA_pos	2.343186299722595	0.7207061103542391	2.9915262867352155	0.549987853102971	2.121494704021739
ADAe_pos	2.343186299722595	0.7207061103542391	2.9915262867352155	0.549987853102971	2.121494704021739
ADCim_pos	0.0	0.0	0.0	0.0	0.0
ADEt_pos	2.140838073966375	1.4153610919439525	3.240042914242108	2.660569910042795	2.808402805478573
ADEt_neg	2.140838073966375	1.4153610919439525	3.240042914242108	2.660569910042795	2.808402805478573
ADEtl_pos	3.041155961717566	3.3551734400456743	3.1416928436815144	2.7589249766655284	3.2394045431509038
ADEtl_neg	3.041155961717566	3.3551734400456743	3.1416928436815144	2.7589249766655284	3.2394045431509038
ADHAPtx_pos	0.0	0.0	0.0	0.0	0.0
ADHAPtx_neg	0.0	0.0	0.0	0.0	0.0
ADK1_pos	0.3869208640612705	0.012602036378664782	0.07862542555512135	0.027352850810145938	0.47216628447452386
ADK1_neg	0.3869208640612705	0.012602036378664782	0.07862542555512135	0.027352850810145938	0.47216628447452386
ADK1m_pos	0.0	0.0	0.0	0.0	0.0
ADK1m_neg	0.0	0.0	0.0	0.0	0.0
