	Ob.1012.b_S133_L007_R1_001
34HPPOR_pos	45689.761830314936
34HPPte_neg	8299.126122536069
34HPPte_pos	6794.297618025137
35CGMPtn_neg	0.0
35CGMPtn_pos	10937.377004234884
3AIBTm_neg	0.0
3AIBTm_pos	10723.104762107021
3AIB_Dtm_neg	11552.679479434359
3AIB_Dtm_pos	18940.43827281177
3AIBt_pos	10723.104762107023
3AIBtm_pos	10723.104762107023
3DPHBH1_pos	45052.14638589888
3DPHBH2_pos	45068.94141675804
3DSPHR_pos	19191.058038094576
3HAO_pos	47.08859098131671
3HBCDm_neg	0.0
3HBCDm_pos	8635.406040365298
3HBCOAHLm_pos	12674.29764837965
3HBCOARc_neg	0.0
3HBCOARc_pos	8635.406040365298
3HCO3_NAt_neg	637.0366474787403
3HCO3_NAt_pos	637.4493613307266
3HKYNAKGAT_pos	1233.4255368259528
3HLYTCL_pos	9344.269708192282
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12778.252852166812
3MOBt2im_pos	3958.3322813200166
3MOBte_neg	6.278506986815799
3MOBte_pos	7610.678613697266
3MOPt2im_pos	3958.3322813200184
3MOPte_neg	23.122104827645877
3MOPte_pos	7532.282154406793
3MOX4HOXPGALDOX_NADP__neg	1007.5147123745322
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1007.5147123745322
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14282.244723094222
3SALAASPm_pos	0.0
3SALACBOXL_pos	9951.38595377562
3SALAOX_pos	26489.126008679443
3SALATAi_pos	13487.353267215609
3SALATAim_pos	14282.244723094222
3SPYRSP_pos	13487.353267215609
3SPYRSPm_pos	14282.244723094222
41R1H2MAE12BOOX_pos	39232.64146658493
41R2A1H12BOOX_pos	31482.974958495703
42A12BOOX_pos	0.0
4ABUTtcn_pos	9379.402493003548
4ABUTtm_neg	9423.123170534942
4ABUTtm_pos	12372.658441435817
4HBZCOAFm_pos	45052.146385898894
4HBZFm_pos	45052.146385898894
4HDEBRISOQUINEte_neg	7.479181027687728
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1323.821161852904
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10883.452462378726
4HPROLTASCT1_pos	1726.9559085984222
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	3958.3322813200184
4MOPte_neg	7262.739864314888
4MOPte_pos	7587.299995768273
4MPTNLte_neg	0.0
4MPTNLte_pos	60940.313417473495
4MPTNLtm_neg	60940.31341747351
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.479181027687729
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.37954622026309
4NPHSFte_pos	0.0
4NPHSULT_pos	22.37954622026309
4NPHte_neg	0.0
4NPHte_pos	14.070912800901025
4OHPROIMINOtc_pos	1726.9559085984222
4PYRDX_pos	7943.516934534088
5ADTSTSTERONEGLCte_pos	68818.27264310984
5ADTSTSTERONEGLCtr_neg	68818.27264310984
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7155.423468917592
5ADTSTSTERONESte_neg	8.149139608121294
5ADTSTSTERONESte_pos	54540.847241326665
5ADTSTSTERONEte_neg	55164.66332881673
5ADTSTSTERONEte_pos	7.191588909793448
5ADTSTSTERONEtr_neg	38.848096490702
5ADTSTSTERONEtr_pos	55165.232483546046
5AOPtm_neg	14493.706948223773
5AOPtm_pos	0.0
5DHFtl_pos	3204.392789317449
5FTHFt2_neg	0.0
5FTHFt2_pos	6.4616382264171826
5HLTDL_pos	7.512008837527346
5HOMEPRAZOLEte_neg	7.47918102768773
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	463.53659571850244
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.492418135031023
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15145.470684188076
5MTAte_pos	14932.77983088181
5MTHFt2_neg	1282.0158145671758
5MTHFt2_pos	1282.0158145671758
5MTHFt2le_neg	2364.4507637103193
5MTHFt2le_pos	2364.4507637103193
5MTHFt_neg	1282.0158145671758
5MTHFt_pos	1282.0158145671758
5OXPROt_neg	10248.250844544735
5OXPROt_pos	6089.000628673931
5THFtl_pos	3202.3681937040365
5THFtm_pos	3768.1642060461395
6DHFtl_pos	3443.3485100543808
6DHFtm_pos	3831.3970281023426
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51934.70102143418
6HTSTSTERONEtr_neg	51934.701021434164
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3443.3485100543808
6THFtm_pos	3831.397028102342
7DHCHSTEROLtr_neg	10912.747360494535
7DHCHSTEROLtr_pos	76086.92576447097
7DHFtl_pos	3577.298898211861
7DHFtm_pos	3875.627218357455
7THFtl_pos	3577.2988982118604
7THFtm_pos	3875.6272183574556
A4GALTc_pos	0.0
A4GALTg_pos	11184.474713105848
A4GNT1g_pos	0.0
A4GNT2g_pos	252.34614411820746
AACOAT_pos	4099.702768760865
AACTOOR_pos	12036.775223442884
AACTtm_pos	12036.775223442884
AASAD3m_pos	26.341371342960837
AATAi_neg	3807.95641279315
AATAi_pos	48.582322155312866
ABO1g_pos	10476.407718230488
ABO2g_pos	10102.979660044954
ABO3g_pos	10271.987978486395
ABO4g_pos	9470.877522108565
ABO5g_pos	9470.877522108565
ABO6g_pos	8872.606759319377
ABO7g_pos	8872.606759319377
ABO8g_pos	9165.605243367812
ABO9g_pos	8245.335557824817
ABTArm_neg	9423.123170534947
ABTArm_pos	12372.658441435815
ABTD_neg	5061.998863005638
ABTD_pos	7.915236255978427
ABTti_pos	5061.998863005638
ABUTD_pos	12283.85915024106
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	505.24290360344025
ABUTt2r_pos	621.4996161658777
ABUTt4_2_r_neg	621.4996161658777
ABUTt4_2_r_pos	505.24290360344025
ACACT10m_neg	13522.804663124442
ACACT10m_pos	9693.64718746745
ACACT1r_neg	7065.519287305328
ACACT1r_pos	15934.783147628581
ACACT1rm_pos	5043.267572355099
ACACT1x_pos	9654.346329092537
ACACT4p_pos	24048.041856035125
ACACT5p_pos	24048.041856035114
ACACT6p_pos	24048.04185603512
ACACT7p_pos	23387.64196501166
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	403.0505396777197
ACACt2_pos	403.0505396777197
ACACt2m_neg	1260.280034925314
ACACt2m_pos	1260.280034925314
ACACtx_neg	5720.30440135554
ACACtx_pos	0.0
ACALDt_neg	6236.415920402253
ACALDt_pos	5.156524350799482
ACALDtm_neg	8981.420875287175
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54178.32076702005
ACALDtx_neg	0.0
ACALDtx_pos	11.743340476836488
ACCOAC_pos	4174.1142200889435
ACCOACm_pos	4204.6211022451125
ACCOAL_pos	3221.9516158265333
ACCOALm_pos	4489.713630194854
ACCOAgt_neg	0.0
ACCOAgt_pos	19157.630519557006
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1480.6224759317265
ACCOAtr_pos	1480.6224759317265
ACETONEt2_neg	10602.521819766285
ACETONEt2_pos	5.518339124026619
ACETONEt2m_neg	10602.521819766285
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10964.226050005234
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10964.226050005234
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9470.877522108567
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9470.877522108567
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8872.606759319377
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8872.606759319375
ACGALK2_pos	547.3090448518667
ACGALK_pos	546.3469218817202
ACGALtlg_neg	908.1518414253329
ACGALtlg_pos	0.0
ACGALtly_pos	546.3469218817202
ACGAM2E_neg	3899.017455981464
ACGAM2E_pos	29946.615541573643
ACGAM6PSi_pos	3391.4395485570403
ACGAMK_pos	3899.0174559814636
ACGAMPM_neg	0.0
ACGAMPM_pos	3899.0174559814623
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	908.1518414253329
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	908.1518414253329
ACGPID_pos	50.92938250139579
ACGSm_pos	0.0
ACHEe_pos	5411.5680230896805
ACHVESSEC_pos	4053.091017297154
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5743.076374070508
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11133.911860477952
ACN13ACNGALGBSIDEtg_neg	11133.911860477958
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11133.911860477952
ACN23ACNGALGBSIDEtg_neg	11133.911860477958
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12306.737001763118
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12306.73700176311
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11162.684106887
ACNACNGALGBSIDEtg_neg	11162.684106887005
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8560.755973606068
ACNAM9PL_pos	8256.621988349236
ACNAMPH_pos	8256.621988349236
ACNAMlt_neg	17789.052116055973
ACNAMlt_pos	0.0
ACNAMtn_pos	8779.865222830156
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10077.139598908901
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10077.139598908905
ACNMLr_neg	18452.280292805204
ACNMLr_pos	8256.621988349236
ACOAD10m_pos	296.4288353293545
ACOAD1fm_pos	18239.0124907749
ACOAD8m_pos	321.7084623591458
ACOAD9m_pos	11897.48586022107
ACOAHi_pos	3196.12846595218
ACOAO7p_pos	17663.167833156378
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1183.3015383587162
ACONT_pos	1183.3015383587162
ACONTm_neg	323.8924608561461
ACONTm_pos	323.8924608561461
ACOX22x_pos	68460.70722120386
ACOX2x_pos	58382.8557173444
ACP1_FMN__pos	3309.9414852554605
ACRNtm_pos	2304.475518676271
ACS2_pos	3178.383052980008
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3196.1284659521807
ACSm_pos	4456.325073210424
ACTLMO_pos	5492.411753831477
ACTNMO_pos	14260.724303093575
ACYP_pos	3164.6773617991757
ACt2m_neg	4136.740669804367
ACt2m_pos	4844.20989932696
ACt2r_neg	1229.076871267771
ACt2r_pos	1229.076871267771
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7368.783010428243
ADAe_pos	7533.5150152905735
ADCim_pos	10602.521819766287
ADEt_neg	6106.96822565137
ADEt_pos	30363.509448876695
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1082.3154992462437
ADK1_pos	1082.3154992462437
ADK1m_neg	397.3578391825102
ADK1m_pos	397.3578391825102
ADK3_neg	1082.3154992462437
ADK3_pos	1082.3154992462437
ADK3m_neg	397.3578391825102
ADK3m_pos	397.3578391825102
ADKd_neg	1080.365188832319
ADKd_pos	1080.365188832319
ADMDC_pos	15145.470684188078
ADNCYC_pos	3260.7739532762275
ADNK1_pos	3257.3096284790718
ADNK1m_pos	2377.0531822292774
ADNK3_pos	4156.975123015692
ADNK4_pos	4156.975123015693
ADNt4_pos	803.3745460827464
ADNt5le_pos	1381.1968513863153
ADNt_neg	803.3745460827464
ADNt_pos	1198.5844100309284
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5726.20906378883
ADNtm_pos	8298.313035912208
ADPACDAc_pos	7790.037634642809
ADPACTD_neg	0.0
ADPACTD_pos	7790.037634642809
ADPCOACROT_neg	7790.037634642808
ADPCOACROT_pos	61494.01539974384
ADPCOAPTE_pos	7790.037634642809
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7845.5760919895765
ADPRDPm_pos	0.0
ADPRIBt_pos	17.655102818919456
ADPT_pos	3778.865530862775
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.072772071381575
ADRNCOAtx_pos	14868.865891242298
ADRNCPT1_pos	326.11271942850055
ADRNCPT2_pos	326.11271942850055
ADRNCRNt_pos	326.11271942850055
ADRNLPVESSEC_pos	36976.66566799021
ADRNt_neg	1187.8442658768804
ADRNt_pos	1195.6858290646203
ADSELK_pos	0.0
ADSK_pos	3277.081316491403
ADSL1_pos	8778.04334629378
ADSL2_pos	20305.05291047815
ADSS_pos	8778.04334629378
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.479181027687728
AG13T10g_pos	10706.29406885659
AG13T11g_pos	10706.29406885659
AG13T12g_pos	10706.29406885659
AG13T13g_pos	10706.29406885659
AG13T14g_pos	10706.29406885659
AG13T15g_pos	10706.29406885659
AG13T16g_pos	7447.630460758727
AG13T17g_pos	7447.630460758727
AG13T18g_pos	7447.630460758727
AG13T1g_pos	7475.52860547101
AG13T2g_pos	7475.52860547101
AG13T3g_pos	7475.52860547101
AG13T4g_pos	10706.29406885659
AG13T5g_pos	10706.29406885659
AG13T6g_pos	10706.29406885659
AG13T7g_pos	10706.29406885659
AG13T8g_pos	10706.29406885659
AG13T9g_pos	10706.29406885659
AGDC_pos	3391.439548557041
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23301.972743621027
AGPAT1_pos	10153.654511292283
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8720.68723455448
AGTix_pos	12200.953728110144
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2109.605817184475
AHCYStd_pos	2109.605817184475
AHCYSte_neg	26791.168491018296
AHCYSte_pos	11212.724374912903
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5702.438310050079
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	9789.420069731632
AHEXASE2ly_pos	17093.99946793237
AHEXASEly_pos	17560.06034963472
AICART_neg	12907.899979283602
AICART_pos	11032.251955788304
AICARte_neg	12491.494601904817
AICARte_pos	11032.251955788312
AIRCr_neg	0.0
AIRCr_pos	20305.05291047817
AK2LGCHOLt_neg	6.833140309784855
AK2LGCHOLt_pos	6374.558254935163
AKGDm_pos	10546.73243068302
AKGMALtm_neg	452.70433210313354
AKGMALtm_pos	337.84772508329115
AKGt4_3_neg	709.488669898691
AKGt4_3_pos	828.6226038175699
AKGtp_neg	0.0
AKGtp_pos	45.88076888169414
AKR1C1_pos	61436.56914324686
AKR1C41_pos	2094.9120518365607
AKR1C42_pos	2094.9120518365607
AKR1D2_pos	64550.22000221636
AKR1D_pos	11118.189749134357
ALA-DTDe_pos	1342.8088146603527
ALAALACNc_neg	0.0
ALAALACNc_pos	7505.240324592505
ALAALAPEPT1tc_pos	7505.240324592505
ALAASNNaEx_pos	696.3831137513582
ALAATB0tc_pos	1289.7237526773374
ALACYSNaEx_pos	667.2016563351237
ALADGLNexR_neg	668.9988266332173
ALADGLNexR_pos	616.4268233232906
ALADGLYexR_neg	587.9654741522679
ALADGLYexR_pos	523.6567564847292
ALAGLNNaEx_pos	696.3831137513582
ALAGLNexR_neg	369.4604917474412
ALAGLNexR_pos	369.4604917474412
ALAGLYexR_neg	575.5167768469189
ALAGLYexR_pos	430.8866896461676
ALAR_neg	2.414891279309384
ALAR_pos	3784.753694291152
ALASERNaEx_pos	645.4240834113186
ALASm_pos	339.9094692895237
ALATA_L_neg	4224.460195896052
ALATA_L_pos	3209.8564387031984
ALATHRNaEx_pos	705.8002237083156
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	482.77328811530754
ALAt2r_pos	587.9654741522679
ALAt4_pos	242.96173113420184
ALAtN1_neg	369.4604917474412
ALAtN1_pos	369.4604917474412
ALAyLATthc_pos	482.77328811530754
ALCD1_neg	6601.148256674422
ALCD1_pos	13.405536253795615
ALCD21_D_pos	405.4635486840903
ALCD21_L_pos	836.5262007133763
ALCD22_D_pos	302.28619704758853
ALCD22_L_pos	836.5262007133763
ALCD2if_pos	5.632950319464499
ALCD2yf_pos	5.634863391445363
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	45.88076888169413
ALDD2x_pos	6761.1776351737335
ALDD2xm_pos	8981.420875287171
ALDD2y_pos	6602.124746255943
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53078.44611965603
ALDSTRNtm_neg	53078.446119655986
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3429.393422319922
ALOX5_pos	95.54511370798578
ALR2_pos	836.5262007133763
ALR3_pos	836.5262007133763
AMACR2p_pos	18138.843528062785
AMACR2r_pos	0.0
AMACRp_pos	58382.8557173444
AMACRr_pos	0.0
AMANK_pos	8256.621988349236
AMCOXO_pos	47.0885909813167
AMETr_neg	0.0
AMETr_pos	5702.438310050079
AMETt2m_neg	2109.605817184475
AMETt2m_pos	2109.605817184475
AMETtd_neg	2109.605817184475
AMETtd_pos	2109.605817184475
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6496.18523234782
AMPTASECG_pos	6799.34017127551
AMPTASECGe_pos	8025.291770967098
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.451103871662824
AMY2e_pos	13.451103871662822
ANDRSTRNGLCte_pos	69071.9863278778
ANDRSTRNGLCtr_neg	69071.98632787779
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	55627.7143324804
ANDRSTRNte_pos	17.66845533623769
ANDRSTRNtr_neg	17.66845533623769
ANDRSTRNtr_pos	55627.714332480406
ANTHte_neg	10.880338705963185
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.907050986775377
AOBUTDsm_pos	12036.775223442883
AP4AH1_pos	0.0
APAT2rm_neg	13492.541681966226
APAT2rm_pos	10772.607267466024
APNNOXte_neg	7.479181027687728
APNNOXte_pos	0.0
APOCF_pos	5467.147318037189
APOCFm_pos	5879.552571981351
APOC_LYS_BTNP_pos	5467.147318037189
APOC_LYS_BTNPm_pos	5879.552571981351
APPNNte_neg	0.0
APPNNte_pos	7.479181027687728
APRGSTRNte_neg	61436.56914324686
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.365872760345048
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.365872760345048
ARACHCOAtx_neg	25899.337865182468
ARACHCOAtx_pos	11086.869738456524
ARACHCPT1_pos	11785.156102715348
ARACHCPT2_pos	11785.156102715348
ARACHCRNt_pos	11785.156102715348
ARACHDCOAtx_neg	4902.083806667884
ARACHDCOAtx_pos	190.29986505748914
ARACHDt2_neg	347.1431680711486
ARACHDt2_pos	354.98473125888836
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4284.313715110118
ARACHt_neg	1200.2977456282872
ARACHt_pos	1208.139308816027
ARGATB0tc_pos	1699.4169719989568
ARGDCm_pos	23301.972743621027
ARGLYSex_pos	668.9354455311869
ARGN_pos	13562.482513237104
ARGNm_pos	14410.082873837417
ARGSL_neg	0.0
ARGSL_pos	12840.312531825144
ARGSS_pos	12840.312531825137
ARGt4_pos	1489.1255164453314
ARGtiDF_pos	482.77328811530754
ARGtm_neg	1484.98424030449
ARGtm_pos	1184.360600438743
ARSA_pos	38076.34891126775
ARTCOAL1_pos	4862.215969134867
ARTCOAL2_pos	4862.215969134868
ARTCOAL3_pos	4862.215969134867
ASAH1_pos	37903.81389110332
ASCBOX_pos	8793.15514491615
ASCBSVCTtc_pos	3196.5154794808686
ASCBt4_neg	422.54291181739734
ASCBt4_pos	1235.8247406559753
ASCBt_neg	1235.8247406559753
ASCBt_pos	1243.6663038437152
ASNALANaEx_pos	696.3831137513582
ASNATB0tc_pos	1367.9522633621823
ASNCYSNaEx_pos	852.490559738457
ASNGLNNaEx_pos	696.3831137513582
ASNNm_pos	8449.024490103118
ASNPHELAT2tc_pos	517.8888736068996
ASNS1_pos	7115.608724985283
ASNSERNaEx_pos	849.7694906852436
ASNTHRNaEx_pos	881.9232474284813
ASNt4_pos	337.3067350042036
ASNtN1_neg	337.3067350042036
ASNtN1_pos	596.1723722973541
ASNtm_pos	8449.024490103118
ASP1DC_pos	9180.502712763695
ASPCTr_neg	0.0
ASPCTr_pos	18685.998342810217
ASPDTDe_neg	11.413295281851806
ASPDTDe_pos	2055.0432413565604
ASPDt6_pos	2055.0432413565604
ASPDxt_neg	11.187048994302616
ASPDxt_pos	0.0
ASPGLUm_pos	2465.863109129853
ASPNATm_pos	7327.87126002382
ASPPROASCT1_pos	1639.444610439189
ASPTA_neg	7155.57205544454
ASPTA_pos	2465.863109129853
ASPTAm_neg	2465.863109129853
ASPTAm_pos	8971.817978266778
ASPt6_pos	2055.0432413565604
ASPte_pos	1195.4125022205847
ATP1ter_neg	0.0
ATP1ter_pos	7095.087837106104
ATP2ter_neg	4524.3133208174495
ATP2ter_pos	4524.3133208174495
ATPH1e_pos	13743.909526353504
ATPH2e_pos	3.0330986700186746
ATPS4m_pos	1561.3982963650922
ATPasel_pos	23782.55291194766
ATPtm_pos	594.1963466687106
ATPtn_neg	0.0
ATPtn_pos	9719.62240233288
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4126.792436639709
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17369.440175372547
Asn_X_Ser_Thrtr_neg	17059.59644960548
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11184.47471310585
B3GALT41g_pos	12400.22556267465
B3GALT42g_pos	12572.798686146181
B3GALT43g_pos	12741.93704725536
B3GALT44g_pos	12996.718119666491
B3GALT5g_pos	10369.138978033165
B3GALTg_pos	11529.445421501841
B3GNT11g_pos	9726.386603068144
B3GNT12g_pos	8857.399974448987
B3GNT310g_pos	11467.490519763729
B3GNT311g_pos	9470.877522108565
B3GNT312g_pos	9726.386603068144
B3GNT313g_pos	8872.606759319377
B3GNT314g_pos	8245.335557824817
B3GNT315g_pos	8857.399974448987
B3GNT31g_pos	9602.402455328183
B3GNT32g_pos	9602.402455328183
B3GNT33g_pos	9602.402455328183
B3GNT34g_pos	9392.609525252965
B3GNT35g_pos	9392.609525252965
B3GNT36g_pos	908.1518414253329
B3GNT37g_pos	12320.223857483124
B3GNT39g_pos	28949.997532479345
B3GNT51g_pos	11467.490519763727
BAAT1x_pos	4027.9168743184478
BAAT2x_pos	3255.800765965906
BAAT3x_pos	18138.843528062785
BAAT4x_pos	4027.9168743184478
BACCL_pos	5467.147318037189
BACCLm_pos	5879.552571981351
BALABETAtc_pos	1534.2799651657774
BALAPAT1tc_pos	1451.2514180593637
BALAVECSEC_pos	4133.700045213953
BALAtmr_neg	13492.54168196622
BALAtmr_pos	10772.607267466026
BAMPPALDOX_pos	29807.752607554463
