	WT.1012.a_S120_L007_R1_001
DTMPKm_pos	10043.6992245358
DTTPtm_pos	15279.054911781634
DTTPtn_neg	4191.851580000186
DTTPtn_pos	4191.851580000186
DUDPtn_neg	0.0
DUDPtn_pos	14995.444910454884
DUMPtn_neg	14995.444910454882
DUMPtn_pos	0.0
DURAD2_neg	18660.92672820455
DURAD2_pos	1298.411055869483
DURAD_neg	1323.237831541859
DURAD_pos	0.0
DURIK1_pos	1206.2379596603246
DURIK1m_pos	1765.1863704645123
DURIPP_neg	6095.897959718186
DURIPP_pos	7644.091638871802
DURIt_neg	1866.8974170711056
DURIt_pos	6.949418585125411
DURItn_neg	20051.277307673885
DURItn_pos	0.0
DUTPDP_pos	6417.157882809958
DUTPDPm_pos	3647.8843953405258
DUTPDPn_pos	14995.444910454882
D_3AIBt_pos	11632.293433678355
D_LACt2_neg	3751.110929470878
D_LACt2_pos	2.4765192332345918
D_LACtm_neg	0.0
D_LACtm_pos	0.0
EAFLATOXINte_neg	7.585530511833835
EAFLATOXINte_pos	0.0
EBASTINEOHte_neg	13.030909895800935
EBASTINEOHte_pos	0.0
EBASTINEOHtr_neg	0.0
EBASTINEOHtr_pos	13.030909895800935
EBASTINEte_neg	0.0
EBASTINEte_pos	13.030909895800935
EBASTINEtr_neg	13.030909895800935
EBASTINEtr_pos	0.0
EBP1r_pos	502.57783471890406
EBP2r_pos	237.39644165347536
ECGISOr_neg	0.0
ECGISOr_pos	0.0
ECOAH12m_neg	0.0
ECOAH12m_pos	12965.436332532701
ECOAH1m_neg	20533.89760998209
ECOAH1m_pos	8391.59222913787
ECOAH1x_neg	0.0
ECOAH1x_pos	0.0
ECOAH9m_neg	14016.714478610276
ECOAH9m_pos	10068.907969917776
EGMESTr_pos	0.0
EHGLAT2m_pos	12510.764424931689
EHGLAT_pos	0.0
EHGLATm_pos	12399.397591062147
EICOSTETCPT1_pos	86.02726818413521
EICOSTETCPT2_pos	86.02726818413521
EICOSTETCRNt_pos	86.02726818413521
EICOSTETt_neg	32.86029249801651
EICOSTETt_pos	7.933756768071771
ELAIDCPT1_pos	40845.832834537294
ELAIDCPT2_pos	40845.832834537294
ELAIDCRNt_pos	40845.832834537294
ELAIDt_neg	5259.987995059961
ELAIDt_pos	3491.862634803764
ENGASE2_pos	0.0
ENGASE2ly_pos	17802.628073744327
ENGASE3ly_pos	12424.230709036541
ENGASE_pos	0.0
ENGASEly_pos	18282.30820030162
ENMAN1g_pos	0.0
ENMAN2g_pos	0.0
ENMAN3g_pos	0.0
ENMAN4g_pos	0.0
ENMAN5g_pos	0.0
ENMAN6g_pos	0.0
ENO_neg	9943.134255774228
ENO_pos	3688.5113234344158
EPCTX_pos	0.0
ESTRADIOLGLCt2_pos	4707.962710066414
ESTRADIOLGLCt_neg	58096.35747332083
ESTRADIOLGLCt_pos	4707.962710066416
ESTRADIOLGLCtr_neg	58096.35747332084
ESTRADIOLGLCtr_pos	0.0
ESTRADIOLt_neg	52390.07556886574
ESTRADIOLt_pos	12.29950488016077
ESTRADIOLtr_neg	58525.83519073955
ESTRADIOLtr_pos	5348.400459996357
ESTRIOLGLCte_pos	0.0
ESTRIOLGLCtr_neg	0.0
ESTRIOLGLCtr_pos	0.0
ESTRIOLtr_neg	0.0
ESTRIOLtr_pos	0.0
ESTRONEGLCt_pos	60756.121744226686
ESTRONEGLCtr_neg	60756.12174422671
ESTRONEGLCtr_pos	0.0
ESTRONESt2_pos	628.8128755973514
ESTRONESt_neg	628.8128755973514
ESTRONESt_pos	1250.434817627939
ESTRONEtr_neg	5348.400459996357
ESTRONEtr_pos	52419.28346398446
ESTSULT_pos	8261.26311744947
ETFQO_pos	432.3184322080037
ETF_pos	432.3184322080037
ETHAK_pos	3480.6443894824683
ETHP_pos	3619.48632078886
ETOHMO_pos	6.934092273135092
ETOHt_neg	0.0
ETOHt_pos	5.814113494373698
ETOHtx_neg	0.0
ETOHtx_pos	11.881128677536072
EX_10fthf(e)_neg	0.0
EX_10fthf(e)_pos	34.56060397248118
EX_10fthf5glu(e)_neg	9.087932475150305
EX_10fthf5glu(e)_pos	9.419332968642074
EX_10fthf6glu(e)_neg	3.7205711668472166
EX_10fthf6glu(e)_pos	3.7205711668472166
EX_10fthf7glu(e)_neg	3.7205711668472166
EX_10fthf7glu(e)_pos	0.0
EX_11_cis_retfa(e)_neg	5.5022655561792355
EX_11_cis_retfa(e)_pos	1642.8206329869377
EX_12dgr120(e)_neg	0.0
EX_12dgr120(e)_pos	0.0
EX_13_cis_retnglc(e)_neg	0.0
EX_13_cis_retnglc(e)_pos	2815.082046751371
EX_1glyc_hs(e)_neg	0.0
EX_1glyc_hs(e)_pos	18134.837339295293
EX_1mncam(e)_neg	0.0
EX_1mncam(e)_pos	48.03742139339028
EX_23cump(e)_neg	4.552265556179234
EX_23cump(e)_pos	4.44682326340452
EX_2425dhvitd2(e)_neg	0.0
EX_2425dhvitd2(e)_pos	11.053805504389471
EX_2425dhvitd3(e)_neg	0.0
EX_2425dhvitd3(e)_pos	50948.57088064465
EX_24nph(e)_neg	0.0
EX_24nph(e)_pos	14.351441758629186
EX_25hvitd2(e)_neg	11.05380550438947
EX_25hvitd2(e)_pos	0.0
EX_25hvitd3(e)_neg	7.490591921361057
EX_25hvitd3(e)_pos	7578.501435144572
EX_2hb(e)_neg	8.244770484270923
EX_2hb(e)_pos	7835.852646234755
EX_2mcit(e)_neg	0.0
EX_2mcit(e)_pos	14814.707680599526
EX_34dhoxpeg(e)_neg	0.0
EX_34dhoxpeg(e)_pos	32388.202398264097
EX_34dhphe(e)_neg	4.290105793155587
EX_34dhphe(e)_pos	6610.028239156065
EX_34hpp_neg	6887.381606436111
EX_34hpp_pos	8507.185824250062
EX_35cgmp(e)_neg	0.0
EX_35cgmp(e)_pos	14724.457826093982
EX_3aib(e)_neg	0.0
EX_3aib(e)_pos	10993.726304938096
EX_3aib_D(e)_neg	0.0
EX_3aib_D(e)_pos	11632.293433678355
EX_3bcrn_neg	0.0
EX_3bcrn_pos	8906.764483975936
EX_3ddcrn_neg	0.0
EX_3ddcrn_pos	12845.721306718813
EX_3deccrn_neg	0.0
EX_3deccrn_pos	13267.149163940157
EX_3hdececrn_neg	0.0
EX_3hdececrn_pos	10750.783136603337
EX_3hexdcrn_neg	0.0
EX_3hexdcrn_pos	11016.107762581409
EX_3ivcrn_neg	0.0
EX_3ivcrn_pos	13264.475133823329
EX_3mlda(e)_neg	0.0
EX_3mlda(e)_pos	13087.994683296889
EX_3mob(e)_neg	7781.758435145852
EX_3mob(e)_pos	6.469877582029612
EX_3mop(e)_neg	7717.725861517526
EX_3mop(e)_pos	23.729215015163483
EX_3octdec2crn_neg	0.0
EX_3octdec2crn_pos	10.237885427112655
EX_3octdeccrn_neg	0.0
EX_3octdeccrn_pos	8788.6388247088
EX_3octdece1crn_neg	0.0
EX_3octdece1crn_pos	16091.094108325487
EX_3tdcrn_neg	0.0
EX_3tdcrn_pos	10793.060973328336
EX_3tetd7ecoacrn_neg	0.0
EX_3tetd7ecoacrn_pos	14302.83107669549
EX_3thexddcoacrn_neg	0.0
EX_3thexddcoacrn_pos	22759.84881937313
EX_3ttetddcoacrn_neg	0.0
EX_3ttetddcoacrn_pos	32726.241623402468
EX_3ump(e)_neg	4.446823263404519
EX_3ump(e)_pos	4.552265556179233
EX_4abut(e)_neg	3.3158777875035312
EX_4abut(e)_pos	9030.2075581823
EX_4abutn(e)_neg	4.75
EX_4abutn(e)_pos	15432.595702474731
EX_4hdebrisoquine(e)_neg	0.0
EX_4hdebrisoquine(e)_pos	7.585530511833835
EX_4hphac(e)_neg	0.0
EX_4hphac(e)_pos	11165.381860757927
EX_4hpro(e)_neg	2850.0
EX_4mop(e)_neg	7757.9854309326365
EX_4mop(e)_pos	7510.7938671110205
EX_4mptnl(e)_neg	0.0
EX_4mptnl(e)_pos	62128.9599873852
EX_4mtolbutamide(e)_neg	0.0
EX_4mtolbutamide(e)_pos	7.585530511833835
EX_4nph(e)_neg	3.50229674087702
EX_4nph(e)_pos	3.50229674087702
EX_4nphsf(e)_neg	0.0
EX_4nphsf(e)_pos	23.24533695132742
EX_4pyrdx(e)_neg	0.0
EX_4pyrdx(e)_pos	8206.991638360963
EX_5adtststerone(e)_neg	7.2529615430333205
EX_5adtststerone(e)_pos	56592.00012556378
EX_5adtststeroneglc(e)_neg	0.0
EX_5adtststeroneglc(e)_pos	70683.35654814863
EX_5adtststerones(e)_neg	8.274284996844637
EX_5adtststerones(e)_pos	55936.73866433441
EX_5dhf(e)_neg	9.087932475150305
EX_5dhf(e)_pos	9.419332968642074
EX_5fthf(e)_neg	6.931713986984661
EX_5fthf(e)_pos	0.0
EX_5homeprazole(e)_neg	0.0
EX_5homeprazole(e)_pos	7.585530511833835
EX_5htrp(e)_neg	0.0
EX_5htrp(e)_pos	7.800753245255486
EX_5mta(e)_neg	15488.253673147585
EX_5mta(e)_pos	15619.199735310518
EX_5mthf(e)_neg	7360.293455721025
EX_5oxpro(e)_neg	6377.63600975515
EX_5oxpro(e)_pos	10449.46956642831
EX_5thf(e)_neg	9.087932475150305
EX_5thf(e)_pos	9.419332968642074
EX_6dhf(e)_neg	3.7205711668472166
EX_6dhf(e)_pos	3.7205711668472166
EX_6htststerone(e)_neg	0.0
EX_6htststerone(e)_pos	53241.38960618931
EX_6thf(e)_neg	3.7205711668472166
EX_6thf(e)_pos	3.7205711668472166
EX_7dhf(e)_neg	3.7205711668472166
EX_7dhf(e)_pos	0.0
EX_7thf(e)_neg	3.7205711668472166
EX_7thf(e)_pos	0.0
EX_9_cis_retfa(e)_neg	5.5022655561792355
EX_9_cis_retfa(e)_pos	1642.8206329869377
EX_C02470(e)_neg	22.813688573054925
EX_C02470(e)_pos	11.950329266287666
EX_C02528(e)_neg	7.1989270176584235
EX_C02528(e)_pos	67092.19694258561
EX_C04849(e)_neg	2.194435917718256
EX_C04849(e)_pos	2.194435917718256
EX_C05965(e)_neg	2.194435917718256
EX_C05965(e)_pos	2.194435917718256
EX_CE0074(e)_neg	4.75
EX_CE0074(e)_pos	16672.799026795943
EX_CE1925(e)_neg	5.39682326340452
EX_CE1925(e)_pos	5.502265556179234
EX_CE1926(e)_neg	5.39682326340452
EX_CE1926(e)_pos	5.502265556179234
EX_CE1935(e)_neg	5.7
EX_CE1935(e)_pos	16301.490860898093
EX_CE1936(e)_neg	0.0
EX_CE1936(e)_pos	18225.8563655603
EX_CE1939(e)_neg	5.7
EX_CE1939(e)_pos	25358.63942120848
EX_CE1940(e)_neg	5.7
EX_CE1940(e)_pos	25358.63942120848
EX_CE1943(e)_neg	0.0
EX_CE1943(e)_pos	34414.729353836585
EX_CE1950(e)_neg	0.0
EX_CE1950(e)_pos	0.0
EX_CE2011(e)_neg	4.9063145229936636
EX_CE2011(e)_pos	15.816832152119824
EX_CE2250(e)_neg	0.0
EX_CE2250(e)_pos	5.257365468206704
EX_CE2838(e)_neg	3.1088271040406257
EX_CE2838(e)_pos	4.275
EX_CE2839(e)_neg	4.275
EX_CE2839(e)_pos	3.1088271040406257
EX_CE2915(e)_neg	4.75
EX_CE2915(e)_pos	4.75
EX_CE2916(e)_neg	4.75
EX_CE2916(e)_pos	4.75
EX_CE2917(e)_neg	6.65
EX_CE2917(e)_pos	4.75
EX_CE4633(e)_neg	5.39682326340452
EX_CE4633(e)_pos	8286.38300463006
EX_CE4722(e)_neg	4.75
EX_CE4722(e)_pos	4.75
EX_CE4723(e)_neg	4.75
EX_CE4723(e)_pos	4.75
EX_CE4724(e)_neg	4.75
EX_CE4724(e)_pos	6.65
EX_CE4881(e)_neg	5.502265556179233
EX_CE4881(e)_pos	5.396823263404519
EX_CE5786(e)_neg	4.75
EX_CE5786(e)_pos	18.909195567792985
EX_CE5787(e)_neg	5.7
EX_CE5787(e)_pos	17.949999999999996
EX_CE5788(e)_neg	5.7
EX_CE5788(e)_pos	23.495235496533653
EX_CE5789(e)_neg	4.275
EX_CE5789(e)_pos	14.099999999999998
EX_CE5791(e)_neg	5.7
EX_CE5791(e)_pos	17.949999999999996
EX_CE5797(e)_neg	4.75
EX_CE5797(e)_pos	4.75
EX_CE5798(e)_neg	4.75
EX_CE5798(e)_pos	4.75
EX_CE5853(e)_neg	5.502265556179233
EX_CE5853(e)_pos	5.396823263404519
EX_CE5854(e)_neg	5.502265556179233
EX_CE5854(e)_pos	5.396823263404519
EX_CE5867(e)_neg	4.75
EX_CE5867(e)_pos	4.75
EX_CE5868(e)_neg	4.75
EX_CE5868(e)_pos	4.75
EX_CE5869(e)_neg	4.75
EX_CE5869(e)_pos	4.75
EX_CLPND(e)_neg	12.83759105907413
EX_CLPND(e)_pos	392.7614096448408
EX_HC00001(e)_neg	0.0
EX_HC00001(e)_pos	0.0
EX_HC00002(e)_neg	0.0
EX_HC00002(e)_pos	0.0
EX_HC00003(e)_neg	0.0
EX_HC00003(e)_pos	0.0
EX_HC00004(e)_neg	0.0
EX_HC00004(e)_pos	0.0
EX_HC00229(e)_neg	4.274999999999999
EX_HC00229(e)_pos	3052.3141444864195
EX_HC00250(e)_neg	5.4843361630315
EX_HC00250(e)_pos	6952.042098200747
EX_HC00822(e)_neg	16.914373240417106
EX_HC00822(e)_pos	3.3249999999999993
EX_HC00955(e)_neg	0.0
EX_HC00955(e)_pos	0.0
EX_HC01104(e)_neg	3.50229674087702
EX_HC01104(e)_pos	3.50229674087702
EX_HC01361(e)_neg	4.858352007440358
EX_HC01361(e)_pos	6.7720508991231885
EX_HC01440(e)_neg	0.0
EX_HC01440(e)_pos	0.0
EX_HC01441(e)_neg	0.0
EX_HC01441(e)_pos	0.0
EX_HC01444(e)_neg	9.818378725136688
EX_HC01444(e)_pos	4247.200215610294
EX_HC01446(e)_neg	0.0
EX_HC01446(e)_pos	0.0
EX_HC01577(e)_neg	0.0
EX_HC01577(e)_pos	0.0
EX_HC01609(e)_neg	9.629461872826813
EX_HC01609(e)_pos	9.629461872826813
EX_HC01610(e)_neg	9.629461872826813
EX_HC01610(e)_pos	9.629461872826813
EX_HC01700(e)_neg	0.0
EX_HC01700(e)_pos	0.0
EX_HC01787(e)_neg	0.0
EX_HC01787(e)_pos	0.0
EX_HC01852(e)_neg	0.0
EX_HC01852(e)_pos	0.0
EX_HC01939(e)_neg	0.0
EX_HC01939(e)_pos	0.0
EX_HC01942(e)_neg	0.0
EX_HC01942(e)_pos	0.0
EX_HC01943(e)_neg	0.0
EX_HC01943(e)_pos	0.0
EX_HC01944(e)_neg	0.0
EX_HC01944(e)_pos	0.0
EX_HC02154(e)_neg	0.0
EX_HC02154(e)_pos	0.0
EX_HC02160(e)_neg	0.0
EX_HC02160(e)_pos	0.0
EX_HC02161(e)_neg	0.0
EX_HC02161(e)_pos	0.0
EX_HC02172(e)_neg	0.0
EX_HC02172(e)_pos	0.0
EX_HC02175(e)_neg	0.0
EX_HC02175(e)_pos	0.0
EX_HC02176(e)_neg	7.585530511833835
EX_HC02176(e)_pos	0.0
EX_HC02179(e)_neg	0.0
EX_HC02179(e)_pos	0.0
EX_HC02180(e)_neg	0.0
EX_HC02180(e)_pos	0.0
EX_HC02187(e)_neg	0.0
EX_HC02187(e)_pos	0.0
EX_HC02191(e)_neg	0.0
EX_HC02191(e)_pos	0.0
EX_HC02192(e)_neg	0.0
EX_HC02192(e)_pos	0.0
EX_HC02193(e)_neg	0.0
EX_HC02193(e)_pos	0.0
EX_HC02194(e)_neg	0.0
EX_HC02194(e)_pos	0.0
EX_HC02195(e)_neg	0.0
EX_HC02195(e)_pos	0.0
EX_HC02196(e)_neg	0.0
EX_HC02196(e)_pos	0.0
EX_HC02197(e)_neg	0.0
EX_HC02197(e)_pos	0.0
EX_HC02198(e)_neg	0.0
EX_HC02198(e)_pos	0.0
EX_HC02199(e)_neg	0.0
EX_HC02199(e)_pos	0.0
EX_HC02200(e)_neg	0.0
EX_HC02200(e)_pos	0.0
EX_HC02201(e)_neg	0.0
EX_HC02201(e)_pos	0.0
EX_HC02202(e)_neg	3.2564443575533764
EX_HC02202(e)_pos	11.725610043333935
EX_HC02203(e)_neg	3.2564443575533764
EX_HC02203(e)_pos	13.621603625558825
EX_HC02204(e)_neg	3.2564443575533764
EX_HC02204(e)_pos	13.425610043333934
EX_HC02205(e)_neg	3.2564443575533764
EX_HC02205(e)_pos	11.921603625558825
EX_HC02206(e)_neg	3.2564443575533764
EX_HC02206(e)_pos	11.575610043333935
EX_HC02207(e)_neg	3.2564443575533764
EX_HC02207(e)_pos	11.771603625558823
EX_HC02208(e)_neg	0.0
EX_HC02208(e)_pos	0.0
EX_HC02210(e)_neg	0.0
EX_HC02210(e)_pos	0.0
EX_HC02213(e)_neg	0.0
EX_HC02213(e)_pos	0.0
EX_HC02214(e)_neg	0.0
EX_HC02214(e)_pos	0.0
EX_HC02216(e)_neg	0.0
EX_HC02216(e)_pos	0.0
EX_HC02217(e)_neg	0.0
EX_HC02217(e)_pos	0.0
EX_HC02220(e)_neg	0.0
EX_HC02220(e)_pos	0.0
EX_Lcystin(e)_neg	2.387603337073516
EX_Lcystin(e)_pos	0.0
EX_Rtotal(e)_neg	8.618425317188843
EX_Rtotal(e)_pos	7782.123831047864
EX_Rtotal2(e)_neg	9.150844193190128
EX_Rtotal2(e)_pos	5321.254560194637
EX_Rtotal3(e)_neg	8.245316878065038
EX_Rtotal3(e)_pos	8.361745871369203
EX_Tyr_ggn(e)_neg	0.0
EX_Tyr_ggn(e)_pos	30.442033926232725
EX_abt(e)_neg	0.0
EX_abt(e)_pos	5086.351279360126
EX_ac(e)_neg	4.917072873448081
EX_ac(e)_pos	6024.126737988855
EX_acac(e)_neg	5.209173319300589
EX_acac(e)_pos	7916.377240968041
EX_acald(e)_neg	5.289753635042314
EX_acald(e)_pos	6567.402240096696
EX_acetone(e)_neg	5.697567584251102
EX_acetone(e)_pos	10909.34983420831
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs(e)_neg	0.0
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs(e)_pos	10007.214881340558
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs(e)_neg	0.0
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs(e)_pos	9370.89086232066
EX_acgam(e)_neg	0.0
EX_acgam(e)_pos	6.649999999999999
EX_ach(e)_neg	9.079614730431812
EX_ach(e)_pos	7225.990271465513
EX_acmana(e)_neg	0.0
EX_acmana(e)_pos	19995.11813905459
EX_acn13acngalgbside_hs(e)_neg	0.0
EX_acn13acngalgbside_hs(e)_pos	11726.103296091002
EX_acn23acngalgbside_hs(e)_neg	0.0
EX_acn23acngalgbside_hs(e)_pos	11726.103296091002
EX_acnacngal14acglcgalgluside_hs(e)_neg	0.0
EX_acnacngal14acglcgalgluside_hs(e)_pos	13009.314495269016
EX_acnacngalgbside_hs(e)_neg	0.0
EX_acnacngalgbside_hs(e)_pos	11755.631750241555
EX_acngalacglcgal14acglcgalgluside_hs(e)_neg	0.0
EX_acngalacglcgal14acglcgalgluside_hs(e)_pos	10645.549938997137
EX_ade(e)_neg	3.9795396989981615
EX_ade(e)_pos	6475.632794929339
EX_adn(e)_neg	5963.377838664655
EX_adp_neg	3.093272467465562
EX_adp_pos	0.0
EX_adpcbl(e)_neg	0.0
EX_adprbp(e)_neg	0.0
EX_adprbp(e)_pos	4.835328515849081
EX_adprib(e)_neg	8.193786085825636
EX_adprib(e)_pos	4.835328515849081
EX_adrn(e)_neg	9.41816369754583
EX_adrn(e)_pos	136.58975250570015
EX_adrnl(e)_neg	0.0
EX_adrnl(e)_pos	37875.5819698617
EX_aflatoxin(e)_neg	7.585530511833835
EX_aflatoxin(e)_pos	0.0
EX_ahandrostanglc(e)_neg	0.0
EX_ahandrostanglc(e)_pos	0.0
EX_ahcys(e)_neg	11852.046158071027
EX_ahcys(e)_pos	27649.55159265933
EX_ahdt(e)_neg	6.7720508991231885
EX_ahdt(e)_pos	4.858352007440358
EX_aicar(e)_neg	11694.060300979476
EX_aicar(e)_pos	12912.357392448894
EX_ak2lgchol_hs(e)_neg	6.93449732004521
EX_ak2lgchol_hs(e)_pos	4.950747163942736
EX_akg(e)_neg	4.182985305352212
EX_akg(e)_pos	7720.328416093878
EX_ala_B(e)_neg	7.052329843219156
EX_ala_B(e)_pos	9293.866396920423
EX_ala_D(e)_neg	2.479343434989477
EX_ala_D(e)_pos	3857.1393204575875
EX_ala_L(e)_neg	2.4489854639576625
EX_ala_L(e)_pos	3625.955657515349
EX_alaala(e)_neg	7574.146459521816
EX_aldstrn(e)_neg	0.0
EX_aldstrn(e)_pos	54140.92791146334
EX_amp(e)_neg	3.9795396989981615
EX_amp(e)_pos	6775.355909379545
EX_andrstrn(e)_neg	18.054444267305673
EX_andrstrn(e)_pos	57065.81304774655
EX_andrstrnglc(e)_neg	0.0
EX_andrstrnglc(e)_pos	70982.94524685989
EX_anth(e)_neg	2850.0
EX_anth(e)_pos	11.045734391374866
EX_antipyrene(e)_neg	7.9349077618741175
EX_antipyrene(e)_pos	0.0
EX_apnnox(e)_neg	0.0
EX_apnnox(e)_pos	7.585530511833835
EX_appnn(e)_neg	7.585530511833835
EX_appnn(e)_pos	0.0
EX_aprgstrn(e)_neg	0.0
EX_aprgstrn(e)_pos	62633.29015590585
EX_aqcobal(e)_neg	0.0
EX_aqcobal(e)_pos	0.0
EX_arab_L(e)_neg	5.483689215892269
EX_arab_L(e)_pos	0.0
EX_arach(e)_neg	11932.244339445298
EX_arachcoa(e)_neg	5.257365468206704
EX_arachcoa(e)_pos	0.0
EX_arachd(e)_neg	4.7683830191152365
EX_arachd(e)_pos	78.78545615357815
EX_arg_L(e)_neg	5.425639717619671
EX_arg_L(e)_pos	18307.63921095105
EX_ascb_L(e)_neg	0.0
EX_ascb_L(e)_pos	4650.185786546753
EX_asn_L(e)_neg	5.757950653019156
EX_asn_L(e)_pos	11634.396952992143
EX_asp_D(e)_neg	11.499573368836781
EX_asp_D(e)_pos	0.0
EX_asp_L(e)_neg	4.1844677804511115
EX_asp_L(e)_pos	6976.337098514481
EX_atp(e)_neg	3.99630799161089
EX_atp(e)_pos	21864.16884903548
EX_avite1(e)_neg	2.8499999999999996
EX_avite1(e)_pos	0.0
EX_avite2(e)_neg	2.8499999999999996
EX_avite2(e)_pos	0.0
EX_bglc(e)_neg	3800.0
EX_bglc(e)_pos	0.0
EX_bhb(e)_neg	5.18567284593828
EX_bhb(e)_pos	7950.114996588892
EX_bildglcur(e)_neg	0.0
EX_bildglcur(e)_pos	43685.63460390092
EX_bilglcur(e)_neg	10.418481273542199
EX_bilglcur(e)_pos	66705.28459653493
EX_bilirub(e)_neg	16.591347838005557
EX_bilirub(e)_pos	51701.88211149379
EX_biocyt(e)_neg	3.9519214155841293
EX_biocyt(e)_pos	0.0
EX_btn(e)_neg	242.4009149099473
EX_btn(e)_pos	3.9519214155841293
EX_but(e)_neg	6.315382800121555
EX_but(e)_pos	0.0
EX_bvite(e)_neg	2.8499999999999996
EX_bvite(e)_pos	0.0
EX_bz(e)_neg	0.0
EX_bz(e)_pos	0.0
EX_c101crn_neg	0.0
EX_c101crn_pos	13006.130440505107
EX_c10crn_neg	0.0
EX_c10crn_pos	15654.182760139249
EX_c10dc_neg	0.0
EX_c10dc_pos	20259.855605442997
EX_c12dc_neg	0.0
EX_c12dc_pos	47009.75435221616
EX_c16dc_neg	0.0
EX_c16dc_pos	30683.397591877805
EX_c3dc_neg	0.0
EX_c3dc_pos	11381.917519077964
EX_c4crn_neg	0.0
EX_c4crn_pos	17649.7123273057
EX_c4dc_neg	0.0
EX_c4dc_pos	10930.084817406145
EX_c51crn_neg	0.0
EX_c51crn_pos	12296.844584306933
EX_c5dc_neg	0.0
EX_c5dc_pos	8384.614582857957
EX_c6crn_neg	0.0
EX_c6crn_pos	13666.43852264491
EX_c6dc_neg	0.0
EX_c6dc_pos	63364.56532635674
EX_c81crn_neg	0.0
EX_c81crn_pos	13006.130440505107
EX_c8crn_neg	0.0
EX_c8crn_pos	9319.436208874191
EX_c8dc_neg	0.0
EX_c8dc_pos	28854.943025160992
EX_ca2(e)_neg	0.0
EX_ca2(e)_pos	0.0
EX_camp(e)_neg	0.0
EX_camp(e)_pos	13555.657571398619
EX_carn(e)_neg	11140.851311466904
EX_caro(e)_neg	13.21111429587058
EX_caro(e)_pos	0.0
EX_carveol(e)_neg	0.0
EX_carveol(e)_pos	7.585530511833835
EX_cbasp(e)_neg	8555.22222937008
EX_cbasp(e)_pos	20126.78250053381
EX_cca_d3(e)_neg	0.0
EX_cca_d3(e)_pos	0.0
EX_cdp(e)_neg	2.310164171732711
EX_cdp(e)_pos	4.620328343465422
EX_cdpea(e)_neg	0.0
EX_cdpea(e)_pos	0.0
EX_cgly(e)_neg	2.6349587099166083
EX_cgly(e)_pos	10976.801043522635
EX_chol(e)_neg	7224.185882523208
EX_cholate(e)_neg	12022.048240647728
EX_chsterol(e)_neg	8.274625802180763
EX_chsterol(e)_pos	11067.972102945461
EX_chtn(e)_neg	3.3249999999999997
EX_chtn(e)_pos	0.0
EX_cit(e)_neg	4.77022451356613
EX_cit(e)_pos	8722.092611221071
EX_citr_L(e)_neg	2.0573300767949076
EX_citr_L(e)_pos	12856.73574985749
EX_cl(e)_neg	8293.09402139548
EX_cmp(e)_neg	3.3398466461891987
EX_cmp(e)_pos	8.056211297682989
EX_co(e)_neg	0.0
EX_co(e)_pos	51714.3088070273
EX_co2(e)_neg	456.6426724200371
EX_co2(e)_pos	4266.874306987817
EX_coa(e)_neg	4.2005741852192555
EX_coa(e)_pos	5.257365468206704
EX_coumarin(e)_neg	7.585530511833835
EX_coumarin(e)_pos	0.0
EX_creat(e)_neg	10.414155718835627
EX_creat(e)_pos	18507.318970675955
EX_crm_hs(e)_neg	5.7
EX_crm_hs(e)_pos	0.0
EX_crmp_hs(e)_neg	0.0
EX_crmp_hs(e)_pos	28959.476865988305
EX_crn(e)_neg	7132.743583404386
EX_crtsl(e)_neg	0.0
EX_crtsl(e)_pos	52625.31173985788
EX_crtstrn(e)_neg	0.0
EX_crtstrn(e)_pos	55151.94902816142
EX_crvnc(e)_neg	9.964913445464875
EX_crvnc(e)_pos	483.4256208269199
EX_csn(e)_neg	7.565387102799875
EX_csn(e)_pos	0.0
EX_cspg_a(e)_neg	85.9048167699784
EX_cspg_a(e)_pos	0.0
EX_cspg_b(e)_neg	102.88875808127017
EX_cspg_b(e)_pos	0.0
EX_cspg_c(e)_neg	85.67064028629973
EX_cspg_c(e)_pos	0.0
EX_cspg_d(e)_neg	131.84878709493114
EX_cspg_d(e)_pos	0.0
EX_cspg_e(e)_neg	153.01895030596978
EX_cspg_e(e)_pos	0.0
EX_ctp(e)_neg	3.3440716902852996
EX_ctp(e)_pos	8.047316468006986
EX_cyan(e)_neg	6.794373716941956
EX_cyan(e)_pos	0.0
EX_cynt(e)_neg	0.0
EX_cynt(e)_pos	0.0
EX_cys_L(e)_neg	2861.392135243565
EX_cysam(e)_neg	4750.0
EX_cysam(e)_pos	6239.270096938801
EX_cytd(e)_neg	6339.436024659758
EX_dad_2(e)_neg	8016.733666284365
EX_dag_hs(e)_neg	8071.956793776737
EX_dca(e)_neg	20259.855605442997
EX_dca(e)_pos	0.0
EX_dchac(e)_neg	3800.0
EX_dchac(e)_pos	0.0
EX_dcsptn1(e)_neg	11.363385451081472
EX_dcsptn1(e)_pos	200.47541606976844
EX_dcyt(e)_neg	7589.788461765548
EX_ddece1crn_neg	0.0
EX_ddece1crn_pos	13006.130440505107
EX_ddecrn_neg	0.0
EX_ddecrn_pos	11263.17554905301
EX_debrisoquine(e)_neg	7.585530511833835
EX_debrisoquine(e)_pos	0.0
EX_decdicrn_neg	0.0
EX_decdicrn_pos	13006.130440505107
