	WT.EPA.e_S151_L007_R1_001
3SALAASPm_neg	14562.675662820788
3SALAASPm_pos	0.0
3SALACBOXL_pos	9991.843906361282
3SALAOX_pos	26736.88473684521
3SALATAi_pos	13725.098014792933
3SALATAim_pos	14562.675662820786
3SPYRSP_pos	13725.098014792933
3SPYRSPm_pos	14562.675662820786
41R1H2MAE12BOOX_pos	39752.14518733072
41R2A1H12BOOX_pos	31866.51339453951
42A12BOOX_pos	0.0
4ABUTtcn_pos	9588.850778701144
4ABUTtm_neg	9595.357260933597
4ABUTtm_pos	12500.605470090715
4HBZCOAFm_pos	45796.72011487227
4HBZFm_pos	45796.72011487227
4HDEBRISOQUINEte_neg	7.502657093843449
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1340.678297432029
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10911.28618176659
4HPROLTASCT1_pos	1996.6569337111284
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	3995.594009419895
4MOPte_neg	7325.20054752563
4MOPte_pos	7630.6117017350625
4MPTNLte_neg	0.0
4MPTNLte_pos	61437.0465642438
4MPTNLtm_neg	61437.04656424381
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.502657093843449
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.836913708164666
4NPHSFte_pos	0.0
4NPHSULT_pos	22.836913708164666
4NPHte_neg	0.0
4NPHte_pos	14.150187268869024
4OHPROIMINOtc_pos	1996.6569337111284
4PYRDX_pos	8042.933372326844
5ADTSTSTERONEGLCte_pos	69636.77727478047
5ADTSTSTERONEGLCtr_neg	69636.77727478046
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7861.340655326964
5ADTSTSTERONESte_neg	8.247350001758372
5ADTSTSTERONESte_pos	55254.76418257573
5ADTSTSTERONEte_neg	55949.78967004262
5ADTSTSTERONEte_pos	7.221734351684153
5ADTSTSTERONEtr_neg	39.1843925053036
5ADTSTSTERONEtr_pos	55947.996483601455
5AOPtm_neg	14691.466317176397
5AOPtm_pos	0.0
5DHFtl_pos	3223.153310026536
5FTHFt2_neg	0.0
5FTHFt2_pos	6.654454233714963
5HLTDL_pos	7.550047642826665
5HOMEPRAZOLEte_neg	7.502657093843449
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	491.02504018348884
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.647485072931182
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15346.066811983372
5MTAte_pos	15162.034059999876
5MTHFt2_neg	1137.6077315974635
5MTHFt2_pos	1137.6077315974635
5MTHFt2le_neg	2476.5047565746854
5MTHFt2le_pos	2476.5047565746854
5MTHFt_neg	1137.6077315974635
5MTHFt_pos	1137.6077315974635
5OXPROt_neg	10293.0151117999
5OXPROt_pos	6242.645849474736
5THFtl_pos	3221.183994417421
5THFtm_pos	3787.431389693941
6DHFtl_pos	3474.0716093957944
6DHFtm_pos	3853.6658629516455
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52636.580041406196
6HTSTSTERONEtr_neg	52636.580041406196
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3474.071609395795
6THFtm_pos	3853.665862951646
7DHCHSTEROLtr_neg	10985.994579306791
7DHCHSTEROLtr_pos	76813.75105075222
7DHFtl_pos	3614.891815661151
7DHFtm_pos	3899.4045119919933
7THFtl_pos	3614.891815661152
7THFtm_pos	3899.4045119919933
A4GALTc_pos	0.0
A4GALTg_pos	11445.554196785235
A4GNT1g_pos	0.0
A4GNT2g_pos	257.10434233426383
AACOAT_pos	4303.128046021216
AACTOOR_pos	12364.863486441069
AACTtm_pos	12364.863486441069
AASAD3m_pos	26.511530090215448
AATAi_neg	3872.7234766021625
AATAi_pos	48.95756842335254
ABO1g_pos	10704.937092291008
ABO2g_pos	10322.05405248741
ABO3g_pos	10493.744204927621
ABO4g_pos	9677.284299021401
ABO5g_pos	9677.284299021401
ABO6g_pos	9066.918637860235
ABO7g_pos	9066.918637860235
ABO8g_pos	9363.904011301558
ABO9g_pos	8429.379164659822
ABTArm_neg	9595.357260933606
ABTArm_pos	12500.60547009071
ABTD_neg	5078.123231388799
ABTD_pos	7.9961961002627815
ABTti_pos	5078.123231388799
ABUTD_pos	12536.652637216264
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	497.3203345344536
ABUTt2r_pos	618.0749593794319
ABUTt4_2_r_neg	618.074959379432
ABUTt4_2_r_pos	497.3203345344536
ACACT10m_neg	13730.090806022474
ACACT10m_pos	9840.997743388514
ACACT1r_neg	7490.123116469641
ACACT1r_pos	16409.105169098548
ACACT1rm_pos	5298.195161233703
ACACT1x_pos	10045.813182192494
ACACT4p_pos	24712.76937732167
ACACT5p_pos	24712.769377321667
ACACT6p_pos	24712.76937732167
ACACT7p_pos	24040.852681798264
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	464.12620244459697
ACACt2_pos	464.12620244459697
ACACt2m_neg	1286.9599017275207
ACACt2m_pos	1286.9599017275207
ACACtx_neg	5889.733648950947
ACACtx_pos	0.0
ACALDt_neg	6345.459139305461
ACALDt_pos	5.222185709603072
ACALDtm_neg	9086.738282743629
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54933.279310131235
ACALDtx_neg	0.0
ACALDtx_pos	11.79865726811744
ACCOAC_pos	4289.549268827502
ACCOACm_pos	4261.402559217725
ACCOAL_pos	3319.0938465223003
ACCOALm_pos	4590.690144469455
ACCOAgt_neg	0.0
ACCOAgt_pos	19620.062804714482
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1588.3074333715394
ACCOAtr_pos	1588.3074333715394
ACETONEt2_neg	10722.133994018031
ACETONEt2_pos	5.589169630975816
ACETONEt2m_neg	10722.133994018033
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11220.097140597532
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11220.097140597532
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9677.2842990214
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9677.2842990214
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9066.918637860232
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9066.918637860234
ACGALK2_pos	552.9772218342116
ACGALK_pos	551.9989094571667
ACGALtlg_neg	921.6253588755155
ACGALtlg_pos	0.0
ACGALtly_pos	551.9989094571667
ACGAM2E_neg	4080.8079580633053
ACGAM2E_pos	30418.576244813412
ACGAM6PSi_pos	3543.98387096586
ACGAMK_pos	4080.807958063306
ACGAMPM_neg	0.0
ACGAMPM_pos	4080.8079580633053
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	921.6253588755156
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	921.6253588755155
ACGPID_pos	51.63937587948819
ACGSm_pos	0.0
ACHEe_pos	5606.018601079769
ACHVESSEC_pos	4151.867619801846
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5998.487838459042
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11391.025574902891
ACN13ACNGALGBSIDEtg_neg	11391.025574902893
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11391.025574902891
ACN23ACNGALGBSIDEtg_neg	11391.025574902893
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12643.098819848694
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12643.098819848692
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11427.453319607517
ACNACNGALGBSIDEtg_neg	11427.453319607519
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8757.091980462308
ACNAM9PL_pos	8436.810667229098
ACNAMPH_pos	8436.810667229098
ACNAMlt_neg	18108.19098049531
ACNAMlt_pos	0.0
ACNAMtn_pos	8805.285849938704
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10328.166556780123
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10328.166556780125
ACNMLr_neg	18915.703203965324
ACNMLr_pos	8436.810667229098
ACOAD10m_pos	313.9884592669053
ACOAD1fm_pos	18535.689672570916
ACOAD8m_pos	322.4340337865526
ACOAD9m_pos	12043.849167325969
ACOAHi_pos	3330.3172840128823
ACOAO7p_pos	18035.704480317316
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1189.3338777977128
ACONT_pos	1189.3338777977128
ACONTm_neg	345.21646931330565
ACONTm_pos	345.21646931330565
ACOX22x_pos	68881.70306668374
ACOX2x_pos	59067.110652128125
ACP1_FMN__pos	3423.3390987110015
ACRNtm_pos	2550.0854276848304
ACS2_pos	3307.056821336527
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3330.3172840128846
ACSm_pos	4456.848789202901
ACTLMO_pos	5524.456618647858
ACTNMO_pos	14433.22178686798
ACYP_pos	3270.0453268258075
ACt2m_neg	4285.232378130377
ACt2m_pos	4850.182213120908
ACt2r_neg	1266.272214491829
ACt2r_pos	1266.272214491829
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7506.588668042698
ADAe_pos	7652.312040727781
ADCim_pos	10722.133994018035
ADEt_neg	6212.872087354096
ADEt_pos	30831.422608611163
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1069.158531774917
ADK1_pos	1069.158531774917
ADK1m_neg	415.7560541884545
ADK1m_pos	415.7560541884545
ADK3_neg	1069.158531774917
ADK3_pos	1069.158531774917
ADK3m_neg	415.7560541884545
ADK3m_pos	415.7560541884545
ADKd_neg	1066.1494476987116
ADKd_pos	1066.1494476987116
ADMDC_pos	15346.066811983374
ADNCYC_pos	3391.841510860283
ADNK1_pos	3345.6204565277103
ADNK1m_pos	2397.880933128247
ADNK3_pos	4242.375984155263
ADNK4_pos	4242.375984155263
ADNt4_pos	814.8350293345238
ADNt5le_pos	1381.6839431632163
ADNt_neg	814.8350293345238
ADNt_pos	1183.2233843168403
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5842.8684000043195
ADNtm_pos	8585.717638792868
ADPACDAc_pos	7990.864830285649
ADPACTD_neg	0.0
ADPACTD_pos	7990.864830285647
ADPCOACROT_neg	7990.864830285647
ADPCOACROT_pos	62308.62943038003
ADPCOAPTE_pos	7990.864830285647
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	8056.281884037006
ADPRDPm_pos	0.0
ADPRIBt_pos	18.174220628634938
ADPT_pos	3890.6252463661413
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.352600224630498
ADRNCOAtx_pos	15228.484444180815
ADRNCPT1_pos	331.65496317636484
ADRNCPT2_pos	331.65496317636484
ADRNCRNt_pos	331.65496317636484
ADRNLPVESSEC_pos	37471.088824552135
ADRNt_neg	1190.6824850251835
ADRNt_pos	1203.180171680157
ADSELK_pos	0.0
ADSK_pos	3372.861192696443
ADSL1_pos	8955.123186425026
ADSL2_pos	20579.41097353525
ADSS_pos	8955.123186425026
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.50265709384345
AG13T10g_pos	10940.384854896412
AG13T11g_pos	10940.384854896412
AG13T12g_pos	10940.384854896412
AG13T13g_pos	10940.384854896412
AG13T14g_pos	10940.384854896412
AG13T15g_pos	10940.384854896412
AG13T16g_pos	7575.600533625779
AG13T17g_pos	7575.600533625779
AG13T18g_pos	7575.600533625779
AG13T1g_pos	7600.241080642107
AG13T2g_pos	7600.241080642107
AG13T3g_pos	7600.241080642107
AG13T4g_pos	10940.384854896412
AG13T5g_pos	10940.384854896412
AG13T6g_pos	10940.384854896412
AG13T7g_pos	10940.384854896412
AG13T8g_pos	10940.384854896412
AG13T9g_pos	10940.384854896412
AGDC_pos	3543.9838709658598
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23701.17887843026
AGPAT1_pos	10423.8816724444
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8791.701614956448
AGTix_pos	12543.080297338933
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2143.8834905399026
AHCYStd_pos	2143.8834905399026
AHCYSte_neg	27268.253979368434
AHCYSte_pos	11404.45885762132
AHCYStn_neg	0.0
AHCYStn_pos	0.0
AHCYStr_neg	5770.943973034577
AHCYStr_pos	0.0
AHC_neg	0.0
AHC_pos	10020.814766399208
AHEXASE2ly_pos	17417.649029565488
AHEXASEly_pos	17873.55720670163
AICART_neg	13082.948745086567
AICART_pos	11428.038945321377
AICARte_neg	12687.564082342236
AICARte_pos	11428.03894532138
AIRCr_neg	0.0
AIRCr_pos	20579.41097353527
AK2LGCHOLt_neg	6.894264533249445
AK2LGCHOLt_pos	6651.7818481175
AKGDm_pos	10601.58692156794
AKGMALtm_neg	567.9239262541557
AKGMALtm_pos	426.4047433703469
AKGt4_3_neg	815.8077293498627
AKGt4_3_pos	935.6623749528043
AKGtp_neg	0.0
AKGtp_pos	47.0178409713316
AKR1C1_pos	61934.370051513986
AKR1C41_pos	2100.227767831193
AKR1C42_pos	2100.227767831193
AKR1D2_pos	65219.4135150123
AKR1D_pos	10953.834685013704
ALA-DTDe_pos	1351.193234107393
ALAALACNc_neg	0.0
ALAALACNc_pos	7554.137046387436
ALAALAPEPT1tc_pos	7554.137046387437
ALAASNNaEx_pos	783.2987310122386
ALAATB0tc_pos	1329.4473263489012
ALACYSNaEx_pos	812.7954815317694
ALADGLNexR_neg	722.5685633998273
ALADGLNexR_pos	636.444937432018
ALADGLYexR_neg	588.8351286706636
ALADGLYexR_pos	543.8035456184328
ALAGLNNaEx_pos	783.2987310122386
ALAGLNexR_neg	385.79330574931595
ALAGLNexR_pos	385.79330574931595
ALAGLYexR_neg	588.8351286706636
ALAGLYexR_pos	442.9154593575595
ALAR_neg	2.4356391222225366
ALAR_pos	3815.8141253340605
ALASERNaEx_pos	763.4887687794435
ALASm_pos	346.23251584489094
ALATA_L_neg	4257.72426588469
ALATA_L_pos	3585.0761457960543
ALATHRNaEx_pos	782.6118009621763
ALAt2rL_neg	0.0
ALAt2rL_pos	0.0
ALAt2r_neg	479.3861949513372
ALAt2r_pos	588.8351286706636
ALAt4_pos	238.39152705153867
ALAtN1_neg	385.79330574931595
ALAtN1_pos	385.79330574931595
ALAyLATthc_pos	486.57242065486855
ALCD1_neg	6671.261306876922
ALCD1_pos	13.481261635447048
ALCD21_D_pos	412.3499465429812
ALCD21_L_pos	880.1893507074552
ALCD22_D_pos	296.4997697707374
ALCD22_L_pos	880.1893507074552
ALCD2if_pos	5.704889753213628
ALCD2yf_pos	5.715027925042053
ALDD20x_pos	0.0
ALDD20xm_pos	0.0
ALDD21_pos	47.0178409713316
ALDD2x_pos	6910.042423106573
ALDD2xm_pos	9086.73828274363
ALDD2y_pos	6758.3259852924875
ALDSTRNte_neg	0.0
ALDSTRNte_pos	53528.255922707445
ALDSTRNtm_neg	53528.25592270745
ALDSTRNtm_pos	0.0
ALKP_pos	0.0
ALOX12R_pos	0.0
ALOX12_pos	0.0
ALOX15_pos	0.0
ALOX52_pos	3431.4058676725504
ALOX5_pos	97.6717171030243
ALR2_pos	880.1893507074552
ALR3_pos	880.1893507074552
AMACR2p_pos	18367.044281350976
AMACR2r_pos	0.0
AMACRp_pos	59067.110652128125
AMACRr_pos	0.0
AMANK_pos	8436.810667229098
AMCOXO_pos	47.41403131829176
AMETr_neg	0.0
AMETr_pos	5770.943973034577
AMETt2m_neg	2143.8834905399026
AMETt2m_pos	2143.8834905399026
AMETtd_neg	2143.8834905399026
AMETtd_pos	2143.8834905399026
AMETtn_neg	0.0
AMETtn_pos	0.0
AMPDA_pos	6678.12204828054
AMPTASECG_pos	6931.695114673821
AMPTASECGe_pos	8117.734214656338
AMPtp_neg	2850.0
AMPtp_pos	2850.0
AMPtr_neg	0.0
AMPtr_pos	0.0
AMY1e_pos	13.45303099178795
AMY2e_pos	13.45303099178795
ANDRSTRNGLCte_pos	69798.56268470694
ANDRSTRNGLCtr_neg	69798.56268470694
ANDRSTRNGLCtr_pos	0.0
ANDRSTRNte_neg	56423.482668323275
ANDRSTRNte_pos	17.572683416366168
ANDRSTRNtr_neg	17.572683416366164
ANDRSTRNtr_pos	56423.48266832329
ANTHte_neg	10.911718182336202
ANTHte_pos	2850.0
ANTIPYRENEte_neg	0.0
ANTIPYRENEte_pos	7.907166976713171
AOBUTDsm_pos	12364.863486441069
AP4AH1_pos	0.0
APAT2rm_neg	13623.267182138776
APAT2rm_pos	10891.051500961556
APNNOXte_neg	7.50265709384345
APNNOXte_pos	0.0
APOCF_pos	5742.107575675144
APOCFm_pos	6157.10278292158
APOC_LYS_BTNP_pos	5742.107575675144
APOC_LYS_BTNPm_pos	6157.10278292158
APPNNte_neg	0.0
APPNNte_pos	7.50265709384345
APRGSTRNte_neg	61934.370051513986
APRGSTRNte_pos	0.0
APRTO2_pos	0.0
AQCOBALt_pos	0.0
ARABR_pos	5.409693317514293
ARAB_Lt_neg	0.0
ARAB_Lt_pos	5.409693317514293
ARACHCOAtx_neg	26538.793923554695
ARACHCOAtx_pos	11409.719157121128
ARACHCPT1_pos	11945.56277411168
ARACHCPT2_pos	11945.56277411168
ARACHCRNt_pos	11945.56277411168
ARACHDCOAtx_neg	4992.555321745652
ARACHDCOAtx_pos	193.79166275790251
ARACHDt2_neg	349.2011431270888
ARACHDt2_pos	361.69882978206215
ARACHDtr_neg	2850.0
ARACHDtr_pos	2850.0
ARACHFATPc_pos	4408.774324265533
ARACHt_neg	1203.3686343147435
ARACHt_pos	1215.866320969717
ARGATB0tc_pos	1773.2469296512438
ARGDCm_pos	23701.17887843026
ARGLYSex_pos	688.9925924984368
ARGN_pos	13849.26712106853
ARGNm_pos	14513.960819847163
ARGSL_neg	0.0
ARGSL_pos	13053.736299058859
ARGSS_pos	13053.736299058852
ARGt4_pos	1497.205511332398
ARGtiDF_pos	486.57242065486855
ARGtm_neg	1489.013497487718
ARGtm_pos	1183.1215397596766
ARSA_pos	38899.98114406715
ARTCOAL1_pos	4982.841902940224
ARTCOAL2_pos	4982.841902940223
ARTCOAL3_pos	4982.841902940223
ASAH1_pos	38541.65074224575
ASCBOX_pos	8885.120883686248
ASCBSVCTtc_pos	3316.812969337918
ASCBt4_neg	461.85118248401784
ASCBt4_pos	1256.2881874699242
ASCBt_neg	1256.2881874699242
ASCBt_pos	1268.7858741248974
ASNALANaEx_pos	783.2987310122386
ASNATB0tc_pos	1449.2234604899418
ASNCYSNaEx_pos	951.0104227540461
ASNGLNNaEx_pos	783.2987310122386
ASNNm_pos	8572.60692506138
ASNPHELAT2tc_pos	528.5472770725099
ASNS1_pos	7183.830901553271
ASNSERNaEx_pos	932.4294512342669
ASNTHRNaEx_pos	951.5524834169996
ASNt4_pos	333.1478534495976
ASNtN1_neg	333.1478534495976
ASNtN1_pos	559.0861984471217
ASNtm_pos	8572.60692506138
ASP1DC_pos	9238.702369530942
ASPCTr_neg	0.0
ASPCTr_pos	18950.384726676475
ASPDTDe_neg	11.622982900909035
ASPDTDe_pos	2154.398466000036
ASPDt6_pos	2154.398466000036
ASPDxt_neg	11.314231026226825
ASPDxt_pos	0.0
ASPGLUm_pos	2539.593162588313
ASPNATm_pos	7561.241524741978
ASPPROASCT1_pos	1873.1159973563167
ASPTA_neg	7239.220724197198
ASPTA_pos	2539.5931625883136
ASPTAm_neg	2539.593162588313
ASPTAm_pos	9095.019957650646
ASPt6_pos	2154.398466000036
ASPte_pos	1199.549102566703
ATP1ter_neg	0.0
ATP1ter_pos	7195.281581193144
ATP2ter_neg	4629.97245099623
ATP2ter_pos	4629.97245099623
ATPH1e_pos	14037.426669309609
ATPH2e_pos	3.0700297253586113
ATPS4m_pos	1617.0869768549676
ATPasel_pos	24155.214981810856
ATPtm_pos	661.2558214831059
ATPtn_neg	0.0
ATPtn_pos	9815.981017276394
ATPtx_neg	2850.0
ATPtx_pos	2850.0
AVITE1t_pos	4207.476585735728
AVITE2t_pos	2.8499999999999996
A_MANASE_pos	0.0
A_MANASEly_pos	17698.842312293444
Asn_X_Ser_Thrtr_neg	17382.679703625
Asn_X_Ser_Thrtr_pos	0.0
B3GALT3g_pos	11445.554196785231
B3GALT41g_pos	12700.411549849514
B3GALT42g_pos	12881.276713002128
B3GALT43g_pos	13065.154699004284
B3GALT44g_pos	13332.116195246279
B3GALT5g_pos	10576.613704032781
B3GALTg_pos	11780.470066536753
B3GNT11g_pos	9932.734436121418
B3GNT12g_pos	9038.920347765214
B3GNT310g_pos	11706.93325121934
B3GNT311g_pos	9677.284299021401
B3GNT312g_pos	9932.734436121418
B3GNT313g_pos	9066.918637860235
B3GNT314g_pos	8429.379164659822
B3GNT315g_pos	9038.920347765214
B3GNT31g_pos	9825.372788136798
B3GNT32g_pos	9825.372788136798
B3GNT33g_pos	9825.372788136798
B3GNT34g_pos	9592.35021518805
B3GNT35g_pos	9592.35021518805
B3GNT36g_pos	921.6253588755156
B3GNT37g_pos	12628.247264575193
B3GNT39g_pos	29437.33513573372
B3GNT51g_pos	11706.933251219341
BAAT1x_pos	4020.132200711185
BAAT2x_pos	3234.4832448112616
BAAT3x_pos	18367.044281350976
BAAT4x_pos	4020.132200711185
BACCL_pos	5742.107575675144
BACCLm_pos	6157.10278292158
BALABETAtc_pos	1547.9285879213212
BALAPAT1tc_pos	1443.8346259209782
BALAVECSEC_pos	4215.072549132918
BALAtmr_neg	13623.267182138776
BALAtmr_pos	10891.05150096156
BAMPPALDOX_pos	30314.851026470133
